model,outer_fold,pm,delta_balanced_accuracy_vs_xgboost,delta_f1_vs_xgboost,delta_roc_auc_vs_xgboost,delta_pr_auc_vs_xgboost,delta_low_recall_vs_xgboost,delta_high_recall_vs_xgboost,delta_precision_vs_xgboost,delta_accuracy_vs_xgboost
random_forest,1,attention,-0.00748393428049865,-0.017185587901642374,-0.020477987165172906,-0.028561414284695053,0.05786985073110873,-0.07283771929210592,0.003635310375745271,-0.012604275842314605
random_forest,1,engagement,-0.004989128698682954,-0.008662265966354332,-0.0001112591643008809,-0.0006008181954098024,-0.0805288743774325,0.07055061698006637,-0.01143600358175867,-0.008009129775592316
random_forest,1,excitement,-0.0015648673442907324,0.001459696754366746,0.0076352945850513,-0.0037342084980850343,-0.01372692439640566,0.010597189707823973,0.006212837624685497,0.0028667653310118224
random_forest,1,focus,0.0362457777779529,0.032562253601577495,0.014079247791794591,-0.04504585908944592,0.0584091958449543,0.014082359710951398,0.013691694321833814,0.02918131203671459
random_forest,1,interest,0.03148516449096017,0.016768286812319677,0.013011061503702903,0.017983131717507872,-0.01157875165757638,0.07454908063949695,0.025867277938377398,0.014964291615481629
random_forest,1,relaxation,-0.01026777158700487,-0.012738578394628441,-0.01675605736942931,-0.027673225463105466,-0.018843155660709043,-0.0016923875133010302,-0.011035251686495884,-0.011258148078993835
random_forest,1,stress,0.023700563436682698,0.022655658381968147,0.030433241116383236,0.02188788105632644,0.008395401549683323,0.03900572532368174,0.022143267426760094,0.020665910069902926
random_forest,2,attention,-0.020981831359163206,-0.04278551736649516,-0.04831693174235896,-0.06289605103307228,-0.05539570698971552,0.013432044271388999,-0.01572289795176529,-0.036263210820261405
random_forest,2,engagement,-0.027478193747382806,-0.023252168920873117,-0.029856303925566485,-0.022333099887999586,-0.07701846613290875,0.022062078638142912,-0.008247051243069348,-0.005255310895152299
random_forest,2,excitement,-0.1041888098742293,-0.055220654601317976,-0.014943925407667757,-0.008786182550062471,-0.09196547104388775,-0.028053363575027968,-0.05231865400378133,-0.10079342857942675
random_forest,2,focus,-0.06324636769865966,-0.04471991305249712,-0.01498656669499665,-0.02295333030196689,-0.008648086164609659,-0.07962911415598084,-0.058099843644186744,-0.05039926643647141
random_forest,2,interest,-4.286393353003515e-05,-0.0026075261424944873,-0.010828110783992595,-0.02017251287797761,0.02456067412551377,-0.027111042191831025,-0.00420334877623485,-0.0032484691834777646
random_forest,2,relaxation,0.013844987023764355,0.0173352201181175,0.006457350778842796,0.0011484942502121287,0.03445129807298064,-0.007437456427997313,0.010500171443275197,0.016938913206689832
random_forest,2,stress,-0.036254797491025115,-0.029040287921720753,-0.04327506986441276,0.0019681219890298474,-0.04550705035192604,-0.029702799093136112,-0.017405282280768763,-0.031916625552492084
random_forest,3,attention,-0.052228170721414946,-0.06575893889642759,-0.06330876325286794,-0.04620910436681325,-0.07207265952063358,-0.03238368192219632,-0.03585501388263712,-0.06087461306268371
random_forest,3,engagement,0.005299772281869064,-0.007114307358682681,-0.007221667856174729,-0.017931551465819484,-0.021853129340475008,0.0324526739042128,-0.004952727755025754,-0.011000582241009194
random_forest,3,excitement,0.010130508603081623,0.009725365368917882,0.013073561909938025,0.008251804179409516,0.012931098834330634,0.007329918371832611,0.006369217129675087,0.00799749733773003
random_forest,3,focus,-0.004204234085716796,-0.006233740249705355,-0.024818635396923194,-0.02570947428016912,0.040952309279711274,-0.049360777451144755,-0.031072717125584126,-0.01365866932971782
random_forest,3,interest,0.0005989552294302092,-0.008176661420427278,0.00570242076992078,-0.006810754136900132,0.04793294321457642,-0.04673503275571622,0.010354369776835126,-0.016067399034213836
random_forest,3,relaxation,0.0027772493274875742,0.008047936452969306,-0.007118084470266295,-0.011025808190862185,0.04329674504017467,-0.03774224638519952,-0.013390650017441996,-0.0052988732137004835
random_forest,3,stress,-0.0011102601136562251,-2.699685044404987e-05,0.010284786758233966,0.014616259094182071,-0.015095666851274059,0.01287514662396172,0.0010238511910528603,0.0013631771953080962
random_forest,4,attention,0.009245377601676763,0.008554960696328218,-0.04127451862207532,-0.06426947817972806,-0.09322249946161665,0.11171325466497023,-0.023906722099394706,-0.006250754594107399
random_forest,4,engagement,0.006109557876106786,0.02004991213661922,-0.0389496671896018,-0.043834454935737455,0.06635688118939476,-0.054137765437181073,-0.010298521051007259,0.014309286761157503
random_forest,4,excitement,0.004188927956776722,0.006035548768768995,0.005900500703652334,0.001544147022091269,0.014702185174075066,-0.006324329260521289,0.008639100520137388,0.0034223495107937874
random_forest,4,focus,-0.010226099727282945,-0.008886828728889684,-0.014593045160626983,-0.015358835090162892,0.018546559139218544,-0.03899875859378399,-0.003933057860039502,-0.010615536181524776
random_forest,4,interest,0.016955324725384524,0.007375725423121038,0.008899532474081595,-0.0017732956419005408,0.05813517597477824,-0.024224526524009526,-0.002301975532572831,-0.0021245792222438498
random_forest,4,relaxation,0.00019083350703141821,-0.0013503015429954246,0.00413734440420499,0.0027597257479423654,-0.024955402602337973,0.02533706961640103,-0.002200610479546672,-0.0034023942151700792
random_forest,4,stress,0.01826047453380719,0.01572551371596309,-0.0020481869725632595,0.005244827534550245,0.05597855933674423,-0.019457610269129955,0.011242427040317082,0.012821046573966655
random_forest,5,attention,-0.04426005760864005,-0.04887943461366284,-0.05105016395405371,-0.0694753079216176,0.030371380055433495,-0.11889149527271436,-0.03960170004308705,-0.04048494638697486
random_forest,5,engagement,0.021298440560827414,0.016689826374067795,-0.016999576694583518,0.0003624949734052363,-0.005210627068683138,0.0478075081903383,0.010716772429885113,0.0029220764656353593
random_forest,5,excitement,0.006074572927930122,0.00813450995216769,-0.002415474202575485,-0.003979186839141113,0.006850753766239781,0.005298392089620685,0.014634124497442835,0.009581553994100656
random_forest,5,focus,-0.010008217150063503,-0.013839881842412693,-0.03423504906318553,-0.050097395500949715,-0.030203979716331153,0.010187545416204813,-0.006803236339626206,-0.008663346127377292
random_forest,5,interest,-0.010579090770395427,-0.018195724100725008,-0.014092708045973845,-0.012406342951644889,-0.010936490868252324,-0.010221690672538641,-0.007153735082122026,-0.015488746780178198
random_forest,5,relaxation,-0.005030453233519472,0.0038335637627768815,-0.023237575735336136,-0.02840303859092863,0.017990138136740996,-0.028051044603780162,0.001621660198333652,0.003464536904709048
random_forest,5,stress,-0.018238237416526304,-0.020516284940970686,-0.04643264244025713,-0.006183710793406516,-0.0112699241278168,-0.02520655070523603,-0.035121129921190875,-0.02362287606133806
lightgbm,1,attention,0.0055672181911666785,0.006162709468320315,0.008953219244611677,0.006869556255917009,-0.02144640551548993,0.03258084189782284,0.015075070444958927,0.0051923325048560676
