model,n_fold_pm_rows,pm,participant_macro_balanced_accuracy_mean,participant_macro_balanced_accuracy_std,participant_macro_balanced_accuracy_median,participant_macro_f1_mean,participant_macro_f1_std,participant_macro_f1_median,participant_macro_roc_auc_mean,participant_macro_roc_auc_std,participant_macro_roc_auc_median,participant_macro_pr_auc_mean,participant_macro_pr_auc_std,participant_macro_pr_auc_median,participant_macro_low_recall_mean,participant_macro_low_recall_std,participant_macro_low_recall_median,participant_macro_high_recall_mean,participant_macro_high_recall_std,participant_macro_high_recall_median,participant_macro_precision_mean,participant_macro_precision_std,participant_macro_precision_median,participant_macro_accuracy_mean,participant_macro_accuracy_std,participant_macro_accuracy_median
xgboost,5,attention,0.7164667577520358,0.03550181373438206,0.7109075250704614,0.6841313777470684,0.03950610687288279,0.6709189388421669,0.8587669250544142,0.009629751446928505,0.854769650249196,0.8433855841616857,0.024128349166371174,0.8401398738261087,0.7354730787080939,0.08268189775587198,0.733533942642648,0.6974604367959778,0.12500965300784378,0.7422972693146659,0.7583326350890014,0.01618983027922603,0.7595758865426263,0.7197519702411468,0.03780716006883061,0.7239243145861971
xgboost,5,engagement,0.7289270804129921,0.01852199344864836,0.7252264469797326,0.7064865805606866,0.04146323898746808,0.727760973963512,0.8543891121926201,0.015759995861239984,0.8584403701728184,0.8367642677999674,0.05182119586939052,0.8324112386483463,0.7016345476220589,0.05023335318471371,0.6999958644209889,0.7562196132039254,0.06464788632650709,0.7920196837930866,0.7662570139744682,0.02432585482102214,0.7775935488980665,0.7514580929432134,0.04402930239577996,0.7689034943090121
xgboost,5,excitement,0.840492119928548,0.027482687371579495,0.841909928693411,0.8120234512975932,0.028184833478469326,0.7998942119160639,0.9425465238450348,0.013632041795670704,0.9473308059907432,0.9399590446951482,0.008690679039650472,0.9369298203656036,0.839892653427819,0.04723943111635062,0.8651662467087532,0.838732237959594,0.06021182762827178,0.86008915766899,0.8360607652411816,0.03226689239043812,0.8282781990427062,0.8472909981509424,0.03283241244899969,0.8524726901308225
xgboost,5,stress,0.7359171226749165,0.0320695278830718,0.7457941489198094,0.6888364033004883,0.02641577656147727,0.6907810010546747,0.8646950812850525,0.026000272927145154,0.8643445948113027,0.8675033967251402,0.05196410455170333,0.8653407759640033,0.7059020221823701,0.0696347035284975,0.7281520868114957,0.7716042385646769,0.06141927576474356,0.8060289792247897,0.7509824853297211,0.01729413993245816,0.7482442399790525,0.7265872968981434,0.029588638611157913,0.7414921673021292
xgboost,5,relaxation,0.7916740549470239,0.047692647371076015,0.7856883092942369,0.7709716420498914,0.04004712605406814,0.7652780043234366,0.9274650177137964,0.012136480702231247,0.9273029718315132,0.9245610352214795,0.007839495312231184,0.9249750726496612,0.7877020850880682,0.10252626605050215,0.822956427726567,0.7925293530262791,0.03930940401625192,0.7842909885961366,0.8351641294487153,0.019718452666415066,0.8379762893842126,0.8186305841517513,0.028536552004976443,0.8240217658003552
xgboost,5,interest,0.7360809856358802,0.044036605256523816,0.7373398562464419,0.6798961919876136,0.0502020554586384,0.7014447799553367,0.8495354473816997,0.03372550892581453,0.8544007162432397,0.8470255481671698,0.0520723897586329,0.8545653564837403,0.7339934398538712,0.03463692271281327,0.7352123830470965,0.7347667447960319,0.061295500889297735,0.7394673294457874,0.743841395830592,0.018049818463719523,0.749366172730407,0.715319387474079,0.05781190919963833,0.7329474043469489
xgboost,5,focus,0.7009918184643378,0.014862875362040217,0.70041705193411,0.6637182059120065,0.029143691537382003,0.674381379961687,0.8153517859536977,0.01358631595499428,0.8092933135852985,0.7776960052860735,0.02652201248337303,0.7686632874263493,0.6864766612319528,0.05022016483449892,0.7057863012858067,0.720071136349101,0.04339944511219591,0.7409038138928659,0.7092178940829749,0.022079824373475433,0.7083115524196437,0.728034838703058,0.04219420724945533,0.7416168939701214
lightgbm,5,attention,0.720556762899679,0.03542690743573061,0.7113915957558476,0.6867937663723277,0.03941719494326872,0.6770051145335109,0.8638718383081313,0.013130148346963931,0.8611507126771323,0.8444322060289563,0.027755795914869916,0.8270652280246089,0.7226833159296029,0.08499528299160582,0.7120875371271581,0.718430209869755,0.12353081591927986,0.7635907454081866,0.7683172795692649,0.014595384234148993,0.7597273337928581,0.7239967120319725,0.038468794366638345,0.7213866156313476
lightgbm,5,engagement,0.7338948506708438,0.013117064701162041,0.7297993607784904,0.7111112795350258,0.03844458680038031,0.7301966263514131,0.8630881888846076,0.014575078414010728,0.8627152971088581,0.8484021345391781,0.04718137218424952,0.8285833830710954,0.6967562978076591,0.04732406650114336,0.6983875264794606,0.7710334035340283,0.055631093472378726,0.792045510470786,0.7733959787760611,0.026586060810457435,0.7799099448499038,0.7555071871197648,0.04305097724436578,0.7699078298041435
lightgbm,5,excitement,0.8436649823311756,0.027526500397331167,0.8460780636305923,0.8151953407987278,0.02736738290302862,0.8057955625795742,0.9467354959144852,0.00977858756798441,0.9494376756120494,0.9408806440772312,0.011449112449744732,0.9435532603371442,0.845862843384577,0.04129354840041074,0.8631553132476316,0.8391763347887453,0.06482845837521972,0.8585065695662852,0.8398467823733462,0.03420475097100852,0.82949006957738,0.850686271886073,0.03327164963199606,0.8477774779156458
