outer_fold,candidate_id,model_family,candidate_hash,expected_inner_fits,evaluation_hash
1,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,21,17bb88ff914a712fc8398791751f564920617a76c55203912727452c513aaaf8
1,lightgbm__sample_001,lightgbm,9fb7e195a1a3999679ffb8515e151b1a64c7708f1cc6324e4f7533424530ae6f,21,9c5832445d3a3b4f5912b8ffa029a5d585e85ef70b293f52c10021c47a99160e
1,lightgbm__sample_002,lightgbm,1e05b564d29fe00c97569cd337a22730f36a6b23b4897719ca87c58e9aad1bb5,21,33699d0188284806f3382cdd7df9d9458ad59edb5a5fd1c4266d922c78f848cd
1,lightgbm__sample_003,lightgbm,26c1fca471f5cf050262f8fe879d629c63465bfa01be1a8ec3b1a83a3d772dbe,21,9c15974075973d9a5665bd71161955d2b106d20059b19105576747892196784c
1,lightgbm__sample_004,lightgbm,ae41f71a82808f74345feaded52fd4a8baf9e129a5aa62a63fa6580b8310d1d2,21,140dd1a9aaeb94b26ddf471c62825ef27543b99584fbf276404ff4b33407127b
1,lightgbm__sample_005,lightgbm,0134b3aa9850a9541602b68f7c635d94c57fccaf6543ca7eabd79dabe0012328,21,13ddadbf717fc05dad7fcc2ed48d6e13ee3b3b16dba32e38c480842d065d5ecd
1,lightgbm__sample_006,lightgbm,cef59d0eeede5983f6948b11ee3c9a8aeedfcc43c0d1ea55ea750e1f2249ef47,21,8782f8284873a9008a5996f9b266a0e52e75364e85e8be0cb01d5f0e10771c92
1,lightgbm__sample_007,lightgbm,2313a681eb1700e418230fd23be34fb5ead5068cf9dae1c0b542a7a14fae53fa,21,7808a993d83b60782414b595dc64c0adb489dc74c724fabe83d9fa7ae6b6f858
1,lightgbm__sample_008,lightgbm,770e20cf9a96d270f6b330e0b9a2b499738e34b158536c84dfe0789488fc7a80,21,ff2af9c7314bea71b63e2ea835347611dbaba446772f54a8e3c017b71187151b
1,lightgbm__sample_009,lightgbm,6b2aa3d40f3ba7e5487a2ff90c48aebe73dba7b932a2092a0341545fcd871d68,21,8c08432785f80a43ab4c6a13caa4a00fcf40dacdb697358c8c897a1cf995941b
1,lightgbm__sample_010,lightgbm,cb6925bf4b890d78ea27355cf44c8162e0586e8280375077a2d75a94aafd4cca,21,340f1cbd4929ef981ccedfb15a15b0eedc8236b21f1f424543ebac67b32d8306
1,lightgbm__sample_011,lightgbm,5e605a0115fb4d4d861ac5f75d8f3b4988fed3dc9a9ee02837d4ec51cad14bd6,21,314df89724f1cd62ad7901a9291cd2ba10e57f7dbad78781dd8c85d0c2328334
1,lightgbm__sample_012,lightgbm,4dc1f42afdc56a76d3dc2c977df9e3323f5b93f95c35926c71e0cd1884adc571,21,b0538007bd458b60480e94e75862db211f4b7c214c3f1e1c2a064d391e3b3324
1,xgboost__anchor,xgboost,e86a4866b9e6a54ce3a72b39db9e3cff3b8c37fb63959e5ac9c62bf7edcf1d27,21,ff11a9abd33c6e984efb800f32f52553890ed10cd8114202acc1b596c60fbda6
1,xgboost__sample_001,xgboost,683ddcaeb950e4f91911e77e7eebab5ed13d5b63410ca6a0072f5326be6daca5,21,b7a4b75a860d52ac60693a99aa540a6a9fbc2902212c750e6f014a70aab95536
1,xgboost__sample_002,xgboost,e3a56a33f2a00a8cf388e76d4bfd784a5139d8512e7ed186a68bfceb955b1898,21,059979818fe5690af29e25df3dd6a07a8101917a0b1cbe0aad71c9480421dc86
1,xgboost__sample_003,xgboost,f33803e13dc51ed3704ada88b8c26ecb85cdcf5729c213483a07d9d9eee177ed,21,d53fe3dc07fa25bad767dd7e6ccfed905428962c24a4b5b495938526aac524f3
1,xgboost__sample_004,xgboost,5c101d699883a1509866360b684c86d6cd9fba0ffd2f11435e8405a12a202949,21,f16edc8bc7ed92bb8e32f37cbe2c8710edeb9ee8f4eedc74a211e9831717b342
1,xgboost__sample_005,xgboost,bd84cb0774f2f4a0f50e1df6091325713d3d968de32b2d4c7915616bf5837012,21,32fb8017a2cd8b4eec769935a8f8d20e460c00aaf7421219ec783fcc4e2e2429
1,xgboost__sample_006,xgboost,ee72e4c99b57ec4d74f34a0ee0f6621cfd343afee111925d6d6152f9f58c58f7,21,2050be9d8f824e1ce396ab36daafd1028e88009c0f9c096aa0a496c764bbbe31
1,xgboost__sample_007,xgboost,a3b93c59aa923efd98df4f1ff2759ccd3135ad9a3719d41910892a172a117d7b,21,598d588bd529e30e85f2ed6525f58ca8bb91caf966755373c4a8a1ddc48da832
1,xgboost__sample_008,xgboost,81cb7afb7f7c9cf05ac75a5c53233f06bfb50e41a65f88646d69947b081541ca,21,a1c8ac93f5f38f2b1e68ee77a8bcc501f012b53f07e297f7c5eff5e179718f2f
1,xgboost__sample_009,xgboost,e20b7814657f8f22c84f20c7bc9b22c993e29db73dd9c753b12fd40df695cdee,21,b14e8bacf358500144f300bbbee8b3c4cda79e4ba7dd25153b3a770cd00f92a9
1,xgboost__sample_010,xgboost,e4e2c0a1eed684aec6bc95654d6d20fbd07c88eb24f916b3a816094cfec7c91a,21,8f2aaaa01e82980836b0904e57c65a53104b4980b40b3c08230f06b389d1d315
1,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,21,d68117f95f33869b8c8ffb559ed2aa839d66f460e892823b5a750648d1676116
1,xgboost__sample_012,xgboost,ff56140cd08f85e52f017ade3f415f87f2fd9556e010060be234fc7c78cf12f9,21,a0e2b75156284310f0b85bf6134fb16f127d48e7195488de1cf352c170917079
2,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,21,55576f88142f001fd57bfdd2185af42140f13a7dafd126ae0ae8725512fdae17
2,lightgbm__sample_001,lightgbm,9fb7e195a1a3999679ffb8515e151b1a64c7708f1cc6324e4f7533424530ae6f,21,ee264dedae7ed1d56b67434b9526d801c59501e26ec03f60e2f56cba794c77fe
2,lightgbm__sample_002,lightgbm,1e05b564d29fe00c97569cd337a22730f36a6b23b4897719ca87c58e9aad1bb5,21,3c09bc3b75ae6c032edd723974925f8e3d1a884338e8b19ca12b9f0a32b73fb8
2,lightgbm__sample_003,lightgbm,26c1fca471f5cf050262f8fe879d629c63465bfa01be1a8ec3b1a83a3d772dbe,21,6ad49595850c11b1967695e1c24501ad6204cc74c8e4359ed461ab1f22a90872
2,lightgbm__sample_004,lightgbm,ae41f71a82808f74345feaded52fd4a8baf9e129a5aa62a63fa6580b8310d1d2,21,172bbade1c0578829a5225613a8626806bbf80c1697d740933444b3926fdc0a0
2,lightgbm__sample_005,lightgbm,0134b3aa9850a9541602b68f7c635d94c57fccaf6543ca7eabd79dabe0012328,21,30daf69b5b5416628656b0985a1276b488f0a9dd83d62722151d2916c8697643
2,lightgbm__sample_006,lightgbm,cef59d0eeede5983f6948b11ee3c9a8aeedfcc43c0d1ea55ea750e1f2249ef47,21,39bd7f9989f47db2c38928e1aa8cf98106bfa3cb895120b63441deec0c00c5a1
2,lightgbm__sample_007,lightgbm,2313a681eb1700e418230fd23be34fb5ead5068cf9dae1c0b542a7a14fae53fa,21,bb31fc74120996d7f8ad848e853dcf5907844ceb9733fa1555c0adccc989d175
2,lightgbm__sample_008,lightgbm,770e20cf9a96d270f6b330e0b9a2b499738e34b158536c84dfe0789488fc7a80,21,6f39f776773b9f66b8b51b2ce91910a848e0c03dbe791f6c2096fb3d144e7ad1
2,lightgbm__sample_009,lightgbm,6b2aa3d40f3ba7e5487a2ff90c48aebe73dba7b932a2092a0341545fcd871d68,21,9f3300b605db6187923003912caac76b21aefedbc68ddaac35d10516b7326439
2,lightgbm__sample_010,lightgbm,cb6925bf4b890d78ea27355cf44c8162e0586e8280375077a2d75a94aafd4cca,21,0397a57a0ce7ed99086c7969fd88b76b08b09abf0e2a5d42bfb7c2b4794bd639
2,lightgbm__sample_011,lightgbm,5e605a0115fb4d4d861ac5f75d8f3b4988fed3dc9a9ee02837d4ec51cad14bd6,21,5479cc42a3c13cf9d24679d7d97770c79ee142ee80cb4712079d4531c83f365c
2,lightgbm__sample_012,lightgbm,4dc1f42afdc56a76d3dc2c977df9e3323f5b93f95c35926c71e0cd1884adc571,21,5b9453c7980bd2662bfd0eef2e1675a9ed7f177a77cfdcdd6e419e3115909ec5
2,xgboost__anchor,xgboost,e86a4866b9e6a54ce3a72b39db9e3cff3b8c37fb63959e5ac9c62bf7edcf1d27,21,4c3adc0689a463c1fb95956123d945cbda046c3924d1574c7f0ebfcc5c4be734
2,xgboost__sample_001,xgboost,683ddcaeb950e4f91911e77e7eebab5ed13d5b63410ca6a0072f5326be6daca5,21,3f85bfc569d0c24a043d63bb9fde32ef60da4ac1f0b43f928591c6e75e10ca72
2,xgboost__sample_002,xgboost,e3a56a33f2a00a8cf388e76d4bfd784a5139d8512e7ed186a68bfceb955b1898,21,9b192bc06967066aba48f6f8af60c818004dd53e4b615e0560562ff850126b30
2,xgboost__sample_003,xgboost,f33803e13dc51ed3704ada88b8c26ecb85cdcf5729c213483a07d9d9eee177ed,21,2055a5b2a25634efb5be7559232d68ecaf0b2272ec802ddf607a391793cad30d
2,xgboost__sample_004,xgboost,5c101d699883a1509866360b684c86d6cd9fba0ffd2f11435e8405a12a202949,21,5b9caaf25ed8587cd4eb909562f2ac9e435e45943bb5a265a9e8bc3d090381df
2,xgboost__sample_005,xgboost,bd84cb0774f2f4a0f50e1df6091325713d3d968de32b2d4c7915616bf5837012,21,1889ae29449abcfd084b3e19cc9835d1201a8f05367fcd47d8a799b7197debd1
2,xgboost__sample_006,xgboost,ee72e4c99b57ec4d74f34a0ee0f6621cfd343afee111925d6d6152f9f58c58f7,21,997489d7566ac4e36647214cf3b14d25b9ffa45a74839e8291fdd28623771d62
2,xgboost__sample_007,xgboost,a3b93c59aa923efd98df4f1ff2759ccd3135ad9a3719d41910892a172a117d7b,21,7e17356cca4c9b22c8df64298287387f5d4b0278deb53463a26ae8e302945c5c
2,xgboost__sample_008,xgboost,81cb7afb7f7c9cf05ac75a5c53233f06bfb50e41a65f88646d69947b081541ca,21,65ab6a2d9110b66a5f9780aa7025c8b737fc1186ffc08dbb7eebd360eb0d9e1d
2,xgboost__sample_009,xgboost,e20b7814657f8f22c84f20c7bc9b22c993e29db73dd9c753b12fd40df695cdee,21,e4efbb610f0bfae7b2a6fc2c296d751da12ad82be8a643a6130c8c08828cfbb3
2,xgboost__sample_010,xgboost,e4e2c0a1eed684aec6bc95654d6d20fbd07c88eb24f916b3a816094cfec7c91a,21,108295472f9e91fce01e79bd9c9b27ac9a3035b401e239c04f646d9b5723c778
2,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,21,c85197b988b1c33da446284379514f7b594cd5cbc3a359778bd3aceae018e7ac
2,xgboost__sample_012,xgboost,ff56140cd08f85e52f017ade3f415f87f2fd9556e010060be234fc7c78cf12f9,21,9092ec8ad6d736856b35952fe7e834e3d1a4668c198685f790f993d3b31db118
3,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,21,6ea2ae971a8f70313a23c2d4733ee1f5d83bb93d5fafd8ef0b255c0ab1a151ac
3,lightgbm__sample_001,lightgbm,9fb7e195a1a3999679ffb8515e151b1a64c7708f1cc6324e4f7533424530ae6f,21,c0878acc971733a84f66cdf93bca6e1fee0cdcbb9ef0355e46d05518fd2350cd
3,lightgbm__sample_002,lightgbm,1e05b564d29fe00c97569cd337a22730f36a6b23b4897719ca87c58e9aad1bb5,21,02acef4a27a969ff7036017d6db0c789ec7e8c1a362ec54f9df8dd9169acf560
3,lightgbm__sample_003,lightgbm,26c1fca471f5cf050262f8fe879d629c63465bfa01be1a8ec3b1a83a3d772dbe,21,e795240d6f5af11489ed832df102605cd16c7ac99c3403635f9b8e56daed5097
3,lightgbm__sample_004,lightgbm,ae41f71a82808f74345feaded52fd4a8baf9e129a5aa62a63fa6580b8310d1d2,21,f68bdca5138f6a8f91b899b5403e038beef5d065e109b0407a2ef35de13045f9
3,lightgbm__sample_005,lightgbm,0134b3aa9850a9541602b68f7c635d94c57fccaf6543ca7eabd79dabe0012328,21,e01af110a497bb2f189d13e86328f1b5e9e8796ca25e5ea1bc498d05a82591ce
3,lightgbm__sample_006,lightgbm,cef59d0eeede5983f6948b11ee3c9a8aeedfcc43c0d1ea55ea750e1f2249ef47,21,08b14d18aaeee91cb95eafcbc056cfadafd7b7e235558343c0c7855f00155b4c
3,lightgbm__sample_007,lightgbm,2313a681eb1700e418230fd23be34fb5ead5068cf9dae1c0b542a7a14fae53fa,21,2c6ff58a1639dc8d0dd3a85503f3370634fbfdf2d8a4179a5f4f76510529fb5b
3,lightgbm__sample_008,lightgbm,770e20cf9a96d270f6b330e0b9a2b499738e34b158536c84dfe0789488fc7a80,21,7c1089db16088aceb6917596c4091a9705bc400ee0d5cb93c0161c0be2e82382
3,lightgbm__sample_009,lightgbm,6b2aa3d40f3ba7e5487a2ff90c48aebe73dba7b932a2092a0341545fcd871d68,21,3662cd7f12fff53006fd8a7136fbedd930b990bfce154a47c7c474678bee41f0
3,lightgbm__sample_010,lightgbm,cb6925bf4b890d78ea27355cf44c8162e0586e8280375077a2d75a94aafd4cca,21,210cd839822be2e32129b80028a0bd99980794442e12fd32fbe5243efe575343
3,lightgbm__sample_011,lightgbm,5e605a0115fb4d4d861ac5f75d8f3b4988fed3dc9a9ee02837d4ec51cad14bd6,21,6fc7a02ae88d7b959954688958a7b39604d0297ee5e618028e0100887ba5c26c
3,lightgbm__sample_012,lightgbm,4dc1f42afdc56a76d3dc2c977df9e3323f5b93f95c35926c71e0cd1884adc571,21,46b2db68efbdf671c569a04607ca8916a7f610d9f709f4d1993efe8cd84a099b
3,xgboost__anchor,xgboost,e86a4866b9e6a54ce3a72b39db9e3cff3b8c37fb63959e5ac9c62bf7edcf1d27,21,29106a94304da3b2f172a9bc7d23da9b0454ea38f68cb1aa400edae2fa1039f0
3,xgboost__sample_001,xgboost,683ddcaeb950e4f91911e77e7eebab5ed13d5b63410ca6a0072f5326be6daca5,21,898826c69d60a68816b87d84df8eeb9347fd4b252e2826d5ef9a13dc1da1f169
3,xgboost__sample_002,xgboost,e3a56a33f2a00a8cf388e76d4bfd784a5139d8512e7ed186a68bfceb955b1898,21,0bbe0a7d9494e4d30d6de10d3208bad7b1fc9e39efe61a57bd11e6e74b59114f
3,xgboost__sample_003,xgboost,f33803e13dc51ed3704ada88b8c26ecb85cdcf5729c213483a07d9d9eee177ed,21,139c0516e8aee7e3ceafaf3fe785e6f71da21432dad0f1305dd16585c4cc5100
3,xgboost__sample_004,xgboost,5c101d699883a1509866360b684c86d6cd9fba0ffd2f11435e8405a12a202949,21,68a070341012975aca36b09102274c2b600e854b442124fda9703715a27731d9
3,xgboost__sample_005,xgboost,bd84cb0774f2f4a0f50e1df6091325713d3d968de32b2d4c7915616bf5837012,21,c97c8817e22a195fdc1b6c65f9b52d446aec8ee7abdbe6d380a02b119a6d90d6
3,xgboost__sample_006,xgboost,ee72e4c99b57ec4d74f34a0ee0f6621cfd343afee111925d6d6152f9f58c58f7,21,6873bcd888b6a1c7be4d427226fd52290ba53bc68b718ab9e38a06989a0250c9
3,xgboost__sample_007,xgboost,a3b93c59aa923efd98df4f1ff2759ccd3135ad9a3719d41910892a172a117d7b,21,77e87a81e1db275df58aa10dc1dc4759dc6b15c3f3c53d9c3c409b6957215ab8
3,xgboost__sample_008,xgboost,81cb7afb7f7c9cf05ac75a5c53233f06bfb50e41a65f88646d69947b081541ca,21,10b86e982944d3cbfd1f231e9003c2c9a6221685134d40bf309313e442aee7a9
3,xgboost__sample_009,xgboost,e20b7814657f8f22c84f20c7bc9b22c993e29db73dd9c753b12fd40df695cdee,21,4ea5cbc31fbd0ad3fb228aebfa0af9fa86f4f112d14ccb7dd217640ff952abb5
3,xgboost__sample_010,xgboost,e4e2c0a1eed684aec6bc95654d6d20fbd07c88eb24f916b3a816094cfec7c91a,21,55a1d82b6b56e6893d9a8896980f0409dae71aabfde5077cdb1f615646a6f404
3,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,21,d95662df958dbcc11ba99ac9d3ce700d496825ea705e90d626f545948daaa557
3,xgboost__sample_012,xgboost,ff56140cd08f85e52f017ade3f415f87f2fd9556e010060be234fc7c78cf12f9,21,efb35e5510c6c0d5fe4323c0a98acd39cd7ec3d73ca764d5b24dd5ce3bc14663
4,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,21,6973ad4fbab101761b791055fcd48d5a49e056a824dcee0fe354801f0d0f56d7
4,lightgbm__sample_001,lightgbm,9fb7e195a1a3999679ffb8515e151b1a64c7708f1cc6324e4f7533424530ae6f,21,fd5f87441603b07ec014044fff27bdd19d555fd8c1fe0494326825bbe00c5c17
4,lightgbm__sample_002,lightgbm,1e05b564d29fe00c97569cd337a22730f36a6b23b4897719ca87c58e9aad1bb5,21,7dee8f6b851e0ee3cb838646b60753be398608d01cf45b9ee4b81422347b3633
4,lightgbm__sample_003,lightgbm,26c1fca471f5cf050262f8fe879d629c63465bfa01be1a8ec3b1a83a3d772dbe,21,ad33ee95f5a902db1b4355a6c4e883cdec7b7991745913c23056422588ea0ac8
4,lightgbm__sample_004,lightgbm,ae41f71a82808f74345feaded52fd4a8baf9e129a5aa62a63fa6580b8310d1d2,21,29c126a97d971e85e5ac05d0f7345e0e3e468a12ffa3de56160841268c8aa5a5
