candidate_id,model_family,candidate_kind,sample_order,params_json,candidate_hash,reference_protocol_hash
lightgbm__anchor,lightgbm,frozen_anchor,0,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_001,lightgbm,sampled_cartesian,1,"{""learning_rate"":0.05,""max_depth"":6,""min_child_samples"":20,""n_estimators"":400,""n_jobs"":4,""num_leaves"":15,""random_state"":42}",9fb7e195a1a3999679ffb8515e151b1a64c7708f1cc6324e4f7533424530ae6f,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_002,lightgbm,sampled_cartesian,2,"{""learning_rate"":0.03,""max_depth"":8,""min_child_samples"":20,""n_estimators"":400,""n_jobs"":4,""num_leaves"":63,""random_state"":42}",1e05b564d29fe00c97569cd337a22730f36a6b23b4897719ca87c58e9aad1bb5,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_003,lightgbm,sampled_cartesian,3,"{""learning_rate"":0.03,""max_depth"":8,""min_child_samples"":40,""n_estimators"":400,""n_jobs"":4,""num_leaves"":63,""random_state"":42}",26c1fca471f5cf050262f8fe879d629c63465bfa01be1a8ec3b1a83a3d772dbe,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_004,lightgbm,sampled_cartesian,4,"{""learning_rate"":0.05,""max_depth"":8,""min_child_samples"":80,""n_estimators"":100,""n_jobs"":4,""num_leaves"":31,""random_state"":42}",ae41f71a82808f74345feaded52fd4a8baf9e129a5aa62a63fa6580b8310d1d2,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_005,lightgbm,sampled_cartesian,5,"{""learning_rate"":0.05,""max_depth"":8,""min_child_samples"":40,""n_estimators"":100,""n_jobs"":4,""num_leaves"":15,""random_state"":42}",0134b3aa9850a9541602b68f7c635d94c57fccaf6543ca7eabd79dabe0012328,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_006,lightgbm,sampled_cartesian,6,"{""learning_rate"":0.1,""max_depth"":6,""min_child_samples"":10,""n_estimators"":100,""n_jobs"":4,""num_leaves"":31,""random_state"":42}",cef59d0eeede5983f6948b11ee3c9a8aeedfcc43c0d1ea55ea750e1f2249ef47,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_007,lightgbm,sampled_cartesian,7,"{""learning_rate"":0.05,""max_depth"":4,""min_child_samples"":10,""n_estimators"":200,""n_jobs"":4,""num_leaves"":31,""random_state"":42}",2313a681eb1700e418230fd23be34fb5ead5068cf9dae1c0b542a7a14fae53fa,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_008,lightgbm,sampled_cartesian,8,"{""learning_rate"":0.1,""max_depth"":4,""min_child_samples"":20,""n_estimators"":100,""n_jobs"":4,""num_leaves"":63,""random_state"":42}",770e20cf9a96d270f6b330e0b9a2b499738e34b158536c84dfe0789488fc7a80,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_009,lightgbm,sampled_cartesian,9,"{""learning_rate"":0.1,""max_depth"":6,""min_child_samples"":80,""n_estimators"":200,""n_jobs"":4,""num_leaves"":63,""random_state"":42}",6b2aa3d40f3ba7e5487a2ff90c48aebe73dba7b932a2092a0341545fcd871d68,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_010,lightgbm,sampled_cartesian,10,"{""learning_rate"":0.05,""max_depth"":4,""min_child_samples"":80,""n_estimators"":200,""n_jobs"":4,""num_leaves"":31,""random_state"":42}",cb6925bf4b890d78ea27355cf44c8162e0586e8280375077a2d75a94aafd4cca,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_011,lightgbm,sampled_cartesian,11,"{""learning_rate"":0.1,""max_depth"":6,""min_child_samples"":80,""n_estimators"":400,""n_jobs"":4,""num_leaves"":15,""random_state"":42}",5e605a0115fb4d4d861ac5f75d8f3b4988fed3dc9a9ee02837d4ec51cad14bd6,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
lightgbm__sample_012,lightgbm,sampled_cartesian,12,"{""learning_rate"":0.1,""max_depth"":8,""min_child_samples"":80,""n_estimators"":400,""n_jobs"":4,""num_leaves"":15,""random_state"":42}",4dc1f42afdc56a76d3dc2c977df9e3323f5b93f95c35926c71e0cd1884adc571,a2c51deb4d94e33d71863f1f1c7927470266b7352647664f3a411fb5db819b4e
xgboost__anchor,xgboost,frozen_anchor,0,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",e86a4866b9e6a54ce3a72b39db9e3cff3b8c37fb63959e5ac9c62bf7edcf1d27,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431
xgboost__sample_001,xgboost,sampled_cartesian,1,"{""learning_rate"":0.1,""max_depth"":5,""min_child_weight"":1.0,""n_estimators"":200,""n_jobs"":4,""random_state"":42,""subsample"":0.85}",683ddcaeb950e4f91911e77e7eebab5ed13d5b63410ca6a0072f5326be6daca5,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431
xgboost__sample_002,xgboost,sampled_cartesian,2,"{""learning_rate"":0.1,""max_depth"":3,""min_child_weight"":3.0,""n_estimators"":200,""n_jobs"":4,""random_state"":42,""subsample"":0.7}",e3a56a33f2a00a8cf388e76d4bfd784a5139d8512e7ed186a68bfceb955b1898,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431
xgboost__sample_003,xgboost,sampled_cartesian,3,"{""learning_rate"":0.05,""max_depth"":7,""min_child_weight"":6.0,""n_estimators"":100,""n_jobs"":4,""random_state"":42,""subsample"":0.7}",f33803e13dc51ed3704ada88b8c26ecb85cdcf5729c213483a07d9d9eee177ed,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431
xgboost__sample_004,xgboost,sampled_cartesian,4,"{""learning_rate"":0.1,""max_depth"":7,""min_child_weight"":3.0,""n_estimators"":200,""n_jobs"":4,""random_state"":42,""subsample"":1.0}",5c101d699883a1509866360b684c86d6cd9fba0ffd2f11435e8405a12a202949,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431
xgboost__sample_005,xgboost,sampled_cartesian,5,"{""learning_rate"":0.03,""max_depth"":5,""min_child_weight"":1.0,""n_estimators"":400,""n_jobs"":4,""random_state"":42,""subsample"":1.0}",bd84cb0774f2f4a0f50e1df6091325713d3d968de32b2d4c7915616bf5837012,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431
xgboost__sample_006,xgboost,sampled_cartesian,6,"{""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":3.0,""n_estimators"":100,""n_jobs"":4,""random_state"":42,""subsample"":0.7}",ee72e4c99b57ec4d74f34a0ee0f6621cfd343afee111925d6d6152f9f58c58f7,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431
xgboost__sample_007,xgboost,sampled_cartesian,7,"{""learning_rate"":0.05,""max_depth"":7,""min_child_weight"":6.0,""n_estimators"":200,""n_jobs"":4,""random_state"":42,""subsample"":1.0}",a3b93c59aa923efd98df4f1ff2759ccd3135ad9a3719d41910892a172a117d7b,ac07a43b2554a2f178e9a63e28a1462cee253d613f122516e26ac0dcfe6c7431
