outer_fold,pm,target_id,candidate_id,model_family,candidate_hash,params_json,selection_hash,threshold_source,threshold_hash,q_low,q_high,n_train,n_test,train_sample_hash,test_sample_hash,specification_hash,run_id
1,attention,target_attention,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,"{""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":3.0,""n_estimators"":400,""n_jobs"":4,""random_state"":42,""subsample"":0.85}",b6f1bc21dc472fc8cb7b993d5941075deda137984301e7d1c1754c3fdaf3cc8c,full_outer_train_only,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,0.40640833333333337,0.5057536666666667,15241,4275,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,de154b1d153684c0260152372adf02e4ae0c6c7af5b1e8a263cb7029826d6bff,da63007eb960a55e3d12bbfa4b1e603cc07d15a4fd14cfd2341027574c479375,outer_01__xgboost__sample_011__attention__da63007eb960
1,engagement,target_engagement,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,"{""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":3.0,""n_estimators"":400,""n_jobs"":4,""random_state"":42,""subsample"":0.85}",b6f1bc21dc472fc8cb7b993d5941075deda137984301e7d1c1754c3fdaf3cc8c,full_outer_train_only,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,0.5800476666666666,0.6855443333333333,15934,4556,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,67f354ee89ea37a61a3ada66cd680b7acca6402cf988484a3f103bbe6a1ea308,c6688cc4f94982007acdce5c7255f85f50dcd17588ecc61df1a0db6a66b487b3,outer_01__xgboost__sample_011__engagement__c6688cc4f949
1,excitement,target_excitement,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,"{""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":3.0,""n_estimators"":400,""n_jobs"":4,""random_state"":42,""subsample"":0.85}",b6f1bc21dc472fc8cb7b993d5941075deda137984301e7d1c1754c3fdaf3cc8c,full_outer_train_only,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,0.198928,0.3627136666666666,15941,4710,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,e43df2977fae51181563a89ebe1901ff393e6b5cba8ed408ad7fc9b9f35a396f,24928b9ffe5ff734c9a868ac4dadb69b664a0d623e20dee21652346e80fa187c,outer_01__xgboost__sample_011__excitement__24928b9ffe5f
1,stress,target_stress,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,"{""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":3.0,""n_estimators"":400,""n_jobs"":4,""random_state"":42,""subsample"":0.85}",b6f1bc21dc472fc8cb7b993d5941075deda137984301e7d1c1754c3fdaf3cc8c,full_outer_train_only,bc3be14a13e7a39ebeab010389e1c408e3b117b37aecad2317d7955676362ffa,0.4029856666666667,0.461275,15924,4905,5646662f70b23c348f500bc8018a5f316a9dcaa12c89cf89cf99c0ffff37fe88,27316e27e81623be5710188c4bbac0e88bcacf5cadc8bb5a949740e60da30e9c,b4a876bc0a4ac774986d1e4d62a432fa5d35c66a2572891413bddf04e8bdd576,outer_01__xgboost__sample_011__stress__b4a876bc0a4a
1,relaxation,target_relaxation,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,"{""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":3.0,""n_estimators"":400,""n_jobs"":4,""random_state"":42,""subsample"":0.85}",b6f1bc21dc472fc8cb7b993d5941075deda137984301e7d1c1754c3fdaf3cc8c,full_outer_train_only,38b0c29f91cf04074516bcbbf6cf6e9362b22718f7ac54fdbe5adf6de43d5d14,0.25662399999999996,0.39230799999999993,15947,4860,80bdf541d6d3f3dc1ccae382c9f7be6cac38ef75bc83ec94bf56735813804e10,c1afb9aa0088b812a4435cbb039e93c3b5ee862be868e1f9fddad73d9039f84e,6e64096474f50c2245b01d3a09d09257133b6ae55f508630781016ee919eeb38,outer_01__xgboost__sample_011__relaxation__6e64096474f5
1,interest,target_interest,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,"{""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":3.0,""n_estimators"":400,""n_jobs"":4,""random_state"":42,""subsample"":0.85}",b6f1bc21dc472fc8cb7b993d5941075deda137984301e7d1c1754c3fdaf3cc8c,full_outer_train_only,bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317,0.480751,0.5305233333333333,15927,4692,5ca8d61de646678312a2d530cab97192f5b8c2fdb963f8ebda9a06db87a1f1fc,a0260a8ab39881763eb4e325fd53edc7ec081f92af2727d8594f4df8879b5c2c,91da40c801cb1067025283d808a008e4e61bc64257e58ee6aa02c83bdcaaf423,outer_01__xgboost__sample_011__interest__91da40c801cb
1,focus,target_focus,xgboost__sample_011,xgboost,1ad77897eacf7637d513ebf337a69a2c8f1fc20a1f45322b398025bf229b6705,"{""learning_rate"":0.03,""max_depth"":3,""min_child_weight"":3.0,""n_estimators"":400,""n_jobs"":4,""random_state"":42,""subsample"":0.85}",b6f1bc21dc472fc8cb7b993d5941075deda137984301e7d1c1754c3fdaf3cc8c,full_outer_train_only,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,0.368801,0.4654386666666666,15934,4745,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,381d93223110b7cd5af5a9072e8cc67788a90d37fc4f882691959ddfbd2affcf,29d7077229da844bf2a39738dc30514a7ebf905d2a3270a91155ce0f84180137,outer_01__xgboost__sample_011__focus__29d7077229da
2,attention,target_attention,lightgbm__sample_002,lightgbm,1e05b564d29fe00c97569cd337a22730f36a6b23b4897719ca87c58e9aad1bb5,"{""learning_rate"":0.03,""max_depth"":8,""min_child_samples"":20,""n_estimators"":400,""n_jobs"":4,""num_leaves"":63,""random_state"":42}",b6f1bc21dc472fc8cb7b993d5941075deda137984301e7d1c1754c3fdaf3cc8c,full_outer_train_only,05b80bfaecd22890a7e360375d08013c2763762bc191dded6a0bbd75f29be07f,0.409755,0.5089703333333333,15830,3758,268687b6f9714bde2a4a9a04b3242317a7f895633752dd62d71cf4dc00d641ec,b4cc1d71691f8cf260d0ed50d1954ca1777308d68077cd47de86eaee2da12b48,cf130dfb1660c1e2f9fa340bdd1b740ee84948981b9f28e08685d2cf7117bfef,outer_02__lightgbm__sample_002__attention__cf130dfb1660
2,engagement,target_engagement,lightgbm__sample_002,lightgbm,1e05b564d29fe00c97569cd337a22730f36a6b23b4897719ca87c58e9aad1bb5,"{""learning_rate"":0.03,""max_depth"":8,""min_child_samples"":20,""n_estimators"":400,""n_jobs"":4,""num_leaves"":63,""random_state"":42}",b6f1bc21dc472fc8cb7b993d5941075deda137984301e7d1c1754c3fdaf3cc8c,full_outer_train_only,96921223f37aee74e8576505e04d8d93656b6d22365a8c1e79d1aadc606e3780,0.572122,0.682083,16404,3812,878c34cf2e7399941af30ed0623103fcf66324e3c84753cfd8725855ef681b41,d1c0c3f41a197b888e61f826c8d257e63f594530cdcdb07e36b2712683c8bfb2,41fe79d5f0a13a3819d4fd229f9c17086a9664a67c004952c87d73f3059f198e,outer_02__lightgbm__sample_002__engagement__41fe79d5f0a1
2,excitement,target_excitement,lightgbm__sample_002,lightgbm,1e05b564d29fe00c97569cd337a22730f36a6b23b4897719ca87c58e9aad1bb5,"{""learning_rate"":0.03,""max_depth"":8,""min_child_samples"":20,""n_estimators"":400,""n_jobs"":4,""num_leaves"":63,""random_state"":42}",b6f1bc21dc472fc8cb7b993d5941075deda137984301e7d1c1754c3fdaf3cc8c,full_outer_train_only,8cf290447cc76b4db2bf7811a784e38768237f66e910c108ea9bd99fce1b2673,0.194812,0.357134,16414,4099,8128443e2c1fbe267985083ef437ccfcd31a09508cbb3f5c8359013491a7ae1d,69a9b4d35b261a91db756d8fd8a63d9bfcd811749fe9eb36bb3d4d3db0161c73,feb12ffd1e2374c605218d0a2426f25f4ccb5fa742f54b9994c23ad7668f73f3,outer_02__lightgbm__sample_002__excitement__feb12ffd1e23
