outer_fold,inner_fold,pm,target_id,candidate_id,model_family,candidate_hash,params_json,threshold_hash,q_low,q_high,n_train,n_validation,train_sample_hash,validation_sample_hash,split_hash,specification_hash,run_id
1,1,attention,target_attention,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",2348a7589cb23f2ff0c8060f4c10598e03396d8c44120621a5481a9d4c0ecc1e,0.41019066666666665,0.5045289999999999,10131,5452,3c60aebf856fa535392809749d5acae4115f39b08ae090ff22945959fe3cb69e,4eb7828a3066a0fc894430f619fe5370063436564f8669e97fcea92fd1176046,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,a16f83f41f07ae3d6b63caa5c1e2ae3f2a0c3008593ecbd0f5453102f675edd5,outer_01__lightgbm__anchor__inner_01__attention__a16f83f41f07
1,1,engagement,target_engagement,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",eafa92021373a56ac386c9c6fcbbb35f3860fa87032ce471d66da9bf50fbbfa5,0.567854,0.679322,10642,5029,1bbfb01b8802fbec1cbfef592138ad47ef3e6a3713e48faf24c04b348a118590,41ebb97a0fd9117fa80cf7c29d40b4aa50128e4bd665c2cd4f40bb6363786cd2,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,f4cf773bcf3f08b9503c25d99f25dc39c8d2094c466338a38fe839ee892568e9,outer_01__lightgbm__anchor__inner_01__engagement__f4cf773bcf3f
1,1,excitement,target_excitement,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",bbc6bceca8e7fbf5530e49e8ad31c36518749143ffb415d6adf0c6b43ac37799,0.20114233333333334,0.36893533333333334,10647,5251,02bfd92762d1a9eebbb3cce93da050b3df132b46b093fba4bf2bef4247ab6e7b,fad1d3c853cfc6bcf42e887dd2d522a58240f3d13c2967863ff534795309cfa0,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,054f596db3e89ec309c1e0e0fd71d799fd988f80e8bf83130d919c41a042afb6,outer_01__lightgbm__anchor__inner_01__excitement__054f596db3e8
1,1,focus,target_focus,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",6c46b7ef03bd3dd0eb3554671decb63c05af3ed222c21ce812bf11de0c7c8847,0.374149,0.47351866666666664,10642,5265,9f072fa45c49d94af2b615e7a6bfa3fe84f374117b8803cd5e1589729f28a19d,776e669acedf9577bd4a2a2de936bd986df690fa933d95a6ada7e557e09de2aa,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,1df2097dfa47c9ace935f3b19ba99af84bc0eb9ece9049bf680dc366a5232e88,outer_01__lightgbm__anchor__inner_01__focus__1df2097dfa47
1,1,interest,target_interest,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",d70ee7796028ab32ed4ac1fb72f3c468dc25641a8c5b5a4c8bf5269243051f6c,0.48211,0.52643,10639,6006,dc9ddadf2a180cac9eb8a2e4843f06aeb13699c071899430e443628320a462b9,2591da6594dd49192641df7b20cbe45914960aa5065d4b51946b330728e13c3b,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,f467df3fba3900b0f3bc4cc26fc9b1d61843a3c9de4005ec8c06f07cf0c300e3,outer_01__lightgbm__anchor__inner_01__interest__f467df3fba39
1,1,relaxation,target_relaxation,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",59888d69fa5445e3bcfdbe2fcb4f1024ffe8f394838772e41855f10cafbbc696,0.250859,0.38354133333333335,10652,5264,e571e15b1f2bf15fcbf2f1939c143aa324c0b8b69d2ecc692e92e539ad42495f,37e3a96b0b34112d11bab2f964d664755033fa69ec071da83a2bbc6076ebf3db,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,192a236996803e9011dedebbe4988fa748b0b155b8ccb6641bcd7f7b24eb0c83,outer_01__lightgbm__anchor__inner_01__relaxation__192a23699680
1,1,stress,target_stress,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",f828919be684cbca880402ed6a0cd960e058c0df3b7545c633e86910fa3f345a,0.4028533333333333,0.46406166666666665,10638,4955,25209bfa13b7afc4a42f480a17ccca47f00128f8e494a93a44b17cc91e9a8b40,c091cdf800b9c99f25cd320bef04dd2513aed3d51a7ad86fc7710a8b402e3969,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,faad1858dcdbf05e48a903514709c6a2f782d5c3a25bb1873f20e1ec2a055809,outer_01__lightgbm__anchor__inner_01__stress__faad1858dcdb
1,2,attention,target_attention,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",486fc4723e8683e9cee7d4e304c1c3b5e0f1366780e7cf8c1d89b0117d57f597,0.405826,0.512994,10286,4465,52cb4dea58d39afd3763f187a740d30a0c21143b5a10beb59bced9fdf06a5143,12eb4b51a8988cb590f8b0645c3b986b433f2ea8c027ef614c0d3b5b90be088b,eddb1258e626f6c56914670997e8dd36d3c2f15846b3c87e463d763fc7fc7809,1242b995c70a7a0b5b2ed70613cff5a26d259755dcd9bd8d224b70fd704ddd2b,outer_01__lightgbm__anchor__inner_02__attention__1242b995c70a
1,2,engagement,target_engagement,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",10da4a6dc64afcbfa35198652585a862e74aa0369671894ec304126af0395502,0.582765,0.685494,10576,5555,d045b1ddcaaa8d4809c13e5a062f6bd03a249c1db4f84f0082424d32afc2fdad,75dbc3e77fb62645f4c8be722248f8f806e4d310dd4703361390e9218a85f872,eddb1258e626f6c56914670997e8dd36d3c2f15846b3c87e463d763fc7fc7809,306b25389a8928ded3c289c82eda4ef72784ba409e219ec0124b7dec747ee9d1,outer_01__lightgbm__anchor__inner_02__engagement__306b25389a89
1,2,excitement,target_excitement,lightgbm__anchor,lightgbm,75664fbd6cbeea936a5aaf5d64c42ac984701223d9b80ae95614ad07e49553ed,"{""n_estimators"":200,""n_jobs"":4,""random_state"":42}",90307db236747a79ab9867804d5218783dd49a136ad231ccc76b4e39507f9f61,0.194886,0.359338,10581,5194,496a569b95744c7796bcc44f16be96f1aeb4090501a47c30a645c046ec8e182a,efb46c2930464090f6203a04471db7844823c24e87c13e8e3149a4a89cbf3665,eddb1258e626f6c56914670997e8dd36d3c2f15846b3c87e463d763fc7fc7809,947fc6b147527c1612cd82c10ba9d3c71fb46c0e81c9997b3b7e7a1d53af958d,outer_01__lightgbm__anchor__inner_02__excitement__947fc6b14752
