outer_fold,inner_fold,train_subjects,validation_subjects,outer_test_subjects,train_sample_hash,validation_sample_hash,n_train_subjects,n_validation_subjects,n_outer_test_subjects,n_train_rows,n_validation_rows,subject_overlap_count,outer_test_leakage_count,split_hash
1,1,0001508a|0012905a|0110f12e|0182e16c|01c2a0d8|1081b177|20201194|2162c09e|219060fa|21a031f6|30908049|41e2010c|5001d09a|50c02189|517001af|7072a0e0|7092f07b|71c09041|71e10186|71f21142|8030618f|8191f1d9|81e150c1|a02151ac|c1a150b1|d151b0c4|e0c0408a|f0f2a1e1,2182c1cd|40009139|6030f0fd|71a251fa|9192c107|a1b210fc|b0700166|b112005d|b1c2f044|d0724095|d0e2d025|d142d110|d18000a3|f121f1e0|f1a0c120,30c140ca|3110e0c7|40f0714a|7150e10a|71f0603f|81f1f0fe|a1721173|c060c06a|c112918e|d111e017|f1d06060,574c1cac456620fa9cc712299c882386d6bba1e18e917002f2f3c68f2fd83b2f,717fa21531de9f3cec0748989d96313ccb7f805514bae55caa1f6dc5d61233b5,28,15,11,16058,7969,0,0,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565
1,2,0182e16c|20201194|2162c09e|2182c1cd|21a031f6|40009139|41e2010c|6030f0fd|7072a0e0|7092f07b|71a251fa|71e10186|71f21142|8191f1d9|9192c107|a1b210fc|b0700166|b112005d|b1c2f044|c1a150b1|d0724095|d0e2d025|d142d110|d151b0c4|d18000a3|e0c0408a|f0f2a1e1|f121f1e0|f1a0c120,0001508a|0012905a|0110f12e|01c2a0d8|1081b177|219060fa|30908049|5001d09a|50c02189|517001af|71c09041|8030618f|81e150c1|a02151ac,30c140ca|3110e0c7|40f0714a|7150e10a|71f0603f|81f1f0fe|a1721173|c060c06a|c112918e|d111e017|f1d06060,cb6d5ee9a6b85730591b2a319cbd48f16ee9b16750a0aa2bb8b98d260d73cbea,d7b9a278b98f37928d2295ef6b0ca2afadd925b83646056e5a833a070932304a,29,14,11,15940,8087,0,0,eddb1258e626f6c56914670997e8dd36d3c2f15846b3c87e463d763fc7fc7809
1,3,0001508a|0012905a|0110f12e|01c2a0d8|1081b177|2182c1cd|219060fa|30908049|40009139|5001d09a|50c02189|517001af|6030f0fd|71a251fa|71c09041|8030618f|81e150c1|9192c107|a02151ac|a1b210fc|b0700166|b112005d|b1c2f044|d0724095|d0e2d025|d142d110|d18000a3|f121f1e0|f1a0c120,0182e16c|20201194|2162c09e|21a031f6|41e2010c|7072a0e0|7092f07b|71e10186|71f21142|8191f1d9|c1a150b1|d151b0c4|e0c0408a|f0f2a1e1,30c140ca|3110e0c7|40f0714a|7150e10a|71f0603f|81f1f0fe|a1721173|c060c06a|c112918e|d111e017|f1d06060,aef120e9b8bb54445e4accb50a3531be7d8cefce56bb33e3a563c0cf3f26e6f2,b5321a02883c997cf4c1ab4bd3fcdc050afd25d6bae1b5e602d05cd7386bedd1,29,14,11,16056,7971,0,0,b2f755d1fe107cf0eb350a19b0c15a8ff0d7ccdd478e06df1c1dab8b22d75469
2,1,0012905a|01c2a0d8|2162c09e|2182c1cd|219060fa|21a031f6|3110e0c7|40009139|40f0714a|41e2010c|5001d09a|50c02189|7092f07b|7150e10a|71f0603f|8030618f|81e150c1|81f1f0fe|a1721173|b0700166|b112005d|b1c2f044|c112918e|c1a150b1|d0724095|d151b0c4|e0c0408a|f121f1e0|f1a0c120,0001508a|0110f12e|0182e16c|20201194|30908049|30c140ca|71e10186|71f21142|8191f1d9|a1b210fc|c060c06a|d111e017|d142d110|f1d06060,1081b177|517001af|6030f0fd|7072a0e0|71a251fa|71c09041|9192c107|a02151ac|d0e2d025|d18000a3|f0f2a1e1,2880f3f9e0fb234966e58d892c61a94d509cd47e83e9fd353351e26f1b27c524,a659faec9cb58d4b9c3e1217a3011e9f98c6c9443a555e35cd11b7ca9ac1a293,29,14,11,16563,8203,0,0,e6bb30ec7120263b9d4791c1d45b8ae2f25d7368340f2c7df77c258686935bcf
2,2,0001508a|0012905a|0110f12e|0182e16c|20201194|2162c09e|219060fa|30908049|30c140ca|3110e0c7|5001d09a|50c02189|7150e10a|71e10186|71f21142|8030618f|8191f1d9|81e150c1|a1721173|a1b210fc|b112005d|c060c06a|c1a150b1|d0724095|d111e017|d142d110|f121f1e0|f1d06060,01c2a0d8|2182c1cd|21a031f6|40009139|40f0714a|41e2010c|7092f07b|71f0603f|81f1f0fe|b0700166|b1c2f044|c112918e|d151b0c4|e0c0408a|f1a0c120,1081b177|517001af|6030f0fd|7072a0e0|71a251fa|71c09041|9192c107|a02151ac|d0e2d025|d18000a3|f0f2a1e1,f4c07af2ac19952ccae143d2130a16143af48138bdfa58685a7effe36ee47631,45d781b9fd71b36365b77d200ab74b6997074a8a41c0f3397af1ee7e05dc24ff,28,15,11,16461,8305,0,0,6d34c2e2624fb246b7bc14fcaea4d3ae8f4c193becfdc655ecad557d23e2b688
2,3,0001508a|0110f12e|0182e16c|01c2a0d8|20201194|2182c1cd|21a031f6|30908049|30c140ca|40009139|40f0714a|41e2010c|7092f07b|71e10186|71f0603f|71f21142|8191f1d9|81f1f0fe|a1b210fc|b0700166|b1c2f044|c060c06a|c112918e|d111e017|d142d110|d151b0c4|e0c0408a|f1a0c120|f1d06060,0012905a|2162c09e|219060fa|3110e0c7|5001d09a|50c02189|7150e10a|8030618f|81e150c1|a1721173|b112005d|c1a150b1|d0724095|f121f1e0,1081b177|517001af|6030f0fd|7072a0e0|71a251fa|71c09041|9192c107|a02151ac|d0e2d025|d18000a3|f0f2a1e1,c2a925b40cc71efd60a4bac80afd3388c86d41dec378e85d8f3da471def063c1,a0d5ba43a58732a2a42e990c3e43a773d5b18e57bd92d8c5be82ed401ee73916,29,14,11,16508,8258,0,0,b56460aa75c525f98142a7bf21086da902d6d9c6a4509d87be2924a00b1fb2f5
3,1,0182e16c|219060fa|30908049|30c140ca|3110e0c7|6030f0fd|7072a0e0|7092f07b|7150e10a|71a251fa|71c09041|71f0603f|8030618f|8191f1d9|81f1f0fe|9192c107|a02151ac|a1721173|a1b210fc|b1c2f044|c060c06a|c112918e|c1a150b1|d0e2d025|d151b0c4|d18000a3|e0c0408a|f0f2a1e1|f1d06060,0001508a|0110f12e|01c2a0d8|1081b177|2182c1cd|40009139|40f0714a|517001af|71e10186|81e150c1|b112005d|d111e017|f121f1e0|f1a0c120,0012905a|20201194|2162c09e|21a031f6|41e2010c|5001d09a|50c02189|71f21142|b0700166|d0724095|d142d110,1fdba969b656057f6c5e0fe2052a90767273b6f4b6164d76251bee0edbd793c8,8043b78a91244a8aeed6ac9ef00fd4c4cc02dbcfe04d54eeec0d53f2f5570457,29,14,11,16613,8308,0,0,8229dd25f97687fcda8a89b3c30963d61fcf8cad85357516eb3b85dd726e682b
3,2,0001508a|0110f12e|0182e16c|01c2a0d8|1081b177|2182c1cd|30c140ca|3110e0c7|40009139|40f0714a|517001af|6030f0fd|7072a0e0|7150e10a|71c09041|71e10186|81e150c1|81f1f0fe|9192c107|a02151ac|b112005d|c060c06a|d0e2d025|d111e017|d151b0c4|e0c0408a|f121f1e0|f1a0c120|f1d06060,219060fa|30908049|7092f07b|71a251fa|71f0603f|8030618f|8191f1d9|a1721173|a1b210fc|b1c2f044|c112918e|c1a150b1|d18000a3|f0f2a1e1,0012905a|20201194|2162c09e|21a031f6|41e2010c|5001d09a|50c02189|71f21142|b0700166|d0724095|d142d110,8eb8569f8f8a70dab17120e6dd997587dc0637076cfe9cada64693f9de1dc4cf,b1b9fdc44dad36f0b8347e5ce7e9156773a12bdd080063e8b1dcc00aa304b661,29,14,11,16559,8362,0,0,e2066c4a65a9f1dda83c71d35b7fc9713a4e3ee0d1a553a0b7cb131ebcbfa9f5
3,3,0001508a|0110f12e|01c2a0d8|1081b177|2182c1cd|219060fa|30908049|40009139|40f0714a|517001af|7092f07b|71a251fa|71e10186|71f0603f|8030618f|8191f1d9|81e150c1|a1721173|a1b210fc|b112005d|b1c2f044|c112918e|c1a150b1|d111e017|d18000a3|f0f2a1e1|f121f1e0|f1a0c120,0182e16c|30c140ca|3110e0c7|6030f0fd|7072a0e0|7150e10a|71c09041|81f1f0fe|9192c107|a02151ac|c060c06a|d0e2d025|d151b0c4|e0c0408a|f1d06060,0012905a|20201194|2162c09e|21a031f6|41e2010c|5001d09a|50c02189|71f21142|b0700166|d0724095|d142d110,5041034a4e1dfb2ff024fafa0ec32e25530a76b5f3c8199a091b640e521b51fe,eb85218c381a199036b2863b4df3fd35802b4450184efc79e551d35c312ba4cc,28,15,11,16670,8251,0,0,d2c5749e0b7de80be5becda73c998d6034a8390eab7726ce24514f36bb99bba0
4,1,0110f12e|20201194|2162c09e|2182c1cd|219060fa|21a031f6|30c140ca|40f0714a|41e2010c|5001d09a|50c02189|6030f0fd|7072a0e0|7150e10a|71e10186|71f0603f|8191f1d9|81e150c1|81f1f0fe|a1721173|b0700166|c060c06a|c1a150b1|d0724095|d0e2d025|e0c0408a|f0f2a1e1|f121f1e0|f1d06060,0001508a|0012905a|0182e16c|1081b177|3110e0c7|517001af|71a251fa|71c09041|71f21142|9192c107|a02151ac|c112918e|d111e017|d142d110|d18000a3,01c2a0d8|30908049|40009139|7092f07b|8030618f|a1b210fc|b112005d|b1c2f044|d151b0c4|f1a0c120,17c3d82b608f740bc133b6f12cbd6547ff0eeaf55bc171e40cab658ad9fb204d,37ec90b71a3b4d58b64732492e09399eb18154e4c7ea0f10f42839d69674b817,29,15,10,16850,8332,0,0,b1d3a10e2d9694dd332eb13c2a6214c03e202cf304cb32ac2c2917fe5dc4d781
4,2,0001508a|0012905a|0182e16c|1081b177|20201194|2162c09e|2182c1cd|21a031f6|3110e0c7|40f0714a|5001d09a|50c02189|517001af|6030f0fd|71a251fa|71c09041|71e10186|71f21142|9192c107|a02151ac|b0700166|c112918e|c1a150b1|d0e2d025|d111e017|d142d110|d18000a3|e0c0408a|f0f2a1e1|f1d06060,0110f12e|219060fa|30c140ca|41e2010c|7072a0e0|7150e10a|71f0603f|8191f1d9|81e150c1|81f1f0fe|a1721173|c060c06a|d0724095|f121f1e0,01c2a0d8|30908049|40009139|7092f07b|8030618f|a1b210fc|b112005d|b1c2f044|d151b0c4|f1a0c120,832f41cfe277f1ea1b5b721f58fe2b164ed3cf8fe3e3665ed92bf984d39ac067,2ff84d036c8f6ad18e8763e9e9654e4b8859c477cc614545ae6d21b2886d5ef0,30,14,10,16786,8396,0,0,e680bc3aa5e3e927eb3c1c14d09b3b85435367d92b5c2cf8012d1a6c03dccb17
