outer_fold,inner_fold,pm,fit_scope,fit_sample_hash,q_low,q_high,train_subject_hash,validation_subject_hash,target_id,threshold_source,validation_threshold_policy,threshold_hash,outer_threshold_hash,outer_threshold_reused_inside_inner_cv,validation_labels_used_for_thresholds,outer_test_labels_used,n_threshold_fit,n_inner_train_before,n_inner_train_low,n_inner_train_high,n_inner_validation_before,n_inner_validation_low,n_inner_validation_high,inner_train_retained_sample_hash,inner_validation_retained_sample_hash,split_hash,class_complete_train,class_complete_validation,subject_overlap_count
1,1,attention,inner_train_continuous_complete_cases,233dc237f160ceb46e56dc7d8aa9213f87ba78f50764edbe764cee1e148413b3,0.41019066666666665,0.5045289999999999,f0b90eab49f0adfad0b576c8fd36a0295a5579a28ec26976733d45d1d465f00c,bc7346a36416e971d2f6e9958bbf14fba7ea620fb99160c7125632379f639e05,target_attention,inner_train_only,reuse_inner_train_unchanged,2348a7589cb23f2ff0c8060f4c10598e03396d8c44120621a5481a9d4c0ecc1e,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,False,False,False,15264,15195,5049,5082,7656,2834,2618,3c60aebf856fa535392809749d5acae4115f39b08ae090ff22945959fe3cb69e,4eb7828a3066a0fc894430f619fe5370063436564f8669e97fcea92fd1176046,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,True,True,0
1,1,engagement,inner_train_continuous_complete_cases,574c1cac456620fa9cc712299c882386d6bba1e18e917002f2f3c68f2fd83b2f,0.567854,0.679322,f0b90eab49f0adfad0b576c8fd36a0295a5579a28ec26976733d45d1d465f00c,bc7346a36416e971d2f6e9958bbf14fba7ea620fb99160c7125632379f639e05,target_engagement,inner_train_only,reuse_inner_train_unchanged,eafa92021373a56ac386c9c6fcbbb35f3860fa87032ce471d66da9bf50fbbfa5,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,False,False,False,16058,15978,5339,5303,7940,1899,3130,1bbfb01b8802fbec1cbfef592138ad47ef3e6a3713e48faf24c04b348a118590,41ebb97a0fd9117fa80cf7c29d40b4aa50128e4bd665c2cd4f40bb6363786cd2,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,True,True,0
1,1,excitement,inner_train_continuous_complete_cases,574c1cac456620fa9cc712299c882386d6bba1e18e917002f2f3c68f2fd83b2f,0.20114233333333334,0.36893533333333334,f0b90eab49f0adfad0b576c8fd36a0295a5579a28ec26976733d45d1d465f00c,bc7346a36416e971d2f6e9958bbf14fba7ea620fb99160c7125632379f639e05,target_excitement,inner_train_only,reuse_inner_train_unchanged,bbc6bceca8e7fbf5530e49e8ad31c36518749143ffb415d6adf0c6b43ac37799,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,False,False,False,16058,15978,5331,5316,7940,2793,2458,02bfd92762d1a9eebbb3cce93da050b3df132b46b093fba4bf2bef4247ab6e7b,fad1d3c853cfc6bcf42e887dd2d522a58240f3d13c2967863ff534795309cfa0,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,True,True,0
1,1,focus,inner_train_continuous_complete_cases,574c1cac456620fa9cc712299c882386d6bba1e18e917002f2f3c68f2fd83b2f,0.374149,0.47351866666666664,f0b90eab49f0adfad0b576c8fd36a0295a5579a28ec26976733d45d1d465f00c,bc7346a36416e971d2f6e9958bbf14fba7ea620fb99160c7125632379f639e05,target_focus,inner_train_only,reuse_inner_train_unchanged,6c46b7ef03bd3dd0eb3554671decb63c05af3ed222c21ce812bf11de0c7c8847,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,False,False,False,16058,15978,5320,5322,7940,3102,2163,9f072fa45c49d94af2b615e7a6bfa3fe84f374117b8803cd5e1589729f28a19d,776e669acedf9577bd4a2a2de936bd986df690fa933d95a6ada7e557e09de2aa,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,True,True,0
1,1,interest,inner_train_continuous_complete_cases,574c1cac456620fa9cc712299c882386d6bba1e18e917002f2f3c68f2fd83b2f,0.48211,0.52643,f0b90eab49f0adfad0b576c8fd36a0295a5579a28ec26976733d45d1d465f00c,bc7346a36416e971d2f6e9958bbf14fba7ea620fb99160c7125632379f639e05,target_interest,inner_train_only,reuse_inner_train_unchanged,d70ee7796028ab32ed4ac1fb72f3c468dc25641a8c5b5a4c8bf5269243051f6c,bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317,False,False,False,16058,15978,5317,5322,7940,2843,3163,dc9ddadf2a180cac9eb8a2e4843f06aeb13699c071899430e443628320a462b9,2591da6594dd49192641df7b20cbe45914960aa5065d4b51946b330728e13c3b,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,True,True,0
1,1,relaxation,inner_train_continuous_complete_cases,574c1cac456620fa9cc712299c882386d6bba1e18e917002f2f3c68f2fd83b2f,0.250859,0.38354133333333335,f0b90eab49f0adfad0b576c8fd36a0295a5579a28ec26976733d45d1d465f00c,bc7346a36416e971d2f6e9958bbf14fba7ea620fb99160c7125632379f639e05,target_relaxation,inner_train_only,reuse_inner_train_unchanged,59888d69fa5445e3bcfdbe2fcb4f1024ffe8f394838772e41855f10cafbbc696,38b0c29f91cf04074516bcbbf6cf6e9362b22718f7ac54fdbe5adf6de43d5d14,False,False,False,16058,15978,5338,5314,7940,2262,3002,e571e15b1f2bf15fcbf2f1939c143aa324c0b8b69d2ecc692e92e539ad42495f,37e3a96b0b34112d11bab2f964d664755033fa69ec071da83a2bbc6076ebf3db,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,True,True,0
1,1,stress,inner_train_continuous_complete_cases,574c1cac456620fa9cc712299c882386d6bba1e18e917002f2f3c68f2fd83b2f,0.4028533333333333,0.46406166666666665,f0b90eab49f0adfad0b576c8fd36a0295a5579a28ec26976733d45d1d465f00c,bc7346a36416e971d2f6e9958bbf14fba7ea620fb99160c7125632379f639e05,target_stress,inner_train_only,reuse_inner_train_unchanged,f828919be684cbca880402ed6a0cd960e058c0df3b7545c633e86910fa3f345a,bc3be14a13e7a39ebeab010389e1c408e3b117b37aecad2317d7955676362ffa,False,False,False,16058,15978,5316,5322,7940,2623,2332,25209bfa13b7afc4a42f480a17ccca47f00128f8e494a93a44b17cc91e9a8b40,c091cdf800b9c99f25cd320bef04dd2513aed3d51a7ad86fc7710a8b402e3969,7a0205442f33f030e322e63a564da3cb7e66fc9baff24c3c3c3b1d688612d565,True,True,0
1,2,attention,inner_train_continuous_complete_cases,b0c51cab56b89ee5793f6f4e5c6b14a78beb6fc9bd4340c9dcb9d0a451324c60,0.405826,0.512994,fc51063f8426e47254fc2375761486d8cf5ac553a0ba39cb03898bb1c597cab0,c8d77f26e371adf0c5fabb198d261cee80d3e044cc0d564052207c4ea65dd8bf,target_attention,inner_train_only,reuse_inner_train_unchanged,486fc4723e8683e9cee7d4e304c1c3b5e0f1366780e7cf8c1d89b0117d57f597,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,False,False,False,15469,15414,5130,5156,7437,2425,2040,52cb4dea58d39afd3763f187a740d30a0c21143b5a10beb59bced9fdf06a5143,12eb4b51a8988cb590f8b0645c3b986b433f2ea8c027ef614c0d3b5b90be088b,eddb1258e626f6c56914670997e8dd36d3c2f15846b3c87e463d763fc7fc7809,True,True,0
1,2,engagement,inner_train_continuous_complete_cases,cb6d5ee9a6b85730591b2a319cbd48f16ee9b16750a0aa2bb8b98d260d73cbea,0.582765,0.685494,fc51063f8426e47254fc2375761486d8cf5ac553a0ba39cb03898bb1c597cab0,c8d77f26e371adf0c5fabb198d261cee80d3e044cc0d564052207c4ea65dd8bf,target_engagement,inner_train_only,reuse_inner_train_unchanged,10da4a6dc64afcbfa35198652585a862e74aa0369671894ec304126af0395502,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,False,False,False,15940,15872,5308,5268,8046,2873,2682,d045b1ddcaaa8d4809c13e5a062f6bd03a249c1db4f84f0082424d32afc2fdad,75dbc3e77fb62645f4c8be722248f8f806e4d310dd4703361390e9218a85f872,eddb1258e626f6c56914670997e8dd36d3c2f15846b3c87e463d763fc7fc7809,True,True,0
1,2,excitement,inner_train_continuous_complete_cases,cb6d5ee9a6b85730591b2a319cbd48f16ee9b16750a0aa2bb8b98d260d73cbea,0.194886,0.359338,fc51063f8426e47254fc2375761486d8cf5ac553a0ba39cb03898bb1c597cab0,c8d77f26e371adf0c5fabb198d261cee80d3e044cc0d564052207c4ea65dd8bf,target_excitement,inner_train_only,reuse_inner_train_unchanged,90307db236747a79ab9867804d5218783dd49a136ad231ccc76b4e39507f9f61,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,False,False,False,15940,15872,5295,5286,8046,2399,2795,496a569b95744c7796bcc44f16be96f1aeb4090501a47c30a645c046ec8e182a,efb46c2930464090f6203a04471db7844823c24e87c13e8e3149a4a89cbf3665,eddb1258e626f6c56914670997e8dd36d3c2f15846b3c87e463d763fc7fc7809,True,True,0
