subject_id,outer_fold,pm,budget_seconds,budget_minutes,calibration_record_group_id,calibration_record_id,calibration_record_start_utc,calibration_record_duration_seconds,budget_fully_available,actual_elapsed_calibration_seconds,operational_calibration_eligible_min2_each,fixed_evaluation_boundary_utc,fixed_evaluation_ready_min20_both_classes,joint_min2_calibration_and_fixed_evaluation_ready,calibration_extreme_sample_hash,evaluation_extreme_sample_hash,calibration_exact_lag_slots,calibration_pm_available,calibration_missing_pm,calibration_low,calibration_high,calibration_middle,calibration_extreme,calibration_has_any_extreme,calibration_has_both_classes,calibration_min1_each,calibration_min2_each,calibration_min3_each,calibration_min5_each,calibration_extreme_fraction_of_available,reserved_exact_lag_slots,reserved_pm_available,reserved_missing_pm,reserved_low,reserved_high,reserved_middle,reserved_extreme,reserved_has_any_extreme,reserved_has_both_classes,reserved_min1_each,reserved_min2_each,reserved_min3_each,reserved_min5_each,reserved_extreme_fraction_of_available,evaluation_exact_lag_slots,evaluation_pm_available,evaluation_missing_pm,evaluation_low,evaluation_high,evaluation_middle,evaluation_extreme,evaluation_has_any_extreme,evaluation_has_both_classes,evaluation_min1_each,evaluation_min2_each,evaluation_min3_each,evaluation_min5_each,evaluation_extreme_fraction_of_available
0001508a,5,attention,300,5.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,300.0,True,2023-12-18T11:37:47.101283073+00:00,True,True,91ad951ff08cddf2be8ae9f0f105e9ec37aa6a82344d3575083874d2405ba431,dbb52ac37e0df50394b809c11c37cae619defdb3d6f878fa3c51ea10b14a7104,30,30,0,4,13,13,17,True,True,True,True,True,False,0.5666666666666667,60,60,0,52,0,8,52,True,False,False,False,False,False,0.8666666666666667,214,185,29,137,11,37,148,True,True,True,True,True,True,0.8
0001508a,5,attention,600,10.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,600.0,True,2023-12-18T11:37:47.101283073+00:00,True,True,77a65d8fece5a340bfa7a799bce2ebde3333929edfcbf99b9623f60e13d52fd0,dbb52ac37e0df50394b809c11c37cae619defdb3d6f878fa3c51ea10b14a7104,60,60,0,26,13,21,39,True,True,True,True,True,True,0.65,30,30,0,30,0,0,30,True,False,False,False,False,False,1.0,214,185,29,137,11,37,148,True,True,True,True,True,True,0.8
0001508a,5,attention,900,15.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,900.0,True,2023-12-18T11:37:47.101283073+00:00,True,True,3ffb4b3c07d1660078667726a2ff0ea77eda86e1b36033e9865169c2a7ce73bd,dbb52ac37e0df50394b809c11c37cae619defdb3d6f878fa3c51ea10b14a7104,90,90,0,56,13,21,69,True,True,True,True,True,True,0.7666666666666667,0,0,0,0,0,0,0,False,False,False,False,False,False,,214,185,29,137,11,37,148,True,True,True,True,True,True,0.8
0001508a,5,engagement,300,5.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,300.0,False,2023-12-18T11:37:47.101283073+00:00,True,False,5b6727e0016b863bb9ce98a8d7be61823f072cd9436c577dea4c2b19193cba96,0339003edf13477c3490ea7a8d6e1a928090b4378ba7b7799892bdd155fdc504,30,30,0,1,25,4,26,True,True,True,False,False,False,0.8666666666666667,60,60,0,12,11,37,23,True,True,True,True,True,True,0.38333333333333336,214,214,0,97,74,43,171,True,True,True,True,True,True,0.7990654205607477
0001508a,5,engagement,600,10.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,600.0,True,2023-12-18T11:37:47.101283073+00:00,True,True,099f03867e90a33b22a180c771743d7ef98de72b1e7c67108c8f4605445c87cd,0339003edf13477c3490ea7a8d6e1a928090b4378ba7b7799892bdd155fdc504,60,60,0,5,30,25,35,True,True,True,True,True,True,0.5833333333333334,30,30,0,8,6,16,14,True,True,True,True,True,True,0.4666666666666667,214,214,0,97,74,43,171,True,True,True,True,True,True,0.7990654205607477
0001508a,5,engagement,900,15.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,900.0,True,2023-12-18T11:37:47.101283073+00:00,True,True,98cbf576ea73dbe9dbd5218d0d57c204dfae6339d2a62b78854eb77dca7251de,0339003edf13477c3490ea7a8d6e1a928090b4378ba7b7799892bdd155fdc504,90,90,0,13,36,41,49,True,True,True,True,True,True,0.5444444444444444,0,0,0,0,0,0,0,False,False,False,False,False,False,,214,214,0,97,74,43,171,True,True,True,True,True,True,0.7990654205607477
0001508a,5,excitement,300,5.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,300.0,True,2023-12-18T11:37:47.101283073+00:00,True,True,ec26df4dbf7a750f988aeacaddc2c946f564a8795e94d0efa16ded320f6b413f,96e955cabaad7c18af998bd80659ec1da3c40ad342768a3ffc8772af7ef0fae5,30,30,0,17,2,11,19,True,True,True,True,False,False,0.6333333333333333,60,60,0,22,4,34,26,True,True,True,True,True,False,0.43333333333333335,214,214,0,44,81,89,125,True,True,True,True,True,True,0.5841121495327103
0001508a,5,excitement,600,10.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,600.0,True,2023-12-18T11:37:47.101283073+00:00,True,True,6f27c6ed76ab6f808381d80ea4d87278e5621807942a85aa38a3e90d07b1f051,96e955cabaad7c18af998bd80659ec1da3c40ad342768a3ffc8772af7ef0fae5,60,60,0,29,3,28,32,True,True,True,True,True,False,0.5333333333333333,30,30,0,10,3,17,13,True,True,True,True,True,False,0.43333333333333335,214,214,0,44,81,89,125,True,True,True,True,True,True,0.5841121495327103
0001508a,5,excitement,900,15.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,900.0,True,2023-12-18T11:37:47.101283073+00:00,True,True,53217dd724562307d570baf1e3408aaf501f2d6c291a529783f163d9515761a4,96e955cabaad7c18af998bd80659ec1da3c40ad342768a3ffc8772af7ef0fae5,90,90,0,39,6,45,45,True,True,True,True,True,True,0.5,0,0,0,0,0,0,0,False,False,False,False,False,False,,214,214,0,44,81,89,125,True,True,True,True,True,True,0.5841121495327103
0001508a,5,stress,300,5.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,300.0,True,2023-12-18T11:37:47.101283073+00:00,True,True,d4c51caa6757021e5e1f307c76eaef72183f61cbcdd8b079ab55ba9d59b528a4,ded6f655cac50b8fc9ec137ef1b1680023f59a4c96e9d409c391155ff5ded5ba,30,30,0,16,2,12,18,True,True,True,True,False,False,0.6,60,60,0,22,16,22,38,True,True,True,True,True,True,0.6333333333333333,214,214,0,73,108,33,181,True,True,True,True,True,True,0.8457943925233645
