pm,budget_seconds,participant_rows,fully_available,has_both_classes,min2_each,min3_each,min5_each,operational_eligible_min2_each,fixed_eval_ready_min20_both,joint_min2_and_fixed_eval_ready,median_extreme_count,median_low_count,median_high_count,median_middle_count,median_post_900s_evaluation_extremes
attention,300,54,53,30,22,17,11,21,52,20,15.0,6.0,2.5,13.0,310.5
attention,600,54,53,45,43,39,33,42,52,41,30.0,15.0,9.5,28.5,310.5
attention,900,54,53,46,45,44,41,44,52,43,42.5,27.0,12.0,38.0,310.5
engagement,300,54,53,25,12,6,2,12,53,12,25.0,0.5,24.0,4.0,307.5
engagement,600,54,53,39,35,22,12,35,53,35,41.5,2.0,37.0,16.0,307.5
engagement,900,54,53,48,41,34,27,41,53,41,57.0,5.0,41.5,29.5,307.5
excitement,300,54,53,46,40,35,24,39,53,39,18.0,11.0,5.5,11.0,327.5
excitement,600,54,53,51,49,46,40,48,53,48,39.0,19.0,13.0,19.0,327.5
excitement,900,54,53,52,52,48,44,51,53,51,54.5,25.0,22.0,32.0,327.5
focus,300,54,53,36,30,21,13,29,53,29,21.5,14.5,3.0,7.0,324.0
focus,600,54,53,45,39,34,25,38,53,38,40.0,27.0,8.5,17.0,324.0
focus,900,54,53,48,43,39,30,42,53,42,59.5,33.0,12.5,28.5,324.0
interest,300,54,53,43,40,34,27,39,51,39,21.0,13.0,5.0,8.5,317.5
interest,600,54,53,50,45,44,35,44,51,44,42.0,24.5,11.0,15.5,317.5
interest,900,54,53,52,47,46,44,46,51,46,60.0,31.0,17.0,26.5,317.5
relaxation,300,54,53,35,32,20,11,31,53,31,13.0,3.5,5.0,15.0,324.5
relaxation,600,54,53,43,40,35,28,39,53,39,25.5,11.0,9.5,32.0,324.5
relaxation,900,54,53,47,46,42,35,45,53,45,41.5,17.0,14.0,45.5,324.5
stress,300,54,53,44,39,32,22,38,49,38,26.0,18.0,4.0,4.0,291.5
stress,600,54,53,47,44,44,38,43,49,43,45.5,33.0,9.0,12.0,291.5
stress,900,54,53,50,47,45,43,46,49,44,68.0,40.5,12.5,21.0,291.5
