subject_id,pm,outer_fold,full_subject_pm_timeline_hash,post_900s_evaluation_extreme_sample_hash,post_900s_evaluation_extreme,post_900s_evaluation_ready_min20_both_classes
0001508a,attention,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,dbb52ac37e0df50394b809c11c37cae619defdb3d6f878fa3c51ea10b14a7104,148,True
0001508a,engagement,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,0339003edf13477c3490ea7a8d6e1a928090b4378ba7b7799892bdd155fdc504,171,True
0001508a,excitement,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,96e955cabaad7c18af998bd80659ec1da3c40ad342768a3ffc8772af7ef0fae5,125,True
0001508a,stress,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,ded6f655cac50b8fc9ec137ef1b1680023f59a4c96e9d409c391155ff5ded5ba,181,True
0001508a,relaxation,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,e446ed363600c3d6961b2209442c940aa6b1aa2868337bd7da7385e7152fc606,178,True
0001508a,interest,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,9bd461a19ad721b9724969ad2b924ed21bf28b3370c66e2269128263882eea17,107,True
0001508a,focus,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,9b1d394289eb519d01925b3798fffa7674d102dd7b9ccbd9c575d431f56f320e,122,True
0012905a,attention,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,53c27d8b64dc3a0ad7097618e85b44cbd23872522ba17161b24aa9af958d086a,370,True
0012905a,engagement,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,1bdf030b93cb0a15a195c5b8851fb92622e48bd07449ea7dcad780809bcefbb7,514,True
0012905a,excitement,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,5e5aaacadd05689aa7d2a68415287ab9ad5864f2bcff8c75325ee286f5f59b97,444,True
0012905a,stress,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,6034af75b8b2a2f7816f63aac967d701c918fe275174c7e919f926ce4270a415,500,True
0012905a,relaxation,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,f2eef1ae7db0da4814d1064ac9682ea12b8ae2336dc9d64b64e0f08d54e5e5c3,342,True
0012905a,interest,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,223b295b0c4adf1a4ce5afe70e160aa8a919dc2a9e89924450931cf6de71e854,502,True
0012905a,focus,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,55d40fcd763dbe475c10783c4af1a79920f80fb5766a9469e9a40c7eb78a8686,418,True
0110f12e,attention,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,bc2da8a04d495fa7eed2ae861cfaf96d5f1231f3e2148cec99cc08586bbc891c,383,True
0110f12e,engagement,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,1ae6f68b2ac9993495ffb409060fb273633689f78243fdbbe8ca6a53a000a774,389,True
0110f12e,excitement,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,970cfe02bde8b261f37a79e9d2aad1811da98f45c0796e355222f78b864c5007,368,True
