model,budget_seconds,subject_id,n_pm,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy
lightgbm,300,0001508a,7,0.7351445540045296,0.7200597229013004,-0.015084831103229255,0.7072693298796521,0.7203399141144465,0.013070584234794362,0.641730553644053,0.713051992928696,0.07132143928464298,0.8285585543650059,0.7270674528739045,-0.10149110149110149,0.7996585744731153,0.8050993544948762,0.005440780021760992,0.7790182208474575,0.8186788364749241,0.039660615627466464
lightgbm,300,0012905a,7,0.7498175804251822,0.7276785766175173,-0.02213900380766498,0.7462035664778348,0.7182206992972796,-0.027982867180555124,0.8613201731294237,0.8550878284523383,-0.006232344677085238,0.6383149877209409,0.6002693247826961,-0.03804566293824468,0.777839711466215,0.7722208608851294,-0.005618850581085656,0.7599232105979444,0.7369130828627171,-0.02301012773522734
lightgbm,300,0110f12e,7,0.8206767861366455,0.8223864643803311,0.001709678243685429,0.8161611372974736,0.8130391032822875,-0.0031220340151861974,0.8232983713990148,0.8638387541804163,0.04054038278140169,0.8180552008742765,0.7809341745802456,-0.037121026294030836,0.8216624785154928,0.8260753013882892,0.0044128228727964135,0.8223571604545864,0.8192038592403826,-0.0031533012142037314
lightgbm,300,0182e16c,7,0.6941567122411267,0.7269469744747719,0.03279026223364507,0.6404192756033765,0.6870904515968445,0.04667117599346796,0.662860997583976,0.6704094200647083,0.007548422480732049,0.7254524268982774,0.7834845288848354,0.05803210198655811,0.7750558045651516,0.7925277104898039,0.017471905924652437,0.7014132156603576,0.7439536904527408,0.042540474792383196
lightgbm,300,01c2a0d8,7,0.7833500335873779,0.7814928458909532,-0.0018571876964244957,0.7620659015734562,0.7432660526367284,-0.018799848936727703,0.7306323552141866,0.8708832809294957,0.14025092571530923,0.836067711960569,0.6921024108524109,-0.14396530110815825,0.7893197280152815,0.8032094828147018,0.013889754799420609,0.8125822719340817,0.7698445768654707,-0.042737695068611185
lightgbm,300,1081b177,7,0.777486651332083,0.8124051754808604,0.034918524148777434,0.7635741851881522,0.7999496234538199,0.03637543826566773,0.6036810341888703,0.7174977302430475,0.11381669605417728,0.9512922684752957,0.9073126207186732,-0.043979647756622345,0.8122693519664239,0.8100098801434273,-0.0022594718229966204,0.7980127350563413,0.823901876374925,0.025889141318583615
lightgbm,300,20201194,7,0.7235403831284388,0.7679431369361366,0.04440275380769781,0.704313818455243,0.7569257962234323,0.05261197776818928,0.6985025482977198,0.8172002938798876,0.11869774558216768,0.7485782179591578,0.7186859799923857,-0.029892237966772112,0.7733452441610676,0.776567186881677,0.003221942720609288,0.7479512210338699,0.7889823529321287,0.041031131898258875
lightgbm,300,2162c09e,7,0.7774342510604042,0.7974172964788343,0.01998304541842988,0.7633223916475844,0.7680424813700562,0.004720089722471684,0.6268653143054236,0.7318253058413041,0.10495999153588075,0.928003187815385,0.8630092871163642,-0.06499390069902097,0.8021365485835259,0.8020251837953702,-0.00011136478815549593,0.8206648253357198,0.8083398084284863,-0.012325016907233548
lightgbm,300,2182c1cd,7,0.7445936301438291,0.7653252692123867,0.020731639068557763,0.7239428477354163,0.7557301133188572,0.03178726558344104,0.5623036446074978,0.654551907890496,0.09224826328299827,0.9268836156801605,0.8760986305342778,-0.05078498514588276,0.7757460688443915,0.7782940002995922,0.0025479314552006977,0.7384461102338034,0.768874975192248,0.030428864958444688
lightgbm,300,219060fa,5,0.7697911233485356,0.78463314957388,0.014842026225344251,0.7717595152391818,0.7828137725700336,0.011054257330851835,0.804863813475458,0.8331996013988746,0.0283357879234168,0.7347184332216132,0.736066697748885,0.0013482645272717086,0.8422080714723,0.8285264428985405,-0.013681628573759519,0.822648124786135,0.8263868139926906,0.00373868920655529
lightgbm,300,21a031f6,7,0.7681030349384628,0.7596561779347918,-0.008446857003671029,0.7294888287944816,0.7190944548188437,-0.010394373975637963,0.740905658686872,0.7604265105058605,0.01952085181898847,0.7953004111900536,0.758885845363723,-0.036414565826330535,0.7564153530030902,0.7580782707403718,0.0016629177372816661,0.7452383826812408,0.7375040787685928,-0.007734303912647876
lightgbm,300,30908049,7,0.7219783027920543,0.7275242277047497,0.0055459249126953115,0.6620685485270578,0.6381967660785005,-0.023871782448557238,0.7860998059878195,0.8610512655911872,0.07495145960336771,0.6578567995962893,0.5939971898183122,-0.06385960977797711,0.7376291940228954,0.7055160441431028,-0.03211314987979282,0.7243943634724433,0.6820676999079947,-0.04232666356444857
lightgbm,300,30c140ca,7,0.731955268425157,0.7323815013867695,0.0004262329616125461,0.6660537281698691,0.6737175869312578,0.00766385876138861,0.6852866306719644,0.6626060986442555,-0.02268053202770905,0.7786239061783496,0.8021569041292835,0.02353299795093414,0.7262246369162205,0.7268890978723357,0.0006644609561151173,0.6818454767324703,0.6908073161852325,0.008961839452762235
