model,contrast,target_budget_seconds,reference_budget_seconds,subject_id,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
xgboost,600s_minus_300s,600,300,0001508a,0.01230960771127887,0.012939789319376116,-0.0005585597552175692,0.025177775177775197,0.004503759186794909,0.005012531328320802
xgboost,600s_minus_300s,600,300,0012905a,0.01614038668182105,0.023015050843996798,-0.0014636707704480667,0.03374444413409061,0.010908920790213328,0.02044808849883306
xgboost,600s_minus_300s,600,300,0110f12e,-0.000515155055119898,0.00013355276224724655,-0.015018201917680774,0.013987891807440755,-0.0025614699760614368,-0.00042058172625270007
xgboost,600s_minus_300s,600,300,0182e16c,0.05482419477257994,0.08630821471181682,0.14854912969431056,-0.03890074014915068,0.02549881947962651,0.08698912958586558
xgboost,600s_minus_300s,600,300,01c2a0d8,0.009840063308814706,0.021730764703227656,0.04255197806090938,-0.022871851443280078,0.0011805066515413465,0.022828649653776956
xgboost,600s_minus_300s,600,300,1081b177,-0.004573039019380554,-0.0033516368658688123,-0.03410069426341955,0.02495461622465811,0.0044972682693676935,-0.0008610964075143057
xgboost,600s_minus_300s,600,300,20201194,0.0046178696975381905,0.006999946684559055,-0.03191521627451277,0.04115095566958926,0.003866745962396667,0.011641384752040018
xgboost,600s_minus_300s,600,300,2162c09e,0.0010266833494271266,0.009916381985338063,-0.0070027849449812996,0.00905615164383522,0.013215749332192273,0.011454644294772831
xgboost,600s_minus_300s,600,300,2182c1cd,0.005335616643806884,0.005411189186639298,0.00711956712196582,0.0035516661656479487,0.0022739437515915117,0.0032081111001545093
xgboost,600s_minus_300s,600,300,219060fa,0.003450630807585009,0.006646088906064662,-0.015550351288056263,0.022451612903225726,0.0015255737803520075,0.004981444492848541
xgboost,600s_minus_300s,600,300,21a031f6,0.014727919361481323,0.021618134332306416,0.040851306000782905,-0.01139546727782026,0.004111336091906614,0.020282962036751395
xgboost,600s_minus_300s,600,300,30908049,0.01819711809431157,0.03477529660779366,-0.02467171234605514,0.06106594853467795,0.0029620828796632637,0.025270589685399636
xgboost,600s_minus_300s,600,300,30c140ca,-0.04306129235923961,-0.058809811827887026,-0.010082547802387043,-0.07604003691609196,-0.014983915950477877,-0.046715503506445266
xgboost,600s_minus_300s,600,300,3110e0c7,0.0005158265850518928,-0.0009360239005440363,-0.008658212519761954,0.009689865689865629,0.0009155381943442009,-0.0005653024568605947
xgboost,600s_minus_300s,600,300,40009139,0.0009930588472250035,0.0019433930216909978,-0.005352690265476245,0.007338807959926141,0.001747284943781624,0.002330339131427772
xgboost,600s_minus_300s,600,300,40f0714a,0.02448979591836753,0.01853392708872237,-0.0071428571428571175,0.056122448979591955,-0.023415018245020236,0.014650979905217243
xgboost,600s_minus_300s,600,300,41e2010c,-0.0091651997726927,-0.004518360197394933,0.021575835323867643,-0.03990623486925271,-0.0028667892968324837,-0.0024205871558073966
xgboost,600s_minus_300s,600,300,5001d09a,-0.007558584568641669,-0.009366633912825773,0.013921594278737293,-0.02903876341602063,-0.0022020160976934378,-0.008576386369682498
xgboost,600s_minus_300s,600,300,50c02189,0.058556236009604246,0.10488258119614657,0.14285577974751273,-0.025743307728304243,0.02187190862051913,0.07869751364092448
xgboost,600s_minus_300s,600,300,517001af,0.0030760368451627773,-0.0025246556894948924,0.04051589827154145,-0.03436382458121601,-0.010718359005900457,-0.005050351361222227
xgboost,600s_minus_300s,600,300,6030f0fd,-0.0027426848422401617,-0.006053686877487863,-0.017250075566833667,0.0117647058823529,-0.004456877143206861,-0.006390008396722324
xgboost,600s_minus_300s,600,300,7072a0e0,0.013184757953516923,0.027943500635657315,0.08710136420190728,-0.06073184829487355,-0.0009650649981340909,0.02691828167438093
xgboost,600s_minus_300s,600,300,7092f07b,0.014250369301262333,0.02144093804212044,0.024506522999004576,0.003994215603519979,0.01187825537526821,0.02316172819507878
