model,outer_fold,pm,subject_id,budget_seconds,budget_minutes,budget_fully_available,calibration_low,calibration_high,calibration_extreme,calibration_class_eligible,adaptation_applied,adaptation_reason,personalized_threshold,threshold_shift_from_0_5,median_probability_low,median_probability_high,evaluation_low,evaluation_high,evaluation_extreme,evaluation_sample_hash,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy,zero_shot_roc_auc,zero_shot_pr_auc
xgboost,5,attention,0001508a,300,5.0,True,4,13,17,True,True,adapted,0.9704891592264175,0.47048915922641754,0.9440943896770477,0.9968839287757874,137,11,148,dbb52ac37e0df50394b809c11c37cae619defdb3d6f878fa3c51ea10b14a7104,0.6994027869940278,0.5763105507631056,-0.12309223623092225,0.521551724137931,0.5943495677841029,0.07279784364617181,0.6715328467153284,0.9708029197080292,0.2992700729927008,0.7272727272727273,0.18181818181818182,-0.5454545454545454,0.5596822244289971,0.6349765258215962,0.07529430139259918,0.6756756756756757,0.9121621621621622,0.2364864864864865,0.7538155275381553,0.2365147609749698
xgboost,5,attention,0001508a,600,10.0,True,26,13,39,True,True,adapted,0.9567941576242447,0.4567941576242447,0.916704386472702,0.9968839287757874,137,11,148,dbb52ac37e0df50394b809c11c37cae619defdb3d6f878fa3c51ea10b14a7104,0.6994027869940278,0.6181154611811546,-0.08128732581287323,0.521551724137931,0.6344290328709861,0.11287730873305502,0.6715328467153284,0.9635036496350365,0.2919708029197081,0.7272727272727273,0.2727272727272727,-0.4545454545454546,0.5596822244289971,0.6589285714285714,0.09924634699957435,0.6756756756756757,0.9121621621621622,0.2364864864864865,0.7538155275381553,0.2365147609749698
xgboost,5,attention,0001508a,900,15.0,True,56,13,69,True,True,adapted,0.8929732590913773,0.39297325909137726,0.7890625894069672,0.9968839287757874,137,11,148,dbb52ac37e0df50394b809c11c37cae619defdb3d6f878fa3c51ea10b14a7104,0.6994027869940278,0.5889183808891838,-0.110484406104844,0.521551724137931,0.5720776538620405,0.05052592972410941,0.6715328467153284,0.9051094890510949,0.23357664233576647,0.7272727272727273,0.2727272727272727,-0.4545454545454546,0.5596822244289971,0.5634469696969697,0.003764745267972658,0.6756756756756757,0.8581081081081081,0.18243243243243246,0.7538155275381553,0.2365147609749698
lightgbm,5,attention,0001508a,300,5.0,True,4,13,17,True,True,adapted,0.8958795060698966,0.39587950606989664,0.8159623078984453,0.975796704241348,137,11,148,dbb52ac37e0df50394b809c11c37cae619defdb3d6f878fa3c51ea10b14a7104,0.6957531519575315,0.5381552753815527,-0.1575978765759788,0.517016317016317,0.5501519756838906,0.03313565866757362,0.6642335766423357,0.9854014598540146,0.3211678832116789,0.7272727272727273,0.09090909090909091,-0.6363636363636364,0.5581166272655634,0.632183908045977,0.07406728078041358,0.668918918918919,0.918918918918919,0.25,0.794293297942933,0.269592861793955
lightgbm,5,attention,0001508a,600,10.0,True,26,13,39,True,True,adapted,0.9352844701774626,0.43528447017746263,0.8947722361135773,0.975796704241348,137,11,148,dbb52ac37e0df50394b809c11c37cae619defdb3d6f878fa3c51ea10b14a7104,0.6957531519575315,0.49635036496350365,-0.19940278699402786,0.517016317016317,0.4788732394366197,-0.038143077579697315,0.6642335766423357,0.9927007299270073,0.3284671532846716,0.7272727272727273,0.0,-0.7272727272727273,0.5581166272655634,0.46258503401360546,-0.09553159325195798,0.668918918918919,0.918918918918919,0.25,0.794293297942933,0.269592861793955
lightgbm,5,attention,0001508a,900,15.0,True,56,13,69,True,True,adapted,0.8790935825467752,0.37909358254677517,0.7823904608522023,0.975796704241348,137,11,148,dbb52ac37e0df50394b809c11c37cae619defdb3d6f878fa3c51ea10b14a7104,0.6957531519575315,0.6290643662906437,-0.06668878566688785,0.517016317016317,0.6696428571428572,0.1526265401265402,0.6642335766423357,0.9854014598540146,0.3211678832116789,0.7272727272727273,0.2727272727272727,-0.4545454545454546,0.5581166272655634,0.772027972027972,0.21391134476240858,0.668918918918919,0.9324324324324325,0.2635135135135135,0.794293297942933,0.269592861793955
xgboost,5,engagement,0001508a,300,5.0,True,1,25,26,False,False,ineligible_zero_shot_fallback,0.5,0.0,,,97,74,171,0339003edf13477c3490ea7a8d6e1a928090b4378ba7b7799892bdd155fdc504,0.7361382000557258,0.7361382000557258,0.0,0.7390906316753127,0.7390906316753127,0.0,0.9587628865979382,0.9587628865979382,0.0,0.5135135135135135,0.5135135135135135,0.0,0.8128460686600221,0.8128460686600221,0.0,0.7660818713450293,0.7660818713450293,0.0,0.9367511841738645,0.8758760088999048
xgboost,5,engagement,0001508a,600,10.0,True,5,30,35,True,True,adapted,0.30442578345537186,-0.19557421654462814,0.09452031552791595,0.5143312513828278,97,74,171,0339003edf13477c3490ea7a8d6e1a928090b4378ba7b7799892bdd155fdc504,0.7361382000557258,0.7782808581777654,0.042142658122039545,0.7390906316753127,0.7849215744303049,0.04583094275499211,0.9587628865979382,0.9484536082474226,-0.010309278350515538,0.5135135135135135,0.6081081081081081,0.09459459459459463,0.8128460686600221,0.8301652892561984,0.0173192205961763,0.7660818713450293,0.8011695906432749,0.03508771929824561,0.9367511841738645,0.8758760088999048
xgboost,5,engagement,0001508a,900,15.0,True,13,36,49,True,True,adapted,0.19061648228671402,-0.309383517713286,0.0008483256679028273,0.3803846389055252,97,74,171,0339003edf13477c3490ea7a8d6e1a928090b4378ba7b7799892bdd155fdc504,0.7361382000557258,0.8101142379492895,0.07397603789356366,0.7390906316753127,0.8159443168771527,0.07685368520184,0.9587628865979382,0.9175257731958762,-0.04123711340206193,0.5135135135135135,0.7027027027027027,0.18918918918918926,0.8128460686600221,0.8342342342342343,0.021388165574212192,0.7660818713450293,0.8245614035087719,0.05847953216374269,0.9367511841738645,0.8758760088999048
lightgbm,5,engagement,0001508a,300,5.0,True,1,25,26,False,False,ineligible_zero_shot_fallback,0.5,0.0,,,97,74,171,0339003edf13477c3490ea7a8d6e1a928090b4378ba7b7799892bdd155fdc504,0.7901922541097799,0.7901922541097799,0.0,0.7975732465226398,0.7975732465226398,0.0,0.9587628865979382,0.9587628865979382,0.0,0.6216216216216216,0.6216216216216216,0.0,0.844297520661157,0.844297520661157,0.0,0.8128654970760234,0.8128654970760234,0.0,0.953886876567289,0.9192455917263573
