model,budget_seconds,pm,participant_rows,class_eligible,adaptation_applied,nonseparated_median_fallback,median_personalized_threshold,median_abs_threshold_shift,delta_balanced_accuracy_mean,delta_macro_f1_mean,delta_low_recall_mean,delta_high_recall_mean,delta_precision_mean,delta_accuracy_mean
lightgbm,300,attention,52,20,20,0,0.5,0.0,0.006353415746459521,0.015557015701541234,0.034121013898254206,-0.02141418240533516,-0.000391944024890646,0.011911592013172408
lightgbm,300,engagement,53,12,11,1,0.5,0.0,0.0012259407607796613,0.0025497848644087224,0.015310306996488329,-0.012858425474928999,-0.0017993062997499695,-0.001181740261954251
lightgbm,300,excitement,53,39,39,0,0.5253775767405222,0.037344811674573375,0.0028253785427676706,0.0009168311242359983,0.055852069012418334,-0.05020131192688301,0.0013574414928470965,0.00020188120562187505
lightgbm,300,focus,53,29,28,1,0.5,0.007015952420321936,0.009624091000370245,0.0020688889269822974,0.05832953608186034,-0.039081354081119825,0.0004881817429848021,-0.0064953323263764766
lightgbm,300,interest,51,39,38,1,0.5,0.14473468708731246,0.0033873394185925214,0.015678930782481417,0.04238566053476856,-0.03561098169758353,0.00903869164329818,0.020096237740908424
lightgbm,300,relaxation,53,31,31,0,0.5,0.013700242233281035,0.01001042265084765,0.012703204686226965,0.024604606066819735,-0.004583760765124424,0.0024464523566762454,0.008178114786475454
lightgbm,300,stress,49,38,37,1,0.5,0.08692773824637312,0.01795468182972383,0.020518695607083085,0.04191628987126705,-0.006006926211819398,-0.001962980617612013,0.018394573446900812
lightgbm,600,attention,52,41,40,1,0.5,0.12409054247164256,0.00857323824708782,0.027082707279740374,0.03606945772460249,-0.01892298123042685,0.0021469408451062775,0.030169285750667987
lightgbm,600,engagement,53,35,34,1,0.5,0.046471647554600426,0.003025425042691139,0.010245732945876437,0.04456425045106734,-0.03851340036568507,-0.00531322633315891,0.009398358795739234
lightgbm,600,excitement,53,48,48,0,0.5153618795465589,0.034249891622391115,0.00908656316736586,0.006527773240316751,0.05529618625432836,-0.03712305991959666,-8.544080838995931e-05,0.0023771362894603404
lightgbm,600,focus,53,38,36,2,0.5,0.05875731322139288,0.016127277134963352,0.013565529450544438,0.06687565783426633,-0.034621103564339596,0.002175335189388968,0.0021713561680638434
lightgbm,600,interest,51,44,43,1,0.5,0.1708770677617839,0.010356669849913578,0.03234183453113433,0.03367894481746955,-0.012965605117642382,0.011740633298656898,0.042378964908532
lightgbm,600,relaxation,53,39,39,0,0.5,0.03227339328234691,0.011955999547895387,0.019737346126576363,0.04482601552494161,-0.02091401642915081,0.007095098078512656,0.01582884500425814
lightgbm,600,stress,49,43,43,0,0.5,0.12815107840557383,0.02933657755575752,0.03849019073773998,0.0623894729906136,-0.003716317879098561,0.004562220986139486,0.03126835611951083
lightgbm,900,attention,52,43,40,3,0.5,0.08363891286083974,0.016620513450870122,0.0360889029591494,0.03868242033071644,-0.0054413934289762045,0.010923915095551821,0.0368924388899936
lightgbm,900,engagement,53,41,41,0,0.5223811262178613,0.12027035152496995,0.005116286543960745,0.019422247026201885,0.06933214462258055,-0.05909957153465904,-0.0003130719957423651,0.023043659513135844
lightgbm,900,excitement,53,51,51,0,0.5186281786871977,0.05970788463110144,0.008995175224297363,0.008169604321683628,0.0503808514633099,-0.032390501014715176,-0.0005002654931341936,0.005646183144172553
lightgbm,900,focus,53,42,40,2,0.5,0.09750541385683975,0.014907782623379358,0.011963566320657393,0.052340318731327065,-0.022524753484568318,-0.0040941971756656235,-0.0013872196438742038
lightgbm,900,interest,51,46,45,1,0.5,0.16708248547026172,0.02302404502469807,0.04629473732403139,0.038317709136468155,0.007730380912928001,0.014157292575458785,0.05017934877919312
lightgbm,900,relaxation,53,45,45,0,0.5,0.07694455240563419,0.02656121682215725,0.03404679044345481,0.047154746180568564,0.00596768746374596,0.005069203987271354,0.024138337890646705
