subject_id,outer_fold,pm,budget_seconds,budget_minutes,calibration_record_group_id,calibration_record_id,calibration_record_start_utc,calibration_record_duration_seconds,budget_fully_available,actual_elapsed_calibration_seconds,fixed_evaluation_boundary_utc,fixed_evaluation_ready_min20_both_classes,calibration_extreme_sample_hash,evaluation_extreme_sample_hash,calibration_exact_lag_slots,calibration_pm_available,calibration_missing_pm,calibration_low,calibration_high,calibration_middle,calibration_extreme,calibration_has_any_extreme,calibration_has_both_classes,calibration_min1_each,calibration_min2_each,calibration_min3_each,calibration_extreme_fraction_of_available,reserved_exact_lag_slots,reserved_pm_available,reserved_missing_pm,reserved_low,reserved_high,reserved_middle,reserved_extreme,reserved_has_any_extreme,reserved_has_both_classes,reserved_min1_each,reserved_min2_each,reserved_min3_each,reserved_extreme_fraction_of_available,evaluation_exact_lag_slots,evaluation_pm_available,evaluation_missing_pm,evaluation_low,evaluation_high,evaluation_middle,evaluation_extreme,evaluation_has_any_extreme,evaluation_has_both_classes,evaluation_min1_each,evaluation_min2_each,evaluation_min3_each,evaluation_extreme_fraction_of_available
0001508a,5,attention,0,0.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,0.0,2023-12-18T11:27:47.101283073+00:00,True,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,0,0,0,0,0,0,0,False,False,False,False,False,,30,30,0,4,13,13,17,True,True,True,True,True,0.5666666666666667,274,245,29,189,11,45,200,True,True,True,True,True,0.8163265306122449
0001508a,5,attention,30,0.5,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,30.0,2023-12-18T11:27:47.101283073+00:00,True,1b9a6c64d9586dba961a1388297c1d316016448f294cbdc35bff3c34bc580308,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,3,3,0,0,1,2,1,True,False,False,False,False,0.3333333333333333,27,27,0,4,12,11,16,True,True,True,True,True,0.5925925925925926,274,245,29,189,11,45,200,True,True,True,True,True,0.8163265306122449
0001508a,5,attention,60,1.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,60.0,2023-12-18T11:27:47.101283073+00:00,True,06862304fa8241966b2483a816e45af310edb4553c0ce33cf7c3b1c186db4670,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,6,6,0,0,3,3,3,True,False,False,False,False,0.5,24,24,0,4,10,10,14,True,True,True,True,True,0.5833333333333334,274,245,29,189,11,45,200,True,True,True,True,True,0.8163265306122449
0001508a,5,attention,120,2.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,120.0,2023-12-18T11:27:47.101283073+00:00,True,33cfdc84a8ba620ecfc81c1b26a45f5aa2c8f61f57f2ef2a9cb6a70308f21cb2,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,12,12,0,0,9,3,9,True,False,False,False,False,0.75,18,18,0,4,4,10,8,True,True,True,True,True,0.4444444444444444,274,245,29,189,11,45,200,True,True,True,True,True,0.8163265306122449
0001508a,5,attention,300,5.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,300.0,2023-12-18T11:27:47.101283073+00:00,True,91ad951ff08cddf2be8ae9f0f105e9ec37aa6a82344d3575083874d2405ba431,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,30,30,0,4,13,13,17,True,True,True,True,True,0.5666666666666667,0,0,0,0,0,0,0,False,False,False,False,False,,274,245,29,189,11,45,200,True,True,True,True,True,0.8163265306122449
0001508a,5,engagement,0,0.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,0.0,2023-12-18T11:27:47.101283073+00:00,True,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,1765ca4c5216ebd08caa36353409b8c7b526885c3b20bc95dd944853b7d7153d,0,0,0,0,0,0,0,False,False,False,False,False,,30,30,0,1,25,4,26,True,True,True,False,False,0.8666666666666667,274,274,0,109,85,80,194,True,True,True,True,True,0.708029197080292
0001508a,5,engagement,30,0.5,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,30.0,2023-12-18T11:27:47.101283073+00:00,True,3c6f53d6ce0d47405dda65718bec05188867107bcf2c14b434fae577802a5a8f,1765ca4c5216ebd08caa36353409b8c7b526885c3b20bc95dd944853b7d7153d,3,3,0,0,3,0,3,True,False,False,False,False,1.0,27,27,0,1,22,4,23,True,True,True,False,False,0.8518518518518519,274,274,0,109,85,80,194,True,True,True,True,True,0.708029197080292
0001508a,5,engagement,60,1.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,60.0,2023-12-18T11:27:47.101283073+00:00,True,8890a78da36deec77dbd31852a66144ccb8f915fcad5018ecfc980946106ef19,1765ca4c5216ebd08caa36353409b8c7b526885c3b20bc95dd944853b7d7153d,6,6,0,0,6,0,6,True,False,False,False,False,1.0,24,24,0,1,19,4,20,True,True,True,False,False,0.8333333333333334,274,274,0,109,85,80,194,True,True,True,True,True,0.708029197080292
0001508a,5,engagement,120,2.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,120.0,2023-12-18T11:27:47.101283073+00:00,True,92d646c7e8b66927811e0cd3ac88431030791b30eaaad75d614d79d1c475463b,1765ca4c5216ebd08caa36353409b8c7b526885c3b20bc95dd944853b7d7153d,12,12,0,0,11,1,11,True,False,False,False,False,0.9166666666666666,18,18,0,1,14,3,15,True,True,True,False,False,0.8333333333333334,274,274,0,109,85,80,194,True,True,True,True,True,0.708029197080292
0001508a,5,engagement,300,5.0,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,True,300.0,2023-12-18T11:27:47.101283073+00:00,True,5b6727e0016b863bb9ce98a8d7be61823f072cd9436c577dea4c2b19193cba96,1765ca4c5216ebd08caa36353409b8c7b526885c3b20bc95dd944853b7d7153d,30,30,0,1,25,4,26,True,True,True,False,False,0.8666666666666667,0,0,0,0,0,0,0,False,False,False,False,False,,274,274,0,109,85,80,194,True,True,True,True,True,0.708029197080292
