pm,budget_seconds,participant_rows,fully_available,has_any_extreme,has_both_classes,min2_each,min3_each,fixed_eval_ready_min20_both,median_extreme_count,median_low_count,median_high_count,median_middle_count
attention,0,54,54,0,0,0,0,52,0.0,0.0,0.0,0.0
attention,30,54,54,39,1,0,0,52,2.0,1.0,0.0,0.5
attention,60,54,54,44,3,1,0,52,3.0,2.0,0.0,2.0
attention,120,54,54,49,13,7,3,52,6.0,4.0,0.0,6.0
attention,300,54,53,52,30,22,17,52,15.0,6.0,2.5,13.0
engagement,0,54,54,0,0,0,0,53,0.0,0.0,0.0,0.0
engagement,30,54,54,51,1,0,0,53,3.0,0.0,3.0,0.0
engagement,60,54,54,53,7,1,0,53,6.0,0.0,6.0,0.0
engagement,120,54,54,53,13,6,2,53,11.0,0.0,11.0,1.0
engagement,300,54,53,53,25,12,6,53,25.0,0.5,24.0,4.0
excitement,0,54,54,0,0,0,0,53,0.0,0.0,0.0,0.0
excitement,30,54,54,49,8,0,0,53,2.0,1.0,0.5,1.0
excitement,60,54,54,54,20,4,0,53,3.5,1.0,1.0,2.0
excitement,120,54,54,54,34,23,13,53,7.0,4.0,2.0,4.0
excitement,300,54,53,54,46,40,35,53,18.0,11.0,5.5,11.0
focus,0,54,54,0,0,0,0,53,0.0,0.0,0.0,0.0
focus,30,54,54,43,0,0,0,53,3.0,2.0,0.0,0.0
focus,60,54,54,51,6,0,0,53,4.0,3.0,0.0,1.0
focus,120,54,54,53,20,9,5,53,8.0,6.0,0.5,4.0
focus,300,54,53,54,36,30,21,53,21.5,14.5,3.0,7.0
interest,0,54,54,0,0,0,0,52,0.0,0.0,0.0,0.0
interest,30,54,54,53,10,0,0,52,3.0,1.5,0.0,0.0
interest,60,54,54,54,21,9,2,52,5.0,3.0,1.0,1.0
interest,120,54,54,54,34,27,16,52,10.0,6.0,2.0,2.0
interest,300,54,53,54,43,40,34,52,21.0,13.0,5.0,8.5
relaxation,0,54,54,0,0,0,0,53,0.0,0.0,0.0,0.0
relaxation,30,54,54,34,2,0,0,53,1.5,0.0,0.0,1.5
relaxation,60,54,54,42,5,1,0,53,2.5,0.0,1.0,3.0
relaxation,120,54,54,47,14,11,4,53,5.5,0.0,2.0,6.0
relaxation,300,54,53,54,35,32,20,53,13.0,3.5,5.0,15.0
stress,0,54,54,0,0,0,0,52,0.0,0.0,0.0,0.0
stress,30,54,54,52,12,0,0,52,3.0,2.0,0.0,0.0
stress,60,54,54,54,22,13,0,52,5.0,4.0,0.5,0.5
stress,120,54,54,54,35,23,13,52,10.0,8.0,1.5,2.0
stress,300,54,53,54,44,39,32,52,26.0,18.0,4.0,4.0
