subject_id,pm,fold,full_subject_pm_timeline_hash,fixed_evaluation_extreme_sample_hash
0001508a,attention,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4
0001508a,engagement,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,1765ca4c5216ebd08caa36353409b8c7b526885c3b20bc95dd944853b7d7153d
0001508a,excitement,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,db6cd636cc056c39641e48070e6aaf8e4f99b96291286db442c1e92253ebd2e0
0001508a,stress,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,d4942f34daa44f08290b9bae29fcbf10ae84e3f55d4357610464c2824b4f3e62
0001508a,relaxation,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,c817aff85665c62ef36e2a621fd2670295227d5c4147e96a7f856b8c6335d83b
0001508a,interest,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,1d0042736b80fd8d0ce970d8a04ff60c176c045e2fded8da2dbbf99b1b1b5887
0001508a,focus,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,66acef18df6f37ff73e89ae5e7deae09d8460c93a85eb2f6a33c9b809462fb16
0012905a,attention,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,1287cd97e272ef1158354d483447e92248a61deb95492266ebe278bf7fda4f0e
0012905a,engagement,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,67b77333e7069698972d9c07662cb9a5c96a75bf512c2710b1153bfddae72d2f
0012905a,excitement,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,0acac2f64693ecce43e22a4459027a424e2e6a4f5c914748cc3643a82519f0d6
0012905a,stress,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,1f24e32279a2f3072f6fad1481f99906f94a479a11cd8f07dc6d0bc8f18bb12f
0012905a,relaxation,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,be8aea181199f19ed8dfda8b653e813947a0a9335ad1d407b94b709fcce8d6b8
0012905a,interest,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,42d57fa312e706884bae2bd7169a7857be5f071da774d10a95de9e0e9ce21f4a
0012905a,focus,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,50716a0f59f32fab3d18345ab26aa771ea647dd3c9e1324b2b0b7b22709fea92
0110f12e,attention,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,e4ab135a2c1b35a6e76e2a589f59713d650f6e505c4cb08b6bf904b2e84cc00e
0110f12e,engagement,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,aa0af7485c7f2fe53410dd7262e074cdd2e7094130bf117290d3bd2a94e9453d
0110f12e,excitement,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,30906e8527e1409b281239e684d324ab9c34274f12df050258be4955dc7af2b0
0110f12e,stress,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,c19a2f9ecc08eccaef1d97c9c10ad272185e511aa899a5b4d229badcc4d134a7
0110f12e,relaxation,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,f0e05c42550a9c7f3f19596735db88fd6ea2359610a2ffa1c3f71ac30587ec28
0110f12e,interest,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,1f8dc9a5528caf64401ca9fc17d880ed076956c5d3dce4f33020a1bfaf63a99a
0110f12e,focus,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,ffe4f6954133e169cde0266a08e02a657d4632258a30a46dc97ab12e1cfbbe92
0182e16c,attention,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,0a6775ccdc2eeaf011810beb132a00040aa46d09382d50c6f1c8cb162749305c
0182e16c,engagement,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,c6b7445b9ae0b0a8c539242fdb54c281bb895b0d1eb5235895a58e772c2e59bc
0182e16c,excitement,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,7e9087cdb4f0e9e0e4fa958d97dec8e4dbf43ffcf8cdfe2a368217453bd8af2e
0182e16c,stress,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,e2a4f3886240ad44e534c78e78acc1968f6671ba5e4907f1fbbc4b0bfb4742c2
0182e16c,relaxation,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,4daf7adc586a76bd4cc4fcb7a73acbe39204fc53e386066ee362d908510ddff9
0182e16c,interest,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,ddf6fb92b4439bc5350d2b74efdb6d3e1bf5e16b5e93f46a3fb7a9a8ec8bffd4
0182e16c,focus,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,95b5cf430ff35d44f89d09b59182d39354f7ae915ce4949573b43f9aa7a06ffb
01c2a0d8,attention,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,915fabcf7ea3a32eb3bc1a893313e0368d53bb2acc8be245d3f1c746a5ec61f6
01c2a0d8,engagement,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,04feddf85873df156461365c7b24783d440783b8262445b2e3b4a50e2e8edc35
01c2a0d8,excitement,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,fb104886812213bf41e4c0a74e7a85ab8bc5b5dc9c8d6bb6776e7f008ace00e3
01c2a0d8,stress,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,d1e1f16d82ccef7e26a0570b06b63883002ae301177771498f622df2a1e8724f
01c2a0d8,relaxation,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,e792fb1a93c9af4867c99afe2408c5a97f135ccb1b561ce105ea2a0ae837224e
01c2a0d8,interest,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,b100a4b2c0448148757f93513145c046cfa767232246d084be85ec87e133651f
