subject_id,outer_fold,calibration_record_group_id,calibration_record_id,calibration_record_start_utc,calibration_record_duration_seconds,calibration_record_feature_grid_duration_seconds,source_full_900s_available,feature_grid_full_900s_available,source_full_1200s_available,feature_grid_full_1200s_available,source_full_1800s_available,feature_grid_full_1800s_available
0001508a,5,0001508a__day1____2023.12.18T14.22.47p03.00,Old_EEG__0001508a__day1____2023.12.18T14.22.47p03.00,2023-12-18T11:22:47.101283073+00:00,3344.0785989761353,3050.0,True,True,True,True,True,True
0012905a,3,0012905a__day1____2023.11.28T11.47.42p03.00,gpn_data__0012905a__day1____2023.11.28T11.47.42p03.00,2023-11-28T08:47:42.746040106+00:00,3608.763053894043,3600.0,True,True,True,True,True,True
0110f12e,5,0110f12e__day1____2023.12.04T18.03.21p03.00,gpn_data__0110f12e__day1____2023.12.04T18.03.21p03.00,2023-12-04T15:03:21.225979090+00:00,4937.631212949753,4920.0,True,True,True,True,True,True
0182e16c,5,0182e16c__day1____2023.11.27T13.58.33p03.00,gpn_data__0182e16c__day1____2023.11.27T13.58.33p03.00,2023-11-27T10:58:33.791934967+00:00,2943.381812095642,2930.0,True,True,True,True,True,True
01c2a0d8,4,01c2a0d8__day1____2024.01.12T19.11.49p03.00,gpn_data__01c2a0d8__day1____2024.01.12T19.11.49p03.00,2024-01-12T16:11:49.535352944+00:00,7988.580554962158,7120.0,True,True,True,True,True,True
1081b177,2,1081b177__day1____2023.12.08T11.39.57p03.00,gpn_data__1081b177__day1____2023.12.08T11.39.57p03.00,2023-12-08T08:39:57.664211988+00:00,4782.769748926163,4780.0,True,True,True,True,True,True
20201194,3,20201194__day1____2023.12.03T22.02.18p03.00,gpn_data__20201194__day1____2023.12.03T22.02.18p03.00,2023-12-03T19:02:18.148350954+00:00,4439.583558082581,4430.0,True,True,True,True,True,True
2162c09e,3,2162c09e__day1____2023.12.18T12.15.08p03.00,gpn_data__2162c09e__day1____2023.12.18T12.15.08p03.00,2023-12-18T09:15:08.469789982+00:00,6022.822525978088,6020.0,True,True,True,True,True,True
2182c1cd,5,2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,gpn_data__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2023-11-28T10:51:38.305701971+00:00,4406.145061016083,2900.0,True,True,True,True,True,True
219060fa,5,219060fa__day1____2023.12.15T16.47.17p03.00,gpn_data__219060fa__day1____2023.12.15T16.47.17p03.00,2023-12-15T13:47:17.836787939+00:00,4772.177860021591,4770.0,True,True,True,True,True,True
