pm,budget_seconds,participant_rows,source_fully_available,feature_grid_fully_available,fully_available,has_both_classes,min2_each,min3_each,min5_each,min10_each,operational_eligible_min2_each,fixed_eval_ready_min20_both,joint_min2_and_fixed_eval_ready,median_extreme_count,median_post_1800s_evaluation_extremes
attention,900,54,53,52,52,46,45,44,41,28,44,50,41,42.5,249.5
attention,1200,54,53,52,52,49,49,49,44,34,48,50,45,62.0,249.5
attention,1800,54,51,49,49,51,50,50,49,46,46,50,45,95.5,249.5
engagement,900,54,53,52,52,48,41,34,27,18,41,50,38,57.0,260.5
engagement,1200,54,53,52,52,50,46,43,38,30,46,50,43,73.0,260.5
engagement,1800,54,51,49,49,51,50,50,48,45,47,50,46,109.5,260.5
excitement,900,54,53,52,52,52,52,48,44,34,51,50,48,54.5,265.5
excitement,1200,54,53,52,52,53,53,50,49,42,52,50,49,69.0,265.5
excitement,1800,54,51,49,49,53,53,53,53,46,49,50,48,107.0,265.5
focus,900,54,53,52,52,48,43,39,30,22,42,50,40,59.5,253.5
focus,1200,54,53,52,52,52,50,44,37,25,49,50,46,72.5,253.5
focus,1800,54,51,49,49,53,52,50,43,37,48,50,47,111.0,253.5
interest,900,54,53,52,52,52,47,46,44,25,46,49,44,60.0,268.0
interest,1200,54,53,52,52,53,52,50,48,33,51,49,48,79.5,268.0
interest,1800,54,51,49,49,53,52,52,50,44,48,49,47,117.0,268.0
relaxation,900,54,53,52,52,47,46,42,35,22,45,50,42,41.5,270.0
relaxation,1200,54,53,52,52,50,48,46,39,32,47,50,44,58.0,270.0
relaxation,1800,54,51,49,49,52,52,51,49,45,48,50,47,96.5,270.0
stress,900,54,53,52,52,50,47,45,43,30,46,46,41,68.0,228.0
stress,1200,54,53,52,52,51,49,47,45,37,48,46,42,90.5,228.0
stress,1800,54,51,49,49,53,52,52,49,44,49,46,44,129.0,228.0
