subject_id,pm,outer_fold,full_subject_pm_timeline_hash,post_1800s_evaluation_extreme_sample_hash,post_1800s_evaluation_extreme,post_1800s_evaluation_ready_min20_both_classes
0001508a,attention,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,26d43b87ea0ae6f920fe3a9ec75da039399e76298245359bb66d20c6cd6988f2,60,True
0001508a,engagement,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,fcce3680fa7beb162dc83d583f5ec4062fb67da959d3903be556c50bcbe44a85,102,True
0001508a,excitement,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,0b094782358b6530b924f0b10adf1a6bcddcfd8c6bdb0f644b7b03bd4165ee99,74,True
0001508a,stress,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,c7e60c6b6d43fb1a622b52f710061ff2c921677cb01688ed0de749dd9f0a5b98,106,True
0001508a,relaxation,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,2e5f9dfd935773f60e9920a44c8989bf24090d1e5e160f1786142af0dbefcbd5,112,True
0001508a,interest,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,3147d2d7f3d401978bf693033a3839371d7a9026364d769dda1da1b696935e02,65,True
0001508a,focus,5,57b47e6b8bbc5be3782fec066f4899309550a55e98d67c4675e07c02f932a9a9,a6da05ff73ab07be2c1c59108a7c70f81ec913ebe49946db8d35516772651370,60,True
0012905a,attention,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,756c5c9f90afedff9199742311a319fe7be24d9fd008935c30eeb4b09dbaff93,327,True
0012905a,engagement,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,981fa535735ab847bd4a0f1bc87adc16aa6ba9a1eace7bc27a02acd1002f1bdf,441,True
0012905a,excitement,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,731df22ebbf080fbe184e012807fb5817afa27a9477c57dd405f26c07bf2a3bb,374,True
0012905a,stress,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,38ad2ba9b860a3bec66587ca6c8a8705c6500c8c96d0b6dbd288aa0823839a77,435,True
0012905a,relaxation,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,e57f352fa35bafbda6870ebf14e1b9acb3f775b1baa817fbe24a7625d95ded67,307,True
0012905a,interest,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,470bdaa130941cedb57e10b2c47a2dab9467b1d8ece19f67d3bf4990d41616b3,431,True
0012905a,focus,3,c480fde0dede7cc6549e78282e92eb50b49de40edc2a2b25af585b7d23f9c92c,9547408fcd139eaec45a82de730c032e3a1a512c209e656365b8fc386d0fdee1,341,True
0110f12e,attention,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,de27c37c9a269aca55e18311f3a4b14e9c0989f38008f19c4d59acf7bd86d3aa,326,True
0110f12e,engagement,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,2a1ea53c775c18dc4b8bd55c1828be144e891962ee6a5d557783405fcb989bba,333,True
0110f12e,excitement,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,4a1ee735f5a95e473f34f5ab4268a0850097486c5bc8da107ee303c756a267a7,308,True
0110f12e,stress,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,78cc4de0249588d36844785f653a8a3da27154ecfdc2009b8cf6d6829464882a,369,True
0110f12e,relaxation,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,3c0f51a9cea8302ecaea698fb4dc5ffdab602ae45b99fca51cfbe573ecb238bf,357,True
0110f12e,interest,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,6503ba40faff8d93881a19984721146ac4c77a4f907d9ab7c4f93d09a8ee7e18,292,True
0110f12e,focus,5,78bd8449b009b57d9341f922995208ddd8affebc6eceb1d162c0b017111095bc,d730937c1aa6916184c21b9f44ba81aa0a827946bc0caa11865e86704f20d75f,313,True
0182e16c,attention,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,6f919459db5382b81772edda72e8a1ed908d59b7a87e4c13811af2f9c521d7a5,261,True
0182e16c,engagement,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,4e829c341107560176f571e9d8e23fbf22c595410c2b7d891e19bde13d5a8eaf,250,True
0182e16c,excitement,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,a5ded7290f00a798a63186ddae6ab6182d64ac41e9be214d4b119c2ac5e7f9da,249,True
0182e16c,stress,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,7a856be0c433dc6436037d0f02ddb4da3e4dd433db80bfff210c6cd5186c5238,187,True
0182e16c,relaxation,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,b5b4391f25a6089e4c17f29b8ddd5fc2b6028a0537b86af8958799aa8f289d46,238,True
0182e16c,interest,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,6f5d296ebce203e0e588f11be6fb911720322e60cfe4742fdab55727222aae34,228,True
0182e16c,focus,5,082ab86b191d4b38f4c0b17dbc5e1e4bb4f50eaed4aceb1f05f646052a1ef0af,0868f0ee774bff248aa97501d3bbe13a6f8ef3a0059cc4315117e7297a3dd0de,244,True
01c2a0d8,attention,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,aa0d35b5066706ad664a3f547732f314d9c63fbc8cd3ca6d185f40b2d1b00c0d,234,True
01c2a0d8,engagement,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,4af947be5370fcfb0b0ee503d128919382d3d108a0a9c2e8cf786f18bcf55886,262,True
01c2a0d8,excitement,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,6cd7a72869784ddf8c9cb708a5c18dfdefd93e6e600bd2b4d77b35e8be6efbb9,243,True
01c2a0d8,stress,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,3b315db7bfe716727c597c423616e3406e7b2d655c9e991137fd0627217e8815,222,True
01c2a0d8,relaxation,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,70dadf5d9f37fcd4dd72d08607ce55999b72138c489affe9cf24a5c0f4a21d87,260,True
01c2a0d8,interest,4,5adda108ab2ef7a13b4b81f7b2004a26d99ce7a1ca61645e1ae573aef3b97fb1,70493fabd30850fd3d09833f21b4923fdf46323f998247676b31d6fc9ee6c857,269,True
