model,outer_fold,pm,subject_id,budget_seconds,budget_minutes,budget_fully_available,calibration_low,calibration_high,calibration_extreme,calibration_class_eligible,adaptation_applied,adaptation_reason,personalized_threshold,threshold_shift_from_0_5,median_probability_low,median_probability_high,evaluation_low,evaluation_high,evaluation_extreme,evaluation_sample_hash,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy
xgboost,5,attention,0001508a,900,15.0,True,56,13,69,True,True,adapted,0.8929732590913773,0.39297325909137726,0.7890625894069672,0.9968839287757874,49,11,60,26d43b87ea0ae6f920fe3a9ec75da039399e76298245359bb66d20c6cd6988f2,0.761595547309833,0.6261595547309833,-0.13543599257884975,0.7044334975369457,0.6571428571428571,-0.04729064039408859,0.7959183673469388,0.9795918367346939,0.18367346938775508,0.7272727272727273,0.2727272727272727,-0.4545454545454546,0.6865079365079365,0.8035714285714286,0.11706349206349209,0.7833333333333333,0.85,0.06666666666666665
xgboost,5,attention,0001508a,1200,20.0,True,84,13,97,True,True,adapted,0.827349990606308,0.327349990606308,0.6578160524368286,0.9968839287757874,49,11,60,26d43b87ea0ae6f920fe3a9ec75da039399e76298245359bb66d20c6cd6988f2,0.761595547309833,0.7523191094619666,-0.00927643784786647,0.7044334975369457,0.7811360083376759,0.0767025108007302,0.7959183673469388,0.9591836734693877,0.16326530612244894,0.7272727272727273,0.5454545454545454,-0.18181818181818188,0.6865079365079365,0.8269230769230769,0.14041514041514036,0.7833333333333333,0.8833333333333333,0.09999999999999998
xgboost,5,attention,0001508a,1800,30.0,True,144,13,157,True,True,adapted,0.724830336868763,0.22483033686876297,0.4527767449617386,0.9968839287757874,49,11,60,26d43b87ea0ae6f920fe3a9ec75da039399e76298245359bb66d20c6cd6988f2,0.761595547309833,0.7217068645640075,-0.03988868274582558,0.7044334975369457,0.7217068645640075,0.017273367027061726,0.7959183673469388,0.8979591836734694,0.10204081632653061,0.7272727272727273,0.5454545454545454,-0.18181818181818188,0.6865079365079365,0.7217068645640075,0.035198928056070944,0.7833333333333333,0.8333333333333334,0.050000000000000044
lightgbm,5,attention,0001508a,900,15.0,True,56,13,69,True,True,adapted,0.8790935825467752,0.37909358254677517,0.7823904608522023,0.975796704241348,49,11,60,26d43b87ea0ae6f920fe3a9ec75da039399e76298245359bb66d20c6cd6988f2,0.7717996289424861,0.6261595547309833,-0.14564007421150282,0.7204968944099379,0.6571428571428571,-0.06335403726708078,0.8163265306122449,0.9795918367346939,0.16326530612244894,0.7272727272727273,0.2727272727272727,-0.4545454545454546,0.7004103967168263,0.8035714285714286,0.10316103185460235,0.8,0.85,0.04999999999999993
lightgbm,5,attention,0001508a,1200,20.0,True,84,13,97,True,True,adapted,0.8254776822841788,0.32547768228417884,0.6751586603270097,0.975796704241348,49,11,60,26d43b87ea0ae6f920fe3a9ec75da039399e76298245359bb66d20c6cd6988f2,0.7717996289424861,0.6159554730983302,-0.1558441558441559,0.7204968944099379,0.6394230769230769,-0.08107381748686104,0.8163265306122449,0.9591836734693877,0.1428571428571428,0.7272727272727273,0.2727272727272727,-0.4545454545454546,0.7004103967168263,0.7272727272727273,0.026862330555901037,0.8,0.8333333333333334,0.033333333333333326
lightgbm,5,attention,0001508a,1800,30.0,True,144,13,157,True,True,adapted,0.7533073601262145,0.25330736012621446,0.5308180160110809,0.975796704241348,49,11,60,26d43b87ea0ae6f920fe3a9ec75da039399e76298245359bb66d20c6cd6988f2,0.7717996289424861,0.6512059369202227,-0.12059369202226344,0.7204968944099379,0.673202614379085,-0.0472942800308529,0.8163265306122449,0.9387755102040817,0.12244897959183676,0.7272727272727273,0.36363636363636365,-0.36363636363636365,0.7004103967168263,0.7196765498652291,0.019266153148402854,0.8,0.8333333333333334,0.033333333333333326
xgboost,5,engagement,0001508a,900,15.0,True,13,36,49,True,True,adapted,0.19061648228671402,-0.309383517713286,0.0008483256679028273,0.3803846389055252,34,68,102,fcce3680fa7beb162dc83d583f5ec4062fb67da959d3903be556c50bcbe44a85,0.7352941176470589,0.8161764705882353,0.0808823529411764,0.6661532537543319,0.7773809523809524,0.11122769862662052,0.9411764705882353,0.9117647058823529,-0.02941176470588236,0.5294117647058824,0.7205882352941176,0.19117647058823528,0.7236842105263157,0.7811538461538461,0.05746963562753038,0.6666666666666666,0.7843137254901961,0.11764705882352944
xgboost,5,engagement,0001508a,1200,20.0,True,36,38,74,True,True,adapted,0.22439324213337386,-0.27560675786662614,0.0002814849867718294,0.4485049992799759,34,68,102,fcce3680fa7beb162dc83d583f5ec4062fb67da959d3903be556c50bcbe44a85,0.7352941176470589,0.8014705882352942,0.06617647058823528,0.6661532537543319,0.7587702010248325,0.09261694727050063,0.9411764705882353,0.9117647058823529,-0.02941176470588236,0.5294117647058824,0.6911764705882353,0.16176470588235292,0.7236842105263157,0.7680769230769231,0.044392712550607394,0.6666666666666666,0.7647058823529411,0.0980392156862745
xgboost,5,engagement,0001508a,1800,30.0,True,76,42,118,True,True,adapted,0.16530855952078127,-0.3346914404792187,0.00014485832798527554,0.33047226071357727,34,68,102,fcce3680fa7beb162dc83d583f5ec4062fb67da959d3903be556c50bcbe44a85,0.7352941176470589,0.8014705882352942,0.06617647058823528,0.6661532537543319,0.7664044608184806,0.1002512070641487,0.9411764705882353,0.8823529411764706,-0.05882352941176472,0.5294117647058824,0.7205882352941176,0.19117647058823528,0.7236842105263157,0.7683865999229881,0.04470238939667237,0.6666666666666666,0.7745098039215687,0.10784313725490202
lightgbm,5,engagement,0001508a,900,15.0,True,13,36,49,True,True,adapted,0.19861296085778674,-0.30138703914221326,0.01965879603391739,0.37756712568165607,34,68,102,fcce3680fa7beb162dc83d583f5ec4062fb67da959d3903be556c50bcbe44a85,0.8014705882352942,0.9044117647058824,0.1029411764705882,0.7508549096238397,0.9014492753623189,0.15059436573847917,0.9411764705882353,0.8823529411764706,-0.05882352941176472,0.6617647058823529,0.9264705882352942,0.26470588235294124,0.76963249516441,0.8987206823027718,0.1290881871383618,0.7549019607843137,0.9117647058823529,0.1568627450980392
