model,budget_seconds,pm,participant_rows,budget_fully_available,class_eligible,adaptation_applied,delta_balanced_accuracy_mean,delta_macro_f1_mean,delta_low_recall_mean,delta_high_recall_mean,delta_precision_mean,delta_accuracy_mean
lightgbm,900,attention,50,49,41,38,0.011817855048756274,0.028637031057734498,0.032802665572971526,-0.009166955475458951,0.008377433553132531,0.03189848998771893
lightgbm,900,engagement,50,49,38,38,0.004811347638057861,0.02076722483995412,0.06924627291437249,-0.059623577638256764,0.003411078532501388,0.02488727939182651
lightgbm,900,excitement,50,49,48,48,0.007797052728001052,0.004751151851764988,0.04996586374398053,-0.034371758287978435,8.555302609901005e-05,0.0039494813031793275
lightgbm,900,focus,50,49,40,38,0.011235747904648324,0.008151981003221741,0.045072284372888106,-0.022600788563591455,-0.0027955893896888418,-0.0028513948843528316
lightgbm,900,interest,49,48,44,43,0.01728438850491885,0.03812445292105716,0.03396293185861359,0.0006058451512240984,0.010057601247374124,0.046099602334154915
lightgbm,900,relaxation,50,49,42,42,0.02389740071123704,0.03082115511899702,0.04743278319989672,0.0003620182225773516,0.005123969839434479,0.020655150709033895
lightgbm,900,stress,46,45,41,41,0.02853921161385543,0.03733860262981284,0.06013699185755121,-0.0030585686298403446,0.006161862738374925,0.03080808488628622
lightgbm,1200,attention,50,49,45,42,0.014893147675804972,0.036250068155194784,0.02139559607255916,0.008390699279050791,0.012243985327965523,0.04117729473475878
lightgbm,1200,engagement,50,49,43,42,0.007044689197796345,0.01827919283702301,0.08478284408454435,-0.07069346568895166,0.002678725783804443,0.014984228443367456
lightgbm,1200,excitement,50,49,49,49,0.00838928544451304,0.0069367819211808455,0.050003678830527906,-0.033225107941501825,0.0020602779227894665,0.005858644502115023
lightgbm,1200,focus,50,49,46,43,0.011674904739071765,0.011951958176123016,0.0476519060486611,-0.024302096570517576,-0.0009567379995040759,0.0023737002603442647
lightgbm,1200,interest,49,48,48,46,0.023232408223026472,0.04361398214517656,0.03450785151349935,0.011956964932553611,0.013650198914610012,0.04948386751183574
