model,subject_id,n_pm,brier_improvement,log_loss_improvement,delta_balanced_accuracy_vs_median,delta_macro_f1_vs_median,delta_balanced_accuracy_vs_zero,delta_macro_f1_vs_zero
lightgbm,0001508a,7,0.025716448510019807,0.057454752303773636,-0.027038124128382055,-0.05139228282998204,0.011338620824803,0.01993837299859576
lightgbm,0012905a,7,-0.02177581871209963,-0.12670506693715228,-0.02024675530244164,-0.030879135295902565,-0.01914408228888929,-0.026456200139288368
lightgbm,0110f12e,7,-0.017539478669156876,-0.0733352735352805,-0.0034183573581219834,-0.01559803820032825,0.0003395895872238145,-0.014043571215678341
lightgbm,0182e16c,7,0.06973107441020268,0.28091305278425954,-0.0850255121088637,-0.08247480797418605,0.017495227131781674,0.04049539323060776
lightgbm,01c2a0d8,7,-0.01893157169044074,-0.07570784715246022,-0.04805247750809553,-0.03949662052467523,-0.042515754653354075,-0.032581148821885474
lightgbm,1081b177,7,0.018822442274223968,0.05943802496342359,-0.0005621429757943774,0.003351210862188068,0.025685163655277652,0.0330974892370764
lightgbm,20201194,7,-0.013288599887411547,-0.006076180706205414,-0.032932877746738094,-0.055369793019035496,0.016881163026258354,0.020566712508605003
lightgbm,2162c09e,7,-0.004532859679155009,-0.024719987055597675,-0.03637724149829872,-0.026931109236282898,0.00765767712583492,0.0128265449979758
lightgbm,2182c1cd,7,0.05095971208303856,0.16208102424291354,0.01254921970510725,0.02507578704337337,0.04364253674302993,0.06838015360872178
lightgbm,219060fa,5,-0.011173746078274913,-0.04680060081864427,-0.04964087279682481,-0.062142133070638914,-0.022039930562153788,-0.032401942547257145
lightgbm,21a031f6,7,0.03115411797490444,0.1027209631218399,-0.0037143956374753,0.003023517898049951,0.007198123491767849,0.029610249670832558
lightgbm,30908049,7,0.0145691824482516,0.049495829467187634,0.013985279709050946,0.020761859543883748,0.030039822370073615,0.006054848027570979
lightgbm,30c140ca,7,-0.010235230274947132,-0.009810663447398147,-0.001077102642186602,-0.00656907581666627,-0.031827811932784514,-0.013324550847268524
lightgbm,3110e0c7,7,-0.03806299243438204,-0.23330871298716488,-0.03733869912423406,-0.0416984676622694,-0.05426346344699384,-0.07582330203291461
lightgbm,40009139,7,-0.003062382949567451,0.012258050386637789,-0.02845920888860246,-0.03607814099587468,-0.02759438423025454,-0.023482272618650785
lightgbm,41e2010c,7,0.05430190153476664,0.16885680708793652,-0.010467430260701785,-0.0012004722667762044,0.0677587444913093,0.0856893976522973
lightgbm,5001d09a,7,0.01815774696516113,0.06186376594004015,-0.008459238565009599,0.007432599558271501,-0.011962810760746742,0.0018762501256259936
lightgbm,50c02189,7,0.05859327448034173,0.22577023552111772,-0.03994018358262292,-0.06759985448281812,0.01691275430887632,0.06687973452410484
lightgbm,517001af,7,-0.033632621524333585,-0.09116373003081304,-0.03141402379313204,-0.03299383229862431,-0.043000845672540554,-0.07114961101768816
lightgbm,6030f0fd,7,0.02777854618693208,0.06772606100930097,-0.015560746769546838,-0.016621041674648156,0.04200931674170364,0.06228722109204236
lightgbm,7072a0e0,7,-0.022813583393014675,-0.089270286265116,-0.05203117614822222,-0.08212818968097528,-0.037972015454521856,-0.04267722506078036
lightgbm,7092f07b,7,0.04816473694123843,0.18819682653820635,-0.05100522869976914,-0.10824024178863104,-0.002087813642825081,-0.0017935546314732295
