model,outer_fold,subject_id,pm,calibration_low,calibration_high,calibration_extreme,budget_fully_available,logit_calibration_eligible,logit_calibration_applied,logit_offset,equivalent_original_probability_threshold,frozen_median_threshold,evaluation_low,evaluation_high,evaluation_extreme,evaluation_sample_hash,zero_shot_brier,personalized_brier,brier_improvement,zero_shot_log_loss,personalized_log_loss,log_loss_improvement,zero_shot_ece10,personalized_ece10,zero_shot_balanced_accuracy,frozen_median_balanced_accuracy,candidate_balanced_accuracy,delta_balanced_accuracy_vs_median,delta_balanced_accuracy_vs_zero,zero_shot_macro_f1,frozen_median_macro_f1,candidate_macro_f1,delta_macro_f1_vs_median,delta_macro_f1_vs_zero
xgboost,5,0001508a,attention,144,13,157,True,True,True,-5.460581828670453,0.9957669135719683,0.724830336868763,49,11,60,26d43b87ea0ae6f920fe3a9ec75da039399e76298245359bb66d20c6cd6988f2,0.15041654024537324,0.16366690031653075,-0.013250360071157513,0.4869284945287326,0.8194249436431367,-0.33249644911440407,0.17597235340896683,0.16896581287522522,0.761595547309833,0.7217068645640075,0.5,-0.22170686456400746,-0.26159554730983303,0.7044334975369457,0.7217068645640075,0.44954128440366975,-0.2721655801603377,-0.254892213133276
lightgbm,5,0001508a,attention,144,13,157,True,True,True,-4.09050545990525,0.9835445379428555,0.7533073601262145,49,11,60,26d43b87ea0ae6f920fe3a9ec75da039399e76298245359bb66d20c6cd6988f2,0.15878670958562235,0.16615259390024045,-0.0073658843146180986,0.49798957778460634,0.6276181940967785,-0.1296286163121722,0.20921246932084558,0.16904142160918711,0.7717996289424861,0.6512059369202227,0.5,-0.15120593692022266,-0.2717996289424861,0.7204968944099379,0.673202614379085,0.44954128440366975,-0.22366132997541527,-0.27095561000626817
xgboost,5,0001508a,engagement,76,42,118,True,True,True,2.67096719531477,0.06470840810655193,0.1653085595207812,34,68,102,fcce3680fa7beb162dc83d583f5ec4062fb67da959d3903be556c50bcbe44a85,0.27310041495709286,0.1242014437556673,0.14889897120142556,0.979650723879707,0.4222235129127378,0.5574272109669691,0.33807416885419195,0.12514730307667216,0.7352941176470589,0.8014705882352942,0.8455882352941176,0.044117647058823484,0.11029411764705876,0.6661532537543319,0.7664044608184806,0.8226812557521219,0.05627679493364135,0.15652800199779004
lightgbm,5,0001508a,engagement,76,42,118,True,True,True,1.6007487173133286,0.16787699730682673,0.1780087058630681,34,68,102,fcce3680fa7beb162dc83d583f5ec4062fb67da959d3903be556c50bcbe44a85,0.16025656444635103,0.07340753225637406,0.08684903218997697,0.47759369873413476,0.2678484055399073,0.20974529319422747,0.2204831091313781,0.07840564915575056,0.8014705882352942,0.9044117647058824,0.9044117647058824,0.0,0.1029411764705882,0.7508549096238397,0.9014492753623189,0.9014492753623189,0.0,0.15059436573847917
xgboost,5,0001508a,excitement,56,40,96,True,True,True,-1.1418208346173628,0.7580137895579969,0.5067518488503993,27,47,74,0b094782358b6530b924f0b10adf1a6bcddcfd8c6bdb0f644b7b03bd4165ee99,0.06343926161970823,0.059040665101587,0.004398596518121224,0.19473340574925457,0.20823174411437792,-0.013498338365123347,0.07050607513716584,0.07247360894053166,0.9018912529550827,0.9018912529550827,0.9389282899921197,0.03703703703703709,0.03703703703703709,0.8987292277614858,0.8987292277614858,0.9286678234046655,0.02993859564317969,0.02993859564317969
lightgbm,5,0001508a,excitement,56,40,96,True,True,True,-0.9212452674316001,0.715295769563388,0.5226674146217413,27,47,74,0b094782358b6530b924f0b10adf1a6bcddcfd8c6bdb0f644b7b03bd4165ee99,0.05833462605680489,0.04497897502471088,0.013355651032094011,0.19049697870230145,0.1735492009091716,0.016947777793129837,0.10528534703850631,0.06949508719194537,0.8861308116627266,0.8861308116627266,0.9602048857368006,0.07407407407407407,0.07407407407407407,0.8952900747928038,0.8952900747928038,0.9565982404692082,0.0613081656764044,0.0613081656764044
xgboost,5,0001508a,stress,44,87,131,True,True,True,-0.9015154561950613,0.7112608297527409,0.6359863430261612,67,39,106,c7e60c6b6d43fb1a622b52f710061ff2c921677cb01688ed0de749dd9f0a5b98,0.43594635376260404,0.36373689237561396,0.07220946138699008,1.6270764797627992,1.2440918562976782,0.3829846234651211,0.46518979142947153,0.38382286247962216,0.5671641791044776,0.606582472254114,0.6140451588212782,0.007462686567164201,0.04688097971680061,0.40518575851393185,0.48735119047619047,0.4992125984251969,0.01186140794900642,0.09402683991126504
lightgbm,5,0001508a,stress,44,87,131,True,True,True,-0.37187381949402953,0.5919116815688932,0.6620358464472296,67,39,106,c7e60c6b6d43fb1a622b52f710061ff2c921677cb01688ed0de749dd9f0a5b98,0.2684794110259023,0.22993858339489248,0.0385408276310098,0.7969782043267656,0.6851118477641375,0.11186635656262811,0.328471216738602,0.272500966564194,0.6791044776119403,0.750478377344049,0.7185227707615767,-0.03195560658247232,0.03941829314963641,0.5860503133230406,0.6981132075471698,0.6494144989720212,-0.048698708575148575,0.06336418564898061
xgboost,5,0001508a,relaxation,12,91,103,True,True,True,-1.4820270731043044,0.8148785629045181,0.9352037012577056,53,59,112,2e5f9dfd935773f60e9920a44c8989bf24090d1e5e160f1786142af0dbefcbd5,0.3902082876162907,0.34387409425642607,0.04633419335986466,2.1280302361749595,1.5505167824685167,0.5775134537064428,0.4121005491220526,0.36427241241666003,0.5471698113207547,0.6226415094339622,0.6037735849056604,-0.018867924528301883,0.05660377358490565,0.4416285832987121,0.5703874184886844,0.540625,-0.029762418488684328,0.09899641670128795
lightgbm,5,0001508a,relaxation,12,91,103,True,True,True,-0.43136260967340456,0.6061990000557491,0.853649119842502,53,59,112,2e5f9dfd935773f60e9920a44c8989bf24090d1e5e160f1786142af0dbefcbd5,0.3391995942148757,0.30889837085957045,0.030301223355305273,1.1504746565593524,0.9940744049714996,0.15640025158785287,0.3765677283069584,0.3476888491431236,0.5660377358490566,0.6896386312759835,0.5849056603773585,-0.10473297089862499,0.018867924528301883,0.4764227642276423,0.669261744966443,0.5093588211867782,-0.15990292377966475,0.03293605695913593
