model,pm,participant_rows,eligible,applied,mean_brier_improvement,mean_log_loss_improvement,mean_delta_balanced_accuracy_vs_median,mean_delta_macro_f1_vs_median,median_logit_offset
lightgbm,attention,50,42,42,0.017727068421100535,0.06641301071213496,-0.03201550330521591,-0.05285245001335994,-0.5107964990214751
lightgbm,engagement,50,41,41,0.018145947472625434,0.06618881009082306,-0.02057763829701506,-0.026012337932207485,0.08068834789093243
lightgbm,excitement,50,44,44,0.013315899026889262,0.0413458300659621,-0.0032034296264635454,0.0054193465601841,-0.8890346391058149
lightgbm,focus,50,35,35,-0.006555193899498775,-0.036145399602005336,-0.03184915570124878,-0.03629159038622633,-0.430845361197594
lightgbm,interest,49,41,41,0.0240079015256115,0.07685915118535674,-0.024122136969401534,-0.030437475212866983,-0.6009278657881059
lightgbm,relaxation,50,42,42,0.011600030735260208,0.05277663821391511,-0.024855565547062284,-0.02556962035384127,-0.38558415129741663
lightgbm,stress,46,40,40,0.020895028548593823,0.06477923614532763,-0.01666081219376624,-0.02015248572183044,-0.751220370638199
xgboost,attention,50,42,42,0.02816991897284929,0.15949263423005244,-0.014438566787434184,-0.02490462063622271,-0.3126315092743579
xgboost,engagement,50,41,41,0.02196952356799068,0.14310664151899757,0.00017617622752878813,0.0011190236186293346,-0.35423942297474753
xgboost,excitement,50,44,44,0.018754508480678646,0.08527468984027718,-0.002090285261801743,0.005847653794834531,-1.467847681919703
xgboost,focus,50,35,35,0.0032617395895957594,-0.013566448797343264,-0.025569267997648117,-0.028789750756373734,-0.9025370984651027
xgboost,interest,49,41,41,0.0345631296518405,0.1686953805298664,-0.014671500766167783,-0.007397574936650635,-0.6605886538311152
xgboost,relaxation,50,42,42,0.014911094685684901,0.1241472746879556,-0.014942392453946933,-0.01297659596236059,-0.7323960802306727
xgboost,stress,46,40,40,0.02793562867650485,0.1447884762278277,-0.008190788354111666,-0.008816866150508312,-0.787030733065407
