model,budget_seconds,strategy,metric,observed_mean_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,bootstrap_seed,resampling_unit,n_subjects
lightgbm,60,empirical_balanced_accuracy,balanced_accuracy,-0.0006112979016309112,-0.002927581358579073,0.0016786247828475907,10000,42,subject_id,53
lightgbm,60,empirical_balanced_accuracy,macro_f1,-0.0002531981799738884,-0.0034382101213589074,0.003106754418136504,10000,42,subject_id,53
lightgbm,60,median_midpoint,balanced_accuracy,0.0010838176704597161,-0.0004878561069276682,0.002847205058505852,10000,42,subject_id,53
lightgbm,60,median_midpoint,macro_f1,0.0016763474753378757,-0.0005603429977825986,0.004312621606958545,10000,42,subject_id,53
lightgbm,120,empirical_balanced_accuracy,balanced_accuracy,-0.005437658397388539,-0.011487529897896722,0.00037653012001943723,10000,42,subject_id,53
lightgbm,120,empirical_balanced_accuracy,macro_f1,-0.005052332422570169,-0.012226965677081161,0.002151383927228957,10000,42,subject_id,53
lightgbm,120,median_midpoint,balanced_accuracy,0.0018581768637786146,-0.002827340936135692,0.006089257952286798,10000,42,subject_id,53
lightgbm,120,median_midpoint,macro_f1,0.003921528117813674,-0.0017159539788754005,0.009678547248152793,10000,42,subject_id,53
lightgbm,300,empirical_balanced_accuracy,balanced_accuracy,-0.003045853566338598,-0.012429449583607519,0.00560632631954071,10000,42,subject_id,53
lightgbm,300,empirical_balanced_accuracy,macro_f1,-0.0025607903298196385,-0.013981125828059087,0.008438571636456487,10000,42,subject_id,53
lightgbm,300,median_midpoint,balanced_accuracy,0.008472317287220942,0.002258899752067742,0.014631168213154147,10000,42,subject_id,53
lightgbm,300,median_midpoint,macro_f1,0.012090453792897981,0.004678931420354868,0.01987608339951359,10000,42,subject_id,53
xgboost,60,empirical_balanced_accuracy,balanced_accuracy,2.246106579008246e-05,-0.002156703658029663,0.002190582513661079,10000,42,subject_id,53
xgboost,60,empirical_balanced_accuracy,macro_f1,-0.00044925562638482315,-0.0031321174077363237,0.0022190644412769735,10000,42,subject_id,53
xgboost,60,median_midpoint,balanced_accuracy,0.0009022883493074575,-0.0004056491437675615,0.0023702807161003077,10000,42,subject_id,53
xgboost,60,median_midpoint,macro_f1,0.00097714331560906,-0.0007580086111049499,0.0028494674397531207,10000,42,subject_id,53
xgboost,120,empirical_balanced_accuracy,balanced_accuracy,-0.0022588609853957014,-0.007743375407514475,0.003069422188035575,10000,42,subject_id,53
xgboost,120,empirical_balanced_accuracy,macro_f1,-0.0028831332051224992,-0.00929359501866096,0.003708849581599197,10000,42,subject_id,53
xgboost,120,median_midpoint,balanced_accuracy,0.0025126723035516618,-0.0014342393889913547,0.006170959312645959,10000,42,subject_id,53
xgboost,120,median_midpoint,macro_f1,0.0037300360524047844,-0.000719541239740282,0.008250470413353259,10000,42,subject_id,53
xgboost,300,empirical_balanced_accuracy,balanced_accuracy,-0.0036383981788409175,-0.012075135179461832,0.004355497997287976,10000,42,subject_id,53
xgboost,300,empirical_balanced_accuracy,macro_f1,-0.004381190459393959,-0.01438699319832557,0.005793371373639548,10000,42,subject_id,53
xgboost,300,median_midpoint,balanced_accuracy,0.006658693246628385,0.0018940682498432726,0.011286954351307622,10000,42,subject_id,53
xgboost,300,median_midpoint,macro_f1,0.010155237580955634,0.004348062972241228,0.016107825034104205,10000,42,subject_id,53
