model,budget_seconds,budget_role,strategy,strategy_role,subject_id,n_pm,n_class_eligible_pm,n_adaptation_applied_pm,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,0001508a,7,0,0,0.7339359793141217,0.7339359793141217,0.0,0.7042397899750318,0.7042397899750318,0.0,0.6442295508771048,0.6442295508771048,0.0,0.8236424077511385,0.8236424077511385,0.0,0.8038155894905611,0.8038155894905611,0.0,0.7685528943022791,0.7685528943022791,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,0012905a,7,1,1,0.7459898435381611,0.7204034354329562,-0.025586408105205103,0.7457133754286832,0.7115224298302508,-0.034190945598432484,0.8613766083445686,0.8670157060889296,0.005639097744360904,0.630603078731754,0.5737911647769829,-0.0568119139547711,0.776953805401443,0.7685321990748087,-0.008421606326634277,0.7635896339939042,0.7360155653520738,-0.027574068641830447
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,0110f12e,7,0,0,0.8229420676691923,0.8229420676691923,0.0,0.8211522375557496,0.8211522375557496,0.0,0.8239212019816943,0.8239212019816943,0.0,0.82196293335669,0.82196293335669,0.0,0.8279208479413257,0.8279208479413257,0.0,0.8263390829241366,0.8263390829241366,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,0182e16c,7,0,0,0.6937045125801606,0.6937045125801606,0.0,0.6329759315461185,0.6329759315461185,0.0,0.6606702319626806,0.6606702319626806,0.0,0.7267387931976405,0.7267387931976405,0.0,0.7747328791331471,0.7747328791331471,0.0,0.6992727726136313,0.6992727726136313,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,01c2a0d8,7,0,0,0.7704268053965275,0.7704268053965275,0.0,0.7432181832891286,0.7432181832891286,0.0,0.6961840613937067,0.6961840613937067,0.0,0.8446695493993482,0.8446695493993482,0.0,0.7758202104448123,0.7758202104448123,0.0,0.7879810714749099,0.7879810714749099,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,1081b177,7,1,1,0.786709458606684,0.7761274480246733,-0.010582010582010597,0.7701081694715627,0.7552124224138915,-0.014895747057671225,0.6192553715543063,0.6933294456283805,0.07407407407407407,0.9541635456590614,0.8589254504209661,-0.09523809523809525,0.8131021206294476,0.8089739876062881,-0.004128133023159445,0.8003192467008968,0.7885775637263371,-0.011741682974559686
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,20201194,7,1,1,0.7240396867159635,0.7442044263610973,0.020164739645133704,0.7102115601396684,0.7333885761778518,0.02317701603818345,0.7004260313636136,0.7568845429119454,0.056458511548331904,0.7476533420683135,0.7315243098102489,-0.01612903225806452,0.7767593835528019,0.7804686992490346,0.0037093156962326895,0.7588129487585787,0.7770241992644468,0.018211250505868075
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,2162c09e,7,0,0,0.76928710818385,0.76928710818385,0.0,0.7586041139445402,0.7586041139445402,0.0,0.6208322184854806,0.6208322184854806,0.0,0.9177419978822196,0.9177419978822196,0.0,0.7955549822936246,0.7955549822936246,0.0,0.8156345529996595,0.8156345529996595,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,2182c1cd,7,2,2,0.746565554982182,0.7737394132758417,0.02717385829365967,0.7296453287711339,0.7633057500057302,0.03366042123459634,0.5601754375816076,0.6641263287721016,0.10395089119049397,0.9329556723827563,0.8833524977795816,-0.0496031746031746,0.7820819943821183,0.7971122035863922,0.015030209204274019,0.7467515283908039,0.7802961417180219,0.03354461332721782
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,219060fa,7,0,0,0.7907003690912645,0.7907003690912645,0.0,0.7411916811141562,0.7411916811141562,0.0,0.7988515772518173,0.7988515772518173,0.0,0.7825491609307117,0.7825491609307117,0.0,0.7759908603339519,0.7759908603339519,0.0,0.8302910229583376,0.8302910229583376,0.0
