model,budget_seconds,budget_role,strategy,strategy_role,subject_id,n_adapted_pm,delta_balanced_accuracy,delta_macro_f1,delta_low_recall,delta_high_recall,delta_precision,delta_accuracy
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,0012905a,1,-0.17910485673643572,-0.23933661918902738,0.03947368421052633,-0.3976833976833977,-0.05895124428643994,-0.19301848049281312
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,1081b177,1,-0.07407407407407418,-0.10427022940369857,0.5185185185185185,-0.6666666666666667,-0.028896931162116113,-0.0821917808219178
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,20201194,1,0.14115317751593592,0.16223911226728416,0.3952095808383233,-0.11290322580645162,0.025965209873628825,0.12747875354107652
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,2182c1cd,2,0.09510850402780885,0.11781147432108718,0.3638281191667289,-0.1736111111111111,0.05260573221495907,0.11740614664526239
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,30c140ca,1,-0.020622150710646214,0.013212530942732559,-0.2654867256637168,0.22424242424242424,-0.01613954535427975,0.025179856115107868
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,40f0714a,2,0.005446623093681935,0.0005062049117482426,-0.01851851851851849,0.02941176470588236,-0.013464090373673354,-0.004347826086956497
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,41e2010c,3,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,50c02189,3,0.050458799967170696,0.12085091705799898,0.30718675460711165,-0.20626915467277027,0.009453944233890713,0.05148912125656313
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,6030f0fd,1,-0.09717507623266786,-0.1780712662682854,-0.4031413612565445,0.20879120879120872,-0.10932158304012696,-0.2056737588652482
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,7092f07b,1,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,71e10186,1,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,71f0603f,1,0.004521276595744639,0.0014331956502429133,0.025000000000000022,-0.015957446808510634,-0.0009500103914997782,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,81e150c1,1,-0.07131898275140647,-0.08670446655866693,0.08029197080291972,-0.22292993630573255,-0.03334474596522263,-0.08163265306122458
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,81f1f0fe,1,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,a1721173,1,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,c112918e,1,-0.14697043288203504,-0.09276095397716977,0.20329670329670335,-0.49723756906077343,0.06406633460698608,-0.029357798165137616
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,d0724095,1,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,d0e2d025,2,-0.08917305702724687,-0.11719953340777489,0.12516616314199397,-0.30351227719648777,-0.02878560386513368,-0.10518904269734569
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,d111e017,1,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,d142d110,1,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,f121f1e0,1,0.04265905768051692,0.06553312894215779,-0.02197802197802201,0.10729613733905577,-0.01814547141720735,0.028475711892797295
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,f1a0c120,1,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,exploratory,median_midpoint,primary,0012905a,1,-0.05300413195150033,-0.06356622148382518,0.01754385964912286,-0.12355212355212353,-0.023734426220784588,-0.05749486652977409
lightgbm,60,exploratory,median_midpoint,primary,20201194,1,0.14805872126714315,0.16848560821660152,0.42514970059880236,-0.12903225806451613,0.029788631629597218,0.1331444759206799
lightgbm,60,exploratory,median_midpoint,primary,2182c1cd,2,0.0791800961530485,0.09217789938347559,0.19030463675054138,-0.031944444444444386,0.03775983563851748,0.08760129973115677
lightgbm,60,exploratory,median_midpoint,primary,30c140ca,1,-0.0029766693483507245,0.01597331361837595,-0.11504424778761069,0.10909090909090913,-0.016767370417391625,0.017985611510791366
