model,outer_fold,pm,subject_id,budget_seconds,budget_role,strategy,strategy_role,budget_fully_available,calibration_low,calibration_high,calibration_extreme,calibration_class_eligible,adaptation_applied,adaptation_reason,personalized_threshold,evaluation_low,evaluation_high,evaluation_extreme,evaluation_sample_hash,zero_shot_balanced_accuracy,personalized_balanced_accuracy,delta_balanced_accuracy,zero_shot_macro_f1,personalized_macro_f1,delta_macro_f1,zero_shot_low_recall,personalized_low_recall,delta_low_recall,zero_shot_high_recall,personalized_high_recall,delta_high_recall,zero_shot_precision,personalized_precision,delta_precision,zero_shot_accuracy,personalized_accuracy,delta_accuracy,zero_shot_roc_auc,zero_shot_pr_auc,median_probability_low,median_probability_high,calibration_balanced_accuracy_at_threshold,threshold_candidate_count
xgboost,5,attention,0001508a,60,exploratory,median_midpoint,primary,True,0,3,3,False,False,ineligible_zero_shot_fallback,0.5,189,11,200,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,0.6572871572871573,0.6572871572871573,0.0,0.44881086046749,0.44881086046749,0.0,0.5873015873015873,0.5873015873015873,0.0,0.7272727272727273,0.7272727272727273,0.0,0.5333537331701347,0.5333537331701347,0.0,0.595,0.595,0.0,0.6945646945646945,0.13429175035996047,,,,
xgboost,5,attention,0001508a,60,exploratory,empirical_balanced_accuracy,sensitivity,True,0,3,3,False,False,ineligible_zero_shot_fallback,0.5,189,11,200,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,0.6572871572871573,0.6572871572871573,0.0,0.44881086046749,0.44881086046749,0.0,0.5873015873015873,0.5873015873015873,0.0,0.7272727272727273,0.7272727272727273,0.0,0.5333537331701347,0.5333537331701347,0.0,0.595,0.595,0.0,0.6945646945646945,0.13429175035996047,,,,
xgboost,5,attention,0001508a,120,secondary,median_midpoint,primary,True,0,9,9,False,False,ineligible_zero_shot_fallback,0.5,189,11,200,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,0.6572871572871573,0.6572871572871573,0.0,0.44881086046749,0.44881086046749,0.0,0.5873015873015873,0.5873015873015873,0.0,0.7272727272727273,0.7272727272727273,0.0,0.5333537331701347,0.5333537331701347,0.0,0.595,0.595,0.0,0.6945646945646945,0.13429175035996047,,,,
xgboost,5,attention,0001508a,120,secondary,empirical_balanced_accuracy,sensitivity,True,0,9,9,False,False,ineligible_zero_shot_fallback,0.5,189,11,200,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,0.6572871572871573,0.6572871572871573,0.0,0.44881086046749,0.44881086046749,0.0,0.5873015873015873,0.5873015873015873,0.0,0.7272727272727273,0.7272727272727273,0.0,0.5333537331701347,0.5333537331701347,0.0,0.595,0.595,0.0,0.6945646945646945,0.13429175035996047,,,,
xgboost,5,attention,0001508a,300,primary,median_midpoint,primary,True,4,13,17,True,True,adapted,0.9704891592264175,189,11,200,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,0.6572871572871573,0.5618085618085618,-0.0954785954785955,0.44881086046749,0.5567375886524822,0.10792672818499222,0.5873015873015873,0.9417989417989417,0.3544973544973544,0.7272727272727273,0.18181818181818182,-0.5454545454545454,0.5333537331701347,0.5528589058000823,0.019505172629947665,0.595,0.9,0.30500000000000005,0.6945646945646945,0.13429175035996047,0.9440943896770477,0.9968839287757874,,
xgboost,5,attention,0001508a,300,primary,empirical_balanced_accuracy,sensitivity,True,4,13,17,True,True,adapted,0.9900453090667725,189,11,200,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,0.6572871572871573,0.5401635401635402,-0.11712361712361707,0.44881086046749,0.5558845299777943,0.10707366951030423,0.5873015873015873,0.9894179894179894,0.4021164021164021,0.7272727272727273,0.09090909090909091,-0.6363636363636364,0.5333537331701347,0.6412859560067682,0.1079322228366335,0.595,0.94,0.345,0.6945646945646945,0.13429175035996047,,,0.9615384615384616,19.0
lightgbm,5,attention,0001508a,60,exploratory,median_midpoint,primary,True,0,3,3,False,False,ineligible_zero_shot_fallback,0.5,189,11,200,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,0.644059644059644,0.644059644059644,0.0,0.4341360705355968,0.4341360705355968,0.0,0.5608465608465608,0.5608465608465608,0.0,0.7272727272727273,0.7272727272727273,0.0,0.5301945760661357,0.5301945760661357,0.0,0.57,0.57,0.0,0.7012987012987013,0.10118999745351888,,,,
lightgbm,5,attention,0001508a,60,exploratory,empirical_balanced_accuracy,sensitivity,True,0,3,3,False,False,ineligible_zero_shot_fallback,0.5,189,11,200,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,0.644059644059644,0.644059644059644,0.0,0.4341360705355968,0.4341360705355968,0.0,0.5608465608465608,0.5608465608465608,0.0,0.7272727272727273,0.7272727272727273,0.0,0.5301945760661357,0.5301945760661357,0.0,0.57,0.57,0.0,0.7012987012987013,0.10118999745351888,,,,
lightgbm,5,attention,0001508a,120,secondary,median_midpoint,primary,True,0,9,9,False,False,ineligible_zero_shot_fallback,0.5,189,11,200,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,0.644059644059644,0.644059644059644,0.0,0.4341360705355968,0.4341360705355968,0.0,0.5608465608465608,0.5608465608465608,0.0,0.7272727272727273,0.7272727272727273,0.0,0.5301945760661357,0.5301945760661357,0.0,0.57,0.57,0.0,0.7012987012987013,0.10118999745351888,,,,
lightgbm,5,attention,0001508a,120,secondary,empirical_balanced_accuracy,sensitivity,True,0,9,9,False,False,ineligible_zero_shot_fallback,0.5,189,11,200,5df44c254da64c42be87a21c8db48eab796cc447449f4ee47d035eaa68cf2ea4,0.644059644059644,0.644059644059644,0.0,0.4341360705355968,0.4341360705355968,0.0,0.5608465608465608,0.5608465608465608,0.0,0.7272727272727273,0.7272727272727273,0.0,0.5301945760661357,0.5301945760661357,0.0,0.57,0.57,0.0,0.7012987012987013,0.10118999745351888,,,,
