model,budget_seconds,budget_role,strategy,strategy_role,participant_pm_rows,participants,adapted_pm_per_participant_mean,adapted_pm_per_participant_min,adapted_pm_per_participant_max,delta_balanced_accuracy_mean,delta_balanced_accuracy_median,delta_macro_f1_mean,delta_macro_f1_median,delta_low_recall_mean,delta_low_recall_median,delta_high_recall_mean,delta_high_recall_median,delta_precision_mean,delta_precision_median,delta_accuracy_mean,delta_accuracy_median
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,29,22,1.3181818181818181,1,3,-0.015413235978802427,0.0,-0.015307113850516868,0.0,0.06131122123481927,0.0,-0.0921376931924241,0.0,-0.007086727496647039,0.0,-0.01597189776090165,0.0
lightgbm,60,exploratory,median_midpoint,primary,27,20,1.35,1,3,0.017070705509365142,0.004652364171772616,0.021623514453266417,0.009809413776414144,0.041856048002688113,0.01105503484739249,-0.0077146369839578375,-0.02760182950745564,-0.0009373709650904342,-0.002641585986573991,0.009043289159786999,0.0052831050228310805
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,106,43,2.4651162790697674,1,7,-0.029041917442753504,-0.011768390907463733,-0.035124977804617256,-0.0003734936592167208,0.07977459776734692,0.07099861332885116,-0.1378584326528539,-0.10114054941641151,-0.010544776624711271,0.0,-0.028597873302293297,0.0
lightgbm,120,secondary,median_midpoint,primary,102,43,2.372093023255814,1,7,0.00044441972987340557,0.011731177193372577,0.0027164223717032533,0.020088075548325257,0.08189493990666624,0.06060606060606066,-0.08100610044691944,-0.06476530005941766,-0.0005892743076119971,0.0023016344653878917,0.0017164753202352832,0.01043478260869568
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,208,51,4.078431372549019,1,7,-0.007241740274187915,-0.002679954496668724,-0.0069522566542343945,-0.007917400927685714,0.08054435043513117,0.053886832363828664,-0.09502783098350699,-0.07279370197488665,-0.002424937891783579,0.0,-0.003784874280059809,0.0
lightgbm,300,primary,median_midpoint,primary,204,51,4.0,1,7,0.014059732946640544,0.012063765271384808,0.019445368196027463,0.018962617116267382,0.0744968079151896,0.046281819357584825,-0.046377342021908505,-0.029853866584019634,0.0018510682822127891,0.0010672780387710745,0.015425134146207805,0.014871640801442099
xgboost,60,exploratory,empirical_balanced_accuracy,sensitivity,29,22,1.3181818181818181,1,3,-0.004413840811124634,0.0,-0.013309262627496661,0.0,0.02348141034133817,0.0,-0.032309091963587465,0.0,-0.011493322385506806,0.0,-0.017573239337625144,0.0
xgboost,60,exploratory,median_midpoint,primary,28,21,1.3333333333333333,1,3,0.013896592022129964,0.0,0.012881113422251591,0.0,0.04350973009434717,0.012345679012345678,-0.015716546050087266,-0.0424710424710425,-0.003724262509064972,0.0,0.005725339088560842,0.0
xgboost,120,secondary,empirical_balanced_accuracy,sensitivity,106,43,2.4651162790697674,1,7,-0.017194719029473567,0.0,-0.024313957470297173,0.0,0.10307039677004867,0.07525118984664197,-0.1374598348289958,-0.133722392343082,-0.007941179368607259,0.0,-0.02355299212807126,0.0
xgboost,120,secondary,median_midpoint,primary,101,43,2.3488372093023258,1,6,0.006372276919840048,0.008979468856050388,0.00820040194806103,0.009366936385624025,0.07316113267674014,0.041658374792703144,-0.06041657883706006,-0.03378378378378377,-0.0013278313949656082,0.0,0.004628145299395917,0.008264462809917439
xgboost,300,primary,empirical_balanced_accuracy,sensitivity,208,51,4.078431372549019,1,7,-0.00931645514766476,-0.0011814350666501754,-0.010358085629969632,0.0,0.06427125351100771,0.05170494906326475,-0.08290416380633721,-0.07558139534883718,-0.0031552305697160376,-0.004387160789677424,-0.007075288843275125,-0.0006604771494345407
xgboost,300,primary,median_midpoint,primary,199,51,3.9019607843137254,1,7,0.00982482184143898,0.010252291649803291,0.015451712766223142,0.01652015617333023,0.046530368732593995,0.032982932228808076,-0.02688072504971605,-0.013581805973427757,0.0011236428707799512,0.002427338093808795,0.013579527108992288,0.015848666381400662
