model,budget_seconds,strategy,pm,participant_rows,class_eligible,adaptation_applied,delta_balanced_accuracy_mean,delta_macro_f1_mean,delta_low_recall_mean,delta_high_recall_mean,delta_precision_mean,delta_accuracy_mean
lightgbm,60,empirical_balanced_accuracy,attention,52,1,1,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,empirical_balanced_accuracy,engagement,53,1,1,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,empirical_balanced_accuracy,excitement,53,4,4,-0.0034890964547648084,-0.0032048766207342073,0.01203735789331232,-0.01901555080284194,0.0005864207583806596,-0.0017905193418278154
lightgbm,60,empirical_balanced_accuracy,focus,53,0,0,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,empirical_balanced_accuracy,interest,52,9,9,-0.0017241200543066766,0.0005418622469855247,0.023022473111766393,-0.026470713220379742,0.0006753942828448865,-0.0006616329835149059
lightgbm,60,empirical_balanced_accuracy,relaxation,53,1,1,0.0014906015705504027,0.000919657209902934,0.005916213623281101,-0.0029350104821802936,-0.0002035548140234691,0.0005698366468279096
lightgbm,60,empirical_balanced_accuracy,stress,52,13,13,-0.0006003278811107195,-1.9167939221200235e-05,0.005480543230368233,-0.006681198992589672,-0.0035010860815608965,-0.0027198679305380715
lightgbm,60,median_midpoint,attention,52,1,1,0.0020199660887920004,0.0019190495138748953,-0.00023357209592027412,0.004273504273504274,0.00024483415380105667,0.0007836990595611284
lightgbm,60,median_midpoint,engagement,53,1,1,0.0002018941340577043,0.00028843872322232466,0.0004037882681154086,0.0,0.000294236574211715,0.0002882599580712778
lightgbm,60,median_midpoint,excitement,53,4,4,0.0017098990717551291,0.0022284465307060393,0.01063344681371785,-0.007213648670207592,0.0006976826916745502,0.0017121796726784259
lightgbm,60,median_midpoint,focus,53,0,0,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,60,median_midpoint,interest,52,9,8,0.00025516139512710574,0.00324177456417789,0.011579882629007669,-0.011069559838753462,0.0010045417370300907,0.0013008247080859442
lightgbm,60,median_midpoint,relaxation,53,1,1,0.0014692818818178614,0.0013314983467988088,0.003357850975375761,-0.00041928721174004044,0.0005012679815757297,0.0010763581106749394
lightgbm,60,median_midpoint,stress,52,13,12,0.0020113989794679657,0.002876879431789747,0.005531066932750045,-0.0015082689738141106,-0.0031241544711553336,-0.0003893714799878214
lightgbm,120,empirical_balanced_accuracy,attention,52,7,7,0.0008536422473822286,0.0017988177430920415,0.002376217784665488,-0.0006689332899010292,0.0009343889570262848,0.0020587212798538683
