model,budget_seconds,budget_role,strategy,strategy_role,participants,participant_pm_rows,class_eligible_participant_pm,adaptation_applied_participant_pm,zero_shot_balanced_accuracy_mean,personalized_balanced_accuracy_mean,delta_balanced_accuracy_mean,zero_shot_macro_f1_mean,personalized_macro_f1_mean,delta_macro_f1_mean,zero_shot_low_recall_mean,personalized_low_recall_mean,delta_low_recall_mean,zero_shot_high_recall_mean,personalized_high_recall_mean,delta_high_recall_mean,zero_shot_precision_mean,personalized_precision_mean,delta_precision_mean,zero_shot_accuracy_mean,personalized_accuracy_mean,delta_accuracy_mean
lightgbm,60,exploratory,empirical_balanced_accuracy,sensitivity,53,368,29,29,0.7543108938252787,0.7536995959236478,-0.0006112979016309112,0.7193686151907581,0.7191154170107843,-0.0002531981799738884,0.7488692702867475,0.755429098157827,0.006559827871079384,0.7597525173638096,0.7519700936894683,-0.007782423674341206,0.7787534186102053,0.7784120599080967,-0.00034135870210862915,0.7621110154954991,0.7614626752519257,-0.0006483402435734498
lightgbm,60,exploratory,median_midpoint,primary,53,368,29,27,0.7543108938252787,0.7553947114957384,0.0010838176704597161,0.7193686151907581,0.7210449626660963,0.0016763474753378757,0.7488692702867475,0.7532912734922885,0.0044220032055407674,0.7597525173638096,0.7574981494991884,-0.002254367864621337,0.7787534186102053,0.778703958874191,-4.94597360144797e-05,0.7621110154954991,0.7627881534988785,0.00067713800337948
lightgbm,120,secondary,empirical_balanced_accuracy,sensitivity,53,368,106,106,0.7543108938252787,0.7488732354278901,-0.005437658397388539,0.7193686151907581,0.7143162827681879,-0.005052332422570169,0.7488692702867475,0.7740932645105172,0.025223994223769232,0.7597525173638096,0.7236532063452632,-0.036099311018546305,0.7787534186102053,0.7787039996942905,-4.941891591485152e-05,0.7621110154954991,0.758585102058509,-0.0035259134369900673
lightgbm,120,secondary,median_midpoint,primary,53,368,106,102,0.7543108938252787,0.7561690706890573,0.0018581768637786146,0.7193686151907581,0.723290143308572,0.003921528117813674,0.7488692702867475,0.7730645189065872,0.024195248619839384,0.7597525173638096,0.7392736224715277,-0.02047889489228216,0.7787534186102053,0.7801889891607101,0.0014355705505047567,0.7621110154954991,0.7655492260476504,0.0034382105521514805
lightgbm,300,primary,empirical_balanced_accuracy,sensitivity,53,368,208,208,0.7543108938252787,0.7512650402589403,-0.003045853566338598,0.7193686151907581,0.7168078248609387,-0.0025607903298196385,0.7488692702867475,0.7948704150227128,0.04600114473596487,0.7597525173638096,0.7076596654951677,-0.05209285186864207,0.7787534186102053,0.7778563359146714,-0.0008970826955339957,0.7621110154954991,0.760246791780467,-0.001864223715032014
lightgbm,300,primary,median_midpoint,primary,53,368,208,204,0.7543108938252787,0.7627832111124995,0.008472317287220942,0.7193686151907581,0.7314590689836562,0.012090453792897981,0.7488692702867475,0.7890345132699474,0.040165242983199796,0.7597525173638096,0.7365319089550518,-0.02322060840875792,0.7787534186102053,0.7807043721101584,0.001950953499953106,0.7621110154954991,0.7711340481753345,0.009023032679835405
xgboost,60,exploratory,empirical_balanced_accuracy,sensitivity,53,368,29,29,0.751369730783773,0.7513921918495632,2.246106579008246e-05,0.7179649692498297,0.717515713623445,-0.00044925562638482315,0.7458921656145694,0.7489103483329362,0.003018182718366716,0.7568472959529766,0.75387403536619,-0.002973260586786552,0.7747208697148298,0.7740878143577063,-0.0006330553571233787,0.7603633599031927,0.7595257335133397,-0.0008376263898528966
xgboost,60,exploratory,median_midpoint,primary,53,368,29,28,0.751369730783773,0.7522720191330805,0.0009022883493074575,0.7179649692498297,0.7189421125654389,0.00097714331560906,0.7458921656145694,0.7497191563644199,0.0038269907498503478,0.7568472959529766,0.7548248819017409,-0.0020224140512354323,0.7747208697148298,0.7745805410850548,-0.00014032862977486567,0.7603633599031927,0.7608321132165576,0.00046875331336480267
xgboost,120,secondary,empirical_balanced_accuracy,sensitivity,53,368,106,106,0.751369730783773,0.7491108697983775,-0.0022588609853957014,0.7179649692498297,0.7150818360447073,-0.0028831332051224992,0.7458921656145694,0.7760250910278499,0.030132925413280352,0.7568472959529766,0.7221966485689049,-0.034650647384071746,0.7747208697148298,0.7744898756310397,-0.0002309940837902911,0.7603633599031927,0.7574000330485587,-0.0029633268546339587
xgboost,120,secondary,median_midpoint,primary,53,368,106,101,0.751369730783773,0.7538824030873248,0.0025126723035516618,0.7179649692498297,0.7216950053022345,0.0037300360524047844,0.7458921656145694,0.7668409723622983,0.02094880674772899,0.7568472959529766,0.7409238338123508,-0.015923462140625677,0.7747208697148298,0.7751406209904657,0.00041975127563601466,0.7603633599031927,0.7631761090361115,0.002812749132918948
xgboost,300,primary,empirical_balanced_accuracy,sensitivity,53,368,208,208,0.751369730783773,0.7477313326049322,-0.0036383981788409175,0.7179649692498297,0.7135837787904359,-0.004381190459393959,0.7458921656145694,0.7843917795436115,0.038499613929042074,0.7568472959529766,0.7110708856662528,-0.04577641028672391,0.7747208697148298,0.7727841782785365,-0.0019366914362931888,0.7603633599031927,0.7564263437471146,-0.003937016156078129
xgboost,300,primary,median_midpoint,primary,53,368,208,199,0.751369730783773,0.7580284240304015,0.006658693246628385,0.7179649692498297,0.7281202068307856,0.010155237580955634,0.7458921656145694,0.7723221287124342,0.02642996309786475,0.7568472959529766,0.7437347193483685,-0.013112576604607976,0.7747208697148298,0.7761252399905997,0.001404370275769844,0.7603633599031927,0.7691231759803738,0.008759816077181149
