model,estimator,model_params_hash,outer_fold,subject_id,pm,target_id,lag_seconds,feature_count,calibration_budget_seconds,n_outer_train,n_outer_train_subjects,outer_train_sample_hash,threshold_hash,n_calibration_low,n_calibration_high,n_calibration_extreme,calibration_sample_hash,evaluation_low,evaluation_high,n_evaluation_extreme,evaluation_sample_hash,base_outer_train_sample_weight,personal_total_mass,calibration_low_sample_weight,calibration_high_sample_weight,calibration_low_total_mass,calibration_high_total_mass,specification_hash,run_id
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,30c140ca,attention,target_attention,-10,371,1800,15241,42,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,32,78,110,c344df237720b07711148a11076d3a7ab363447c60174d20aa0789119841951b,91,79,170,0ed5d7f4e8a953676baa957772b489cb853eb8b7b0ec115ea26058c02c844b9d,1.0,362.8809523809524,5.670014880952381,2.3261599511599513,181.4404761904762,181.4404761904762,a82ee340ee94b28a0337e46506b1ab1556e41e8aab43912f0d8628359a0a0c91,xgboost__fold_01__attention__30c140ca__weighted_aug__a82ee340ee94
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,7150e10a,attention,target_attention,-10,371,1800,15241,42,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,43,45,88,d6c594ed5b89935437f8e45b9bab45dc2b7b3560116ba45babda686c1902417e,174,293,467,61ecb55c21d1173067e59adf8f90702ba8c49572611592a6257797d408311185,1.0,362.8809523809524,4.219545957918052,4.0320105820105825,181.44047619047623,181.4404761904762,96ee98827b9b36c60275ab9c67897c403204159d22dbb17b378928789f972830,xgboost__fold_01__attention__7150e10a__weighted_aug__96ee98827b9b
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,71f0603f,attention,target_attention,-10,371,1800,15241,42,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,81,19,100,018ad479ab5ce63023727c41fe4ac4f8b0ecf182bb79d1b73f3d709b1611b05e,228,305,533,595ed4334245853a6b5b381c05dd115a0859ce688496b5a07eacb19f52a08d68,1.0,362.8809523809524,2.240005878894768,9.549498746867169,181.4404761904762,181.4404761904762,6b65a511b8db5f3ff60702a68623e5d9f1190517130a2030cbfe67d8bbd5a06d,xgboost__fold_01__attention__71f0603f__weighted_aug__6b65a511b8db
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,81f1f0fe,attention,target_attention,-10,371,1800,15241,42,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,51,37,88,188f38af9f06499190444d1e4e23540b648995531afa68869691f40ea48e57f3,147,138,285,2c156a20756451143c44d5935b34082b6e4d0b9918f64717ce6446d39ab32810,1.0,362.8809523809524,3.5576563958916902,4.903796653796654,181.4404761904762,181.4404761904762,eebb21b2145a74ea58d2fbc5d565012d12371f3c8f425702a378307a8a9ca3cb,xgboost__fold_01__attention__81f1f0fe__weighted_aug__eebb21b2145a
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,c060c06a,attention,target_attention,-10,371,1800,15241,42,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,52,49,101,c4bcf29f55303e48e0df9c2c0649f412396d88e34f4d6f5486912d7d8c1fcb7a,83,86,169,eb8d727273c0c421a049f443f3f7ae8a293e842d39d56931283349fd0efb50e6,1.0,362.8809523809524,3.489239926739927,3.7028668610301265,181.4404761904762,181.4404761904762,314ab1cdba317b5d666acb0032db50b999d0f555e796c884333568cbe5e1b79e,xgboost__fold_01__attention__c060c06a__weighted_aug__314ab1cdba31
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,c112918e,attention,target_attention,-10,371,1800,15241,42,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,63,52,115,fbe1988fac0f36bc0abfea9f919cac28d00384901fbf7129df01ecd5906b0eb0,316,177,493,8126a2bf5f4ff63741b2a79a15ad4f0db1b4ca1309d675f388195160fa918c5e,1.0,362.8809523809524,2.8800075585789875,3.489239926739927,181.4404761904762,181.4404761904762,52f4379230842c3525e093cfdf69bf694c27416a0d7e820acec871bf7220ff0e,xgboost__fold_01__attention__c112918e__weighted_aug__52f437923084
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,d111e017,attention,target_attention,-10,371,1800,15241,42,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,14,48,62,de9358ddfa16372df2c985335392da481bc6f56e76d31e98adc18bae472768a9,399,405,804,235dd48d193a12eb10b16b0ad8ec61effb88a9ad5139f185ef89718f569194f2,1.0,362.8809523809524,12.960034013605442,3.780009920634921,181.4404761904762,181.4404761904762,ce4e8cf3da688f1994b1d48310c5135298240a0538e8bdef3394c8de367b2157,xgboost__fold_01__attention__d111e017__weighted_aug__ce4e8cf3da68
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,f1d06060,attention,target_attention,-10,371,1800,15241,42,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,29,34,63,52c5682660e7fd1c5a08e63c6132d581ad109153b1883e57900fec499cfadf9d,43,235,278,e30709a151cd8312e9d27197dac67fb19c01e5099bfe6b777cdcdd81a46460b2,1.0,362.8809523809524,6.256568144499179,5.336484593837535,181.4404761904762,181.4404761904762,88ca456225cb08c5561a491750bdf2e903aa671e5d0c4745b81ec60ad7a51f63,xgboost__fold_01__attention__f1d06060__weighted_aug__88ca456225cb
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,30c140ca,engagement,target_engagement,-10,371,1800,15934,42,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,45,71,116,be13c9be9481e96928e16c27a8adb77729ec345e961486558acd12b5bf345e6f,104,33,137,b7f6f77ed997514dd1d604766a8293d61d7cb76feaa867cfae5227702ff56bc9,1.0,379.3809523809524,4.215343915343916,2.671696847753186,189.69047619047623,189.6904761904762,209e4755e9124a0e4e042a2fe3c06cd92b627e46ae958f45d55cbc4b044c8c87,xgboost__fold_01__engagement__30c140ca__weighted_aug__209e4755e912
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,3110e0c7,engagement,target_engagement,-10,371,1800,15934,42,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,19,64,83,6bfaa90942d36ed83cd53bd59a73f0cdbbcf3c78ad84ebb02590ab6cf7ddf1e4,75,103,178,d34e5a82fa8db562f681fdcd62e792efd7b3d5c156eb3a246a472ad073a23bbc,1.0,379.3809523809524,9.983709273182958,2.9639136904761907,189.6904761904762,189.6904761904762,da1b49603d0995e2cfff6ec5086ac0f97115063e75c27cc238760a0910399972,xgboost__fold_01__engagement__3110e0c7__weighted_aug__da1b49603d09
xgboost,XGBClassifier,6f5020a62aa64b2ba8e9eeb74b2bb836f9767f0e14b46b7d244a45e2f8dda4ec,1,7150e10a,engagement,target_engagement,-10,371,1800,15934,42,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,58,29,87,0b18a79282efce6ab8e2d53c58c3f951b42b07a4a0452ed0ac06bb11c3578238,311,135,446,16aa6107d40974882689466629f9195169c84121a5d31d071e4e97551edcae97,1.0,379.3809523809524,3.2705254515599345,6.541050903119869,189.6904761904762,189.6904761904762,8e62caeef2543856c606ef98fca8df8b94322ee280b9874205e9fb34da3dd512,xgboost__fold_01__engagement__7150e10a__weighted_aug__8e62caeef254
