model,metric_contrast,observed_mean,ci95_low,ci95_high,participants,bootstrap_unit,bootstrap_replicates,bootstrap_seed
xgboost,delta_roc_auc,0.01914514712457177,0.013277429443143397,0.025430249394657035,48,subject_id,10000,42
xgboost,delta_pr_auc,0.017619606911359567,0.011219745625839491,0.024953857325694037,48,subject_id,10000,42
xgboost,brier_improvement,0.0350603800246742,0.027230051933642356,0.04358789503060685,48,subject_id,10000,42
xgboost,log_loss_improvement,0.1698423091591211,0.11889764884609973,0.22779034681459176,48,subject_id,10000,42
xgboost,delta_balanced_accuracy_vs_frozen_median,0.010993318182096123,0.004643936582865779,0.01712573021918872,48,subject_id,10000,42
xgboost,delta_macro_f1_vs_frozen_median,0.009830644578351254,0.0012652074555318622,0.018397040453271982,48,subject_id,10000,42
lightgbm,delta_roc_auc,0.0172477863230748,0.012247663681896325,0.022658736132148548,48,subject_id,10000,42
lightgbm,delta_pr_auc,0.018225098367413543,0.012732223099176081,0.024353514881081346,48,subject_id,10000,42
lightgbm,brier_improvement,0.032314948623094746,0.024824835319563324,0.04044573334070658,48,subject_id,10000,42
lightgbm,log_loss_improvement,0.10517618062884426,0.07697913930845708,0.13707027050563403,48,subject_id,10000,42
lightgbm,delta_balanced_accuracy_vs_frozen_median,0.010424557536159782,0.0021844500290361885,0.01854568999816349,48,subject_id,10000,42
lightgbm,delta_macro_f1_vs_frozen_median,0.006880979499747337,-0.005778998839679254,0.01909076001017423,48,subject_id,10000,42
