model,metric_contrast,observed_mean,ci95_low,ci95_high,participants,bootstrap_unit,bootstrap_replicates,bootstrap_seed
xgboost,delta_roc_auc,0.016215898634259273,0.011190848164634656,0.021700333918990504,50,subject_id,10000,42
xgboost,delta_pr_auc,0.014789639912067698,0.009529641864618838,0.02060267062769858,50,subject_id,10000,42
xgboost,brier_improvement,0.029264909069269075,0.022825542005314434,0.0364306115077028,50,subject_id,10000,42
xgboost,log_loss_improvement,0.13707936226396708,0.09935548809558818,0.1795121677857293,50,subject_id,10000,42
xgboost,delta_balanced_accuracy_vs_frozen_median,0.009452301440310718,0.004382620897681793,0.014576644741047024,50,subject_id,10000,42
xgboost,delta_macro_f1_vs_frozen_median,0.008606108154946026,0.0016058357317060516,0.01559589705929095,50,subject_id,10000,42
lightgbm,delta_roc_auc,0.014680213243382714,0.010463694217191321,0.019422500024484285,50,subject_id,10000,42
lightgbm,delta_pr_auc,0.015280961332972487,0.010614758150523936,0.02050043650762095,50,subject_id,10000,42
lightgbm,brier_improvement,0.026668232435945995,0.02049522933367629,0.033610530989210616,50,subject_id,10000,42
lightgbm,log_loss_improvement,0.08554219554734745,0.06310397889589467,0.11051863078175155,50,subject_id,10000,42
lightgbm,delta_balanced_accuracy_vs_frozen_median,0.009071053076067693,0.002956705173282597,0.015410789715766012,50,subject_id,10000,42
lightgbm,delta_macro_f1_vs_frozen_median,0.006240189509272589,-0.003028493201785946,0.01524260242787063,50,subject_id,10000,42
