subject_id,outer_fold,pm,target_id,calibration_record_group_id,calibration_budget_seconds,budget_fully_available,calibration_exact_lag_slots,calibration_low,calibration_high,calibration_middle,calibration_extreme,calibration_extreme_sample_hash,evaluation_low,evaluation_high,evaluation_extreme,evaluation_extreme_sample_hash,evaluation_ready,eligible,eligibility_reason,calibration_evaluation_overlap,record_stitching_used,middle_used_for_training
30c140ca,1,attention,target_attention,30c140ca__day1____2023.12.18T09.42.40p03.00,1800,True,180,32,78,70,110,c344df237720b07711148a11076d3a7ab363447c60174d20aa0789119841951b,91,79,170,0ed5d7f4e8a953676baa957772b489cb853eb8b7b0ec115ea26058c02c844b9d,True,True,full1800_min10_each_eval_ready,0,False,False
3110e0c7,1,attention,target_attention,3110e0c7__day1____2024.01.29T09.42.53p01.00,1800,True,147,0,0,10,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,41,68,109,42ef7e503ebe0f60b7de8eeb585c48440f02b30392b16a9c9f45196726ea1fe7,True,False,operational_fallback,0,False,False
40f0714a,1,attention,target_attention,40f0714a__day2____2023.12.15T11.55.06p03.00,1800,False,154,24,45,85,69,789b35ed59d9e506615f7ac2e0b97ac8fcbdac5984b262aa803f8a6ae7a3ad2c,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,False,operational_fallback,0,False,False
7150e10a,1,attention,target_attention,7150e10a__day1____2023.12.09T09.37.19p03.00,1800,True,180,43,45,92,88,d6c594ed5b89935437f8e45b9bab45dc2b7b3560116ba45babda686c1902417e,174,293,467,61ecb55c21d1173067e59adf8f90702ba8c49572611592a6257797d408311185,True,True,full1800_min10_each_eval_ready,0,False,False
71f0603f,1,attention,target_attention,71f0603f__day1____2023.11.28T09.25.58p03.00,1800,True,180,81,19,80,100,018ad479ab5ce63023727c41fe4ac4f8b0ecf182bb79d1b73f3d709b1611b05e,228,305,533,595ed4334245853a6b5b381c05dd115a0859ce688496b5a07eacb19f52a08d68,True,True,full1800_min10_each_eval_ready,0,False,False
81f1f0fe,1,attention,target_attention,81f1f0fe__day1____2023.11.27T09.37.48p03.00,1800,True,180,51,37,92,88,188f38af9f06499190444d1e4e23540b648995531afa68869691f40ea48e57f3,147,138,285,2c156a20756451143c44d5935b34082b6e4d0b9918f64717ce6446d39ab32810,True,True,full1800_min10_each_eval_ready,0,False,False
a1721173,1,attention,target_attention,a1721173__day1____2023.11.30T14.11.21p03.00,1800,False,27,6,9,12,15,c2960129fff66264a1b037139499f3d1ad1d02ca49301e480f0ecf5d8c21a894,18,62,80,211ebc1cd6df47b34e3b1d800c509f307ad1f775cf8de153a1d2901a282fae14,True,False,operational_fallback,0,False,False
c060c06a,1,attention,target_attention,c060c06a__day1____2023.11.29T09.22.25p03.00,1800,True,180,52,49,79,101,c4bcf29f55303e48e0df9c2c0649f412396d88e34f4d6f5486912d7d8c1fcb7a,83,86,169,eb8d727273c0c421a049f443f3f7ae8a293e842d39d56931283349fd0efb50e6,True,True,full1800_min10_each_eval_ready,0,False,False
c112918e,1,attention,target_attention,c112918e__day1____2023.12.04T15.14.19p03.00,1800,True,180,63,52,65,115,fbe1988fac0f36bc0abfea9f919cac28d00384901fbf7129df01ecd5906b0eb0,316,177,493,8126a2bf5f4ff63741b2a79a15ad4f0db1b4ca1309d675f388195160fa918c5e,True,True,full1800_min10_each_eval_ready,0,False,False
d111e017,1,attention,target_attention,d111e017__day1____2023.12.05T11.06.22p03.00,1800,True,180,14,48,118,62,de9358ddfa16372df2c985335392da481bc6f56e76d31e98adc18bae472768a9,399,405,804,235dd48d193a12eb10b16b0ad8ec61effb88a9ad5139f185ef89718f569194f2,True,True,full1800_min10_each_eval_ready,0,False,False
