outer_fold,pm,target_id,n_outer_train,n_outer_train_subjects,outer_train_subjects_hash,outer_train_sample_hash,threshold_hash
1,attention,target_attention,15241,42,32aaf2e896ffe771192458d6f23e6f6d152eb9691644dc34305878f62b75f9da,ac837e636c0af28f8f72f207807d0e14cc379ae7c862995d0eb12a18fdab8cd7,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7
1,engagement,target_engagement,15934,42,32aaf2e896ffe771192458d6f23e6f6d152eb9691644dc34305878f62b75f9da,2f364e6dd6dac221493bbb8db98c51438d544371f8f0610cd470727d40b9c04b,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e
1,excitement,target_excitement,15941,43,ba84e06a95f6809205495088cada97ebc8eedff5a1975eafa1e2c0fbf57e6dc2,46755c1e20e5799d3c8e3c0be4a2f4a3f18856086f1b6fe611eda5fc71a849dd,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa
1,focus,target_focus,15934,43,ba84e06a95f6809205495088cada97ebc8eedff5a1975eafa1e2c0fbf57e6dc2,13c8256d6c504d64c2aafbcf8afda590c95af37fa8630180dd05588323d3acaf,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0
1,interest,target_interest,15927,43,ba84e06a95f6809205495088cada97ebc8eedff5a1975eafa1e2c0fbf57e6dc2,5ca8d61de646678312a2d530cab97192f5b8c2fdb963f8ebda9a06db87a1f1fc,bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317
1,relaxation,target_relaxation,15947,43,ba84e06a95f6809205495088cada97ebc8eedff5a1975eafa1e2c0fbf57e6dc2,80bdf541d6d3f3dc1ccae382c9f7be6cac38ef75bc83ec94bf56735813804e10,38b0c29f91cf04074516bcbbf6cf6e9362b22718f7ac54fdbe5adf6de43d5d14
1,stress,target_stress,15924,43,ba84e06a95f6809205495088cada97ebc8eedff5a1975eafa1e2c0fbf57e6dc2,5646662f70b23c348f500bc8018a5f316a9dcaa12c89cf89cf99c0ffff37fe88,bc3be14a13e7a39ebeab010389e1c408e3b117b37aecad2317d7955676362ffa
2,attention,target_attention,15830,43,51f0cbf2f6b6fc2854670f3f381ea9804ba5a86b47f46ea25c2339fa9fcf480a,268687b6f9714bde2a4a9a04b3242317a7f895633752dd62d71cf4dc00d641ec,05b80bfaecd22890a7e360375d08013c2763762bc191dded6a0bbd75f29be07f
2,engagement,target_engagement,16404,43,51f0cbf2f6b6fc2854670f3f381ea9804ba5a86b47f46ea25c2339fa9fcf480a,878c34cf2e7399941af30ed0623103fcf66324e3c84753cfd8725855ef681b41,96921223f37aee74e8576505e04d8d93656b6d22365a8c1e79d1aadc606e3780
2,excitement,target_excitement,16414,43,51f0cbf2f6b6fc2854670f3f381ea9804ba5a86b47f46ea25c2339fa9fcf480a,8128443e2c1fbe267985083ef437ccfcd31a09508cbb3f5c8359013491a7ae1d,8cf290447cc76b4db2bf7811a784e38768237f66e910c108ea9bd99fce1b2673
