model,subject_id,n_pm,n_adaptation_applied_pm,delta_roc_auc,delta_pr_auc,brier_improvement,log_loss_improvement,delta_balanced_accuracy_vs_frozen_median,delta_macro_f1_vs_frozen_median
lightgbm,0001508a,7,7,0.026653887246052128,0.06181823714924639,0.018457624284737267,0.04589471699158314,-0.018421999125785887,-0.04166048481604513
lightgbm,0012905a,7,5,0.014145282056201644,0.010472582022939483,0.0072799711332325445,0.013856423346804425,0.01025059955175202,0.00894928207049953
lightgbm,0110f12e,7,7,-0.0031139818669184377,0.0005250770463370857,-0.003479396035845491,-0.016462203436790706,-0.0028881923503439244,-0.005345815672205141
lightgbm,0182e16c,7,5,0.022573117232449418,0.020859633547931872,0.07185947810111022,0.26985439362750313,0.03310469082724995,0.012029220149625375
lightgbm,01c2a0d8,7,7,0.020530922161439782,0.013321486906167992,0.013589138546638948,0.03881941199185672,0.028400933149553133,0.02903799884445527
lightgbm,1081b177,7,7,0.02296535205032305,0.030304804357738763,0.03911498328857383,0.11274344194177897,0.02498102255326697,0.030415284730728964
lightgbm,20201194,7,5,0.0038308815103213095,0.01761419377392732,0.008517170941340694,0.04450654123922522,-0.02644924506989415,-0.02836958949720931
lightgbm,2162c09e,7,6,-0.0034403821514677546,-0.0028787179308307842,0.004827503960902451,0.012201865044309559,-0.020068629772591464,-0.014181719741708645
lightgbm,2182c1cd,7,7,0.014348192425228794,0.03142698101375999,0.028230381916804288,0.09269619622140168,0.0015844284783715595,0.0021615420758710003
lightgbm,219060fa,5,5,0.009912034123092628,0.0021856914847653954,0.016868738983770212,0.04646030445278154,-0.010980819277778275,-0.005084920140452831
lightgbm,21a031f6,7,7,0.00456131174153832,0.004656071332539979,0.030587138345685903,0.09030532524951458,0.013059121286960946,0.02133116534099114
lightgbm,30908049,7,4,0.03653628089772286,0.0353143714284333,0.028911577600949343,0.08584911505318986,0.034905202738438876,0.04957729189344785
lightgbm,30c140ca,7,6,-0.004417668033406819,-0.00882135638711705,0.04784935424542458,0.13110938923444487,0.05873922344200758,0.09251733500409308
lightgbm,3110e0c7,7,5,0.0369009432187094,0.01546023797900323,0.0229996339207022,0.07615249337095246,0.05318157033861759,0.06562658834506016
lightgbm,40009139,7,7,0.023040999602548955,0.011025348217278186,0.03269965907719513,0.10347918235408061,0.0294911476146164,0.022394133315524232
lightgbm,41e2010c,7,7,0.022475091997541496,0.008554179320682809,0.07454631677320545,0.2298813073698655,0.01827309278809002,0.03479050081670253
lightgbm,5001d09a,7,7,-0.00110656534493376,-0.0020269740905703515,0.00944521819260398,0.015009192890647085,0.007876316212663397,0.018254315766237057
lightgbm,50c02189,7,6,0.022399656383308035,-0.005883308776498183,0.055937166298145526,0.19555418907677552,0.006162407122016211,-0.029123200789360298
lightgbm,517001af,7,4,-0.004087855991644502,0.0018263046861096064,0.0029456137626858617,0.014178547740368653,0.023863577151226174,0.042407806918873546
lightgbm,6030f0fd,7,7,0.0319803331390052,0.04317686346438242,0.0501104928735462,0.13738833884658683,0.02660733146159306,0.026211240416131956
lightgbm,7072a0e0,7,7,0.012106569132866642,0.012370568618155331,0.035610807604071947,0.09610090381352003,0.02841837215054713,0.02291924188322398
lightgbm,7092f07b,7,7,0.057712241324699605,0.045201466517585005,0.10394407111707268,0.33128658949139034,0.05335183218852641,0.02671542032942068
lightgbm,7150e10a,7,6,0.016483613955474215,0.009793588577696934,0.01826695122487177,0.070782266271803,-0.01022120277345511,-0.01539927077152235
lightgbm,71a251fa,7,0,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,71c09041,6,4,0.007512307309252675,0.0028537407427300376,0.008529912547999154,0.036653774860908796,0.005937271991106201,0.0050821708615225725
lightgbm,71e10186,7,5,0.0006917290116220823,-0.0011910476404830561,0.003228160143723461,0.009298319866841131,0.001318469642734188,0.0025164403815389597
lightgbm,71f0603f,7,7,0.004295867730195254,0.0004822618476987601,0.004779730675720759,0.016190229574137596,-0.0005156328246618111,0.0016253728393033232
lightgbm,71f21142,6,4,0.015162337703663376,0.009358163710884012,0.01833646857001497,0.04621705231779772,0.014874665156695777,0.003951862253525136
lightgbm,8030618f,7,7,0.028055930643824705,0.02699190347467913,0.053339187481484585,0.14510111255667435,0.03528664820354684,0.008803243490602115
lightgbm,8191f1d9,7,5,-0.0027446672850738635,0.05738400643111609,0.05289645590229893,0.2717760612833982,-0.04297930301938656,-0.12277760882654438
lightgbm,81e150c1,7,4,0.009692296558283964,0.003672071105581257,0.014013128961347484,0.036020681503812636,0.0030869592607264567,0.00600651868509123
lightgbm,81f1f0fe,7,6,0.014099986120053412,0.005401163100533624,0.009732373570204124,0.01795883873663175,0.00816921623115555,0.010590870357075574
lightgbm,a02151ac,7,7,0.06692525645944902,0.06447946327554807,0.05577678811592207,0.2148004630585821,0.042254921405915975,0.0596277391611199
lightgbm,a1721173,7,0,0.0,0.0,0.0,0.0,0.0,0.0
lightgbm,a1b210fc,7,7,0.026623685015089698,0.022592668250168542,0.026944663492278555,0.07343794208344281,0.037696640002771904,0.03012173417379996
lightgbm,b0700166,7,6,0.02136799183416314,0.01666478437160492,0.021122308696414623,0.05002254079100456,-0.0034026525722507923,-0.031988122197316234
lightgbm,b112005d,7,7,0.049716199187178574,0.05880838600065389,0.025537853699534173,0.059915094725078714,0.02879649831932821,0.04238429132004408
lightgbm,b1c2f044,7,6,-0.0001270610442440764,0.004128121176184251,0.0024057342290836298,0.003283970732022539,-0.011463826356535265,-0.010084223261882488
lightgbm,c060c06a,7,6,0.030183065778450487,0.02485726300985328,0.04768898014420963,0.1403001990766939,0.03285822402536154,0.045051172776087514
lightgbm,c112918e,7,6,0.01635663056451039,0.026625681299328803,0.05767156792358601,0.18438423419530178,-0.02896459930118232,-0.04054600731851591
lightgbm,c1a150b1,6,3,-0.005225608508241775,0.005581755150093663,0.044899986236163765,0.17086561713480777,-0.028936352933936538,-0.03922526736543815
lightgbm,d0724095,7,7,0.01610625840079973,0.020718702940933777,0.016344457291992427,0.041230664051159556,0.002045877466257332,-0.006114235658315307
