model,subject_id,n_pm,n_adaptation_applied_pm,delta_roc_auc,delta_pr_auc,brier_improvement,log_loss_improvement,delta_balanced_accuracy_vs_frozen_median,delta_macro_f1_vs_frozen_median
lightgbm,0001508a,7,7,0.026653887246052128,0.06181823714924639,0.018457624284737267,0.04589471699158314,-0.018421999125785887,-0.04166048481604513
lightgbm,0012905a,5,5,0.019803394878682302,0.014661614832115278,0.010191959586525561,0.019398992685526195,0.014350839372452828,0.012528994898699342
lightgbm,0110f12e,7,7,-0.0031139818669184377,0.0005250770463370857,-0.003479396035845491,-0.016462203436790706,-0.0028881923503439244,-0.005345815672205141
lightgbm,0182e16c,5,5,0.03160236412542918,0.02920348696710462,0.10060326934155431,0.37779615107850434,0.04634656715814993,0.016840908209475525
lightgbm,01c2a0d8,7,7,0.020530922161439782,0.013321486906167992,0.013589138546638948,0.03881941199185672,0.028400933149553133,0.02903799884445527
lightgbm,1081b177,7,7,0.02296535205032305,0.030304804357738763,0.03911498328857383,0.11274344194177897,0.02498102255326697,0.030415284730728964
lightgbm,20201194,5,5,0.005363234114449833,0.024659871283498246,0.011924039317876972,0.06230915773491531,-0.037028943097851805,-0.03971742529609303
lightgbm,2162c09e,6,6,-0.00401377917671238,-0.0033585042526359152,0.0056320879543861925,0.01423550921836115,-0.02341340140135671,-0.016545339698660084
lightgbm,2182c1cd,7,7,0.014348192425228794,0.03142698101375999,0.028230381916804288,0.09269619622140168,0.0015844284783715595,0.0021615420758710003
lightgbm,219060fa,5,5,0.009912034123092628,0.0021856914847653954,0.016868738983770212,0.04646030445278154,-0.010980819277778275,-0.005084920140452831
lightgbm,21a031f6,7,7,0.00456131174153832,0.004656071332539979,0.030587138345685903,0.09030532524951458,0.013059121286960946,0.02133116534099114
lightgbm,30908049,4,4,0.063938491571015,0.061800149999758275,0.05059526080166135,0.15023595134308226,0.06108410479226803,0.08676026081353375
lightgbm,30c140ca,6,6,-0.005153946038974622,-0.010291582451636557,0.05582424661966201,0.15296095410685234,0.06852909401567552,0.10793689083810859
lightgbm,3110e0c7,5,5,0.05166132050619317,0.021644333170604525,0.03219948748898308,0.10661349071933346,0.07445419847406462,0.09187722368308422
lightgbm,40009139,7,7,0.023040999602548955,0.011025348217278186,0.03269965907719513,0.10347918235408061,0.0294911476146164,0.022394133315524232
lightgbm,41e2010c,7,7,0.022475091997541496,0.008554179320682809,0.07454631677320545,0.2298813073698655,0.01827309278809002,0.03479050081670253
lightgbm,5001d09a,7,7,-0.00110656534493376,-0.0020269740905703515,0.00944521819260398,0.015009192890647085,0.007876316212663397,0.018254315766237057
lightgbm,50c02189,6,6,0.026132932447192708,-0.0068638602392478805,0.06526002734783644,0.22814655392290475,0.00718947497568558,-0.03397706758758701
lightgbm,517001af,4,4,-0.0071537479853778785,0.0031960332006918113,0.005154824084700258,0.024812458545645143,0.04176126001464581,0.07421366210802871
lightgbm,6030f0fd,7,7,0.0319803331390052,0.04317686346438242,0.0501104928735462,0.13738833884658683,0.02660733146159306,0.026211240416131956
lightgbm,7072a0e0,7,7,0.012106569132866642,0.012370568618155331,0.035610807604071947,0.09610090381352003,0.02841837215054713,0.02291924188322398
lightgbm,7092f07b,7,7,0.057712241324699605,0.045201466517585005,0.10394407111707268,0.33128658949139034,0.05335183218852641,0.02671542032942068
lightgbm,7150e10a,6,6,0.01923088294805325,0.011425853340646422,0.021311443095683735,0.08257931065043683,-0.011924736569030961,-0.01796581590010941
lightgbm,71c09041,4,4,0.011268460963879012,0.0042806111140950565,0.01279486882199873,0.0549806622913632,0.0089059079866593,0.007623256292283859
lightgbm,71e10186,5,5,0.0009684206162709153,-0.0016674666966762786,0.004519424201212845,0.013017647813577584,0.0018458574998278631,0.003523016534154544
lightgbm,71f0603f,7,7,0.004295867730195254,0.0004822618476987601,0.004779730675720759,0.016190229574137596,-0.0005156328246618111,0.0016253728393033232
lightgbm,71f21142,4,4,0.022743506555495063,0.014037245566326018,0.027504702855022458,0.06932557847669658,0.022311997735043665,0.005927793380287705
lightgbm,8030618f,7,7,0.028055930643824705,0.02699190347467913,0.053339187481484585,0.14510111255667435,0.03528664820354684,0.008803243490602115
lightgbm,8191f1d9,5,5,-0.003842534199103409,0.08033760900356253,0.0740550382632185,0.3804864857967575,-0.06017102422714118,-0.17188865235716214
lightgbm,81e150c1,4,4,0.016961518976996937,0.0064261244347672,0.024522975682358096,0.06303619263167211,0.005402178706271299,0.010511407698909653
lightgbm,81f1f0fe,6,6,0.01644998380672898,0.006301356950622561,0.011354435831904812,0.020951978526070374,0.009530752269681475,0.01235601541658817
lightgbm,a02151ac,7,7,0.06692525645944902,0.06447946327554807,0.05577678811592207,0.2148004630585821,0.042254921405915975,0.0596277391611199
lightgbm,a1b210fc,7,7,0.026623685015089698,0.022592668250168542,0.026944663492278555,0.07343794208344281,0.037696640002771904,0.03012173417379996
lightgbm,b0700166,6,6,0.024929323806523667,0.01944224843353907,0.024642693479150393,0.058359630922838655,-0.0039697613342925915,-0.03731947589686894
lightgbm,b112005d,7,7,0.049716199187178574,0.05880838600065389,0.025537853699534173,0.059915094725078714,0.02879649831932821,0.04238429132004408
lightgbm,b1c2f044,6,6,-0.00014823788495142246,0.004816141372214959,0.002806689933930901,0.003831299187359629,-0.013374464082624474,-0.011764927138862902
lightgbm,c060c06a,6,6,0.03521357674152557,0.02900014017816216,0.0556371435015779,0.1636835655894762,0.03833459469625513,0.0525597015721021
lightgbm,c112918e,6,6,0.019082735658595456,0.031063294849216938,0.06728349591085035,0.21511493989451877,-0.03379203251804604,-0.047303675204935225
lightgbm,c1a150b1,3,3,-0.01045121701648355,0.011163510300187326,0.08979997247232753,0.34173123426961555,-0.057872705867873075,-0.0784505347308763
lightgbm,d0724095,7,7,0.01610625840079973,0.020718702940933777,0.016344457291992427,0.041230664051159556,0.002045877466257332,-0.006114235658315307
lightgbm,d0e2d025,7,7,0.0012118354835173,-0.0017943295342650759,0.020519608366982984,0.05511401411824451,-0.006206018455715857,-0.005608914969690436
lightgbm,d111e017,5,5,-0.0020783185228194557,-0.0025173217869064236,-0.001355808063927301,-0.005763591308725275,-0.0005212407185668288,-0.0003806349624427607
lightgbm,d151b0c4,5,5,0.0036175277965971196,0.003650606129256406,0.007876598083493554,0.004781907753088543,0.019713799564366186,0.014717563809654255
lightgbm,d18000a3,7,7,0.008144591886024597,0.007469244677771563,0.012843842796102348,0.04029245822906479,0.004391287985320529,-0.006227433758659877
lightgbm,f0f2a1e1,5,5,0.006296450644234208,0.010927125431939433,0.0076557649794219045,0.02351596085556405,0.003011723351418416,0.007061080919539031
lightgbm,f121f1e0,6,6,0.02842608016294858,0.021378928780505586,0.07385866561550071,0.33167090158713963,0.017166361994986352,0.026424753692312248
lightgbm,f1a0c120,5,5,0.003113755651484862,0.007250988368119593,-0.0020802550904115784,-0.018389911386649437,-0.022763310646843116,-0.02354033175311112
lightgbm,f1d06060,7,7,0.010785549821153968,0.02054808108476149,0.04573317490396979,0.1393489707039987,-0.018231139641199805,-0.028473052840967985
xgboost,0001508a,7,7,0.06190624354890165,0.05946909348690183,0.030193447728292157,0.1394152149468615,-0.023292010843357396,-0.037293808083343934
xgboost,0012905a,5,5,0.024104621936631897,0.02019258952112426,0.020304699841929497,0.07291254931182671,0.015728326916185663,0.01369244103107592
xgboost,0110f12e,7,7,0.0026984150434669063,0.0021254989321212647,-0.002805402945293895,-0.032640870491473635,0.010511662335504537,0.006201836954680129
xgboost,0182e16c,5,5,0.02688231324755568,-0.028968211380284114,0.12790071159349597,0.7066072504796453,0.026929984379215476,0.007386255583206558
