model,pm,participant_rows,adaptation_applied,delta_roc_auc_mean,delta_pr_auc_mean,brier_improvement_mean,log_loss_improvement_mean,delta_balanced_accuracy_vs_frozen_median_mean,delta_macro_f1_vs_frozen_median_mean
lightgbm,attention,50,42,0.023596965619371434,0.02739811854022692,0.035941629362892726,0.11431073391305996,0.01789252553551609,0.0025358397366196626
lightgbm,engagement,50,41,0.01915598982737888,0.03229380474879373,0.030474901123109868,0.09450494610404153,0.007712949941252454,0.002628575000622768
lightgbm,excitement,50,44,0.002789324103959321,0.0018734809492992643,0.01459636783840882,0.04971572177518281,0.00868090874555025,0.0133112069491179
lightgbm,focus,50,35,0.012016811382834376,0.004240858108394296,0.01328813375844704,0.0433970874559596,0.002131597467947228,0.006281726815724915
lightgbm,interest,49,41,0.018505608672280658,0.015813138996489427,0.033963368381500506,0.1120872391104041,0.008586686486617706,0.0005132163519731876
lightgbm,relaxation,50,42,0.00925933269279423,0.006675602223435877,0.021254489582599255,0.07034555485506568,-0.00037054814824053704,-0.0008486532486171061
lightgbm,stress,46,40,0.018545772264661423,0.020157269231122737,0.038834703767238514,0.11928553188646192,0.021344246000431343,0.02182271823601324
xgboost,attention,50,42,0.021450005756759028,0.021740376932405017,0.03785875406500618,0.17957692621739327,0.01992496359758222,0.006798677551137197
xgboost,engagement,50,41,0.02500913493753788,0.031722672386679786,0.036374424927025625,0.1680437674663203,0.01836226237854899,0.020112476243388494
xgboost,excitement,50,44,0.006450900626735419,0.004308206966344033,0.01937380424545735,0.09318589351909397,0.008461849287716013,0.011564555205029865
xgboost,focus,50,35,0.010700189461557253,0.00025862839049379247,0.014061420808183789,0.07233683123698399,-0.008213322678924263,-0.006895262104521247
xgboost,interest,49,41,0.021856458736496234,0.020465407815477846,0.03964121330856859,0.1857846598189738,0.011610674510958438,0.010608439834083038
xgboost,relaxation,50,42,0.0066902509100966534,0.006504009196244807,0.017982345049165852,0.09250625109937946,-0.0027195375005445066,-0.002245831479946272
xgboost,stress,46,40,0.022708241055384243,0.01968466841149431,0.04147200528730028,0.17276858784668478,0.019583517145700162,0.021488961826177776
