pm,metric,fold_1,fold_2,fold_3,fold_4,fold_5,min,max,range,std,worst_fold,best_fold
attention,balanced_accuracy,0.717536152757,0.704032855386,0.71090752507,0.67639174477,0.773465510777,0.67639174477,0.773465510777,0.0970737660078,0.0355018137344,4,5
attention,macro_f1,0.670842405065,0.670918938842,0.683514719274,0.645137156671,0.750243668883,0.645137156671,0.750243668883,0.105106512212,0.0395061068729,4,5
attention,roc_auc,0.85340229442,0.85699349857,0.854769650249,0.852910315679,0.875758866354,0.852910315679,0.875758866354,0.0228485506755,0.00962975144693,4,5
engagement,balanced_accuracy,0.72522644698,0.753831479944,0.741445384667,0.714619102784,0.70951298769,0.70951298769,0.753831479944,0.0443184922531,0.0185219934486,5,2
engagement,macro_f1,0.727760973964,0.748631787912,0.732099423766,0.665750349072,0.65819036809,0.65819036809,0.748631787912,0.0904414198228,0.0414632389875,5,2
engagement,roc_auc,0.843357193096,0.869161893169,0.858440370173,0.867911438012,0.833074666513,0.833074666513,0.869161893169,0.0360872266565,0.0157599958612,5,2
excitement,balanced_accuracy,0.832083199768,0.881244879106,0.804667161199,0.842555430877,0.841909928693,0.804667161199,0.881244879106,0.076577717908,0.0274826873716,3,2
excitement,macro_f1,0.790423677306,0.799894211916,0.787061095504,0.851819328566,0.830918943196,0.787061095504,0.851819328566,0.064758233062,0.0281848334785,3,4
excitement,roc_auc,0.947330805991,0.954396262848,0.920532188535,0.938875873798,0.951597488053,0.920532188535,0.954396262848,0.0338640743125,0.0136320417957,3,2
stress,balanced_accuracy,0.688032367076,0.755876428336,0.74579414892,0.769045964025,0.720836705018,0.688032367076,0.769045964025,0.0810135969486,0.0320695278831,1,4
stress,macro_f1,0.649112412544,0.707206615371,0.690781001055,0.717028466006,0.680053521528,0.649112412544,0.717028466006,0.067916053462,0.0264157765615,1,4
stress,roc_auc,0.827367742555,0.892003775776,0.864344594811,0.885865257062,0.85389403622,0.827367742555,0.892003775776,0.0646360332206,0.0260002729271,1,2
relaxation,balanced_accuracy,0.739641261363,0.853658947423,0.785688309294,0.825082408526,0.754299348128,0.739641261363,0.853658947423,0.11401768606,0.0476926473711,1,2
relaxation,macro_f1,0.719159182271,0.792128518922,0.765278004323,0.825131626913,0.75316087782,0.719159182271,0.825131626913,0.105972444643,0.0400471260541,1,4
relaxation,roc_auc,0.91173081382,0.940917059845,0.927302971832,0.937565204418,0.919809038655,0.91173081382,0.940917059845,0.0291862460247,0.0121364807022,1,2
interest,balanced_accuracy,0.678005130612,0.800708620072,0.737339856246,0.741536922786,0.722814398463,0.678005130612,0.800708620072,0.122703489459,0.0440366052565,1,2
interest,macro_f1,0.643810717431,0.732637912911,0.701444779955,0.709798818247,0.611788731394,0.611788731394,0.732637912911,0.120849181517,0.0502020554586,5,2
interest,roc_auc,0.796234161961,0.890024986074,0.856151217471,0.85086615516,0.854400716243,0.796234161961,0.890024986074,0.0937908241136,0.0337255089258,1,2
focus,balanced_accuracy,0.700574470334,0.72439668963,0.696272423282,0.700417051934,0.683298457141,0.683298457141,0.72439668963,0.041098232489,0.014862875362,5,2
focus,macro_f1,0.625793219761,0.681187833779,0.674381379962,0.695929859862,0.641298736196,0.625793219761,0.695929859862,0.0701366401008,0.0291436915374,1,4
focus,roc_auc,0.802055105571,0.834398116756,0.82450716148,0.806505232376,0.809293313585,0.802055105571,0.834398116756,0.0323430111857,0.013586315955,1,2
