subject_id,mean_balanced_accuracy_across_pm,median_balanced_accuracy_across_pm,min_balanced_accuracy_across_pm,max_balanced_accuracy_across_pm,n_pm_available,outer_fold,total_extreme_windows,minimum_pm_extreme_windows,mean_minority_class_fraction,n_one_class_pm
3110e0c7,0.631239996164,0.621953710007,0.373188405797,0.815668202765,7,1,1781,109,0.356311365981,0
50c02189,0.633876094936,0.606068809927,0.512346311475,0.813086495308,7,3,4794,479,0.389750681348,0
c112918e,0.641342405361,0.583660748234,0.523255813953,0.804059538057,7,1,3718,347,0.391858150764,0
8191f1d9,0.665694402424,0.684583806998,0.535175879397,0.764037433155,7,5,4180,508,0.284604260361,0
0182e16c,0.668191035917,0.645741347386,0.530465949821,0.916090250329,7,5,2539,331,0.248173450752,0
b0700166,0.672877770473,0.67040853883,0.570359281437,0.773293560274,7,3,3405,430,0.343622890225,0
81f1f0fe,0.681555810754,0.725602522478,0.489666136725,0.787173108077,7,1,3120,373,0.344779151529,0
30c140ca,0.686583039761,0.735647498831,0.351934668481,0.804397590361,7,1,2088,253,0.384746707283,0
7150e10a,0.687605183121,0.697659632035,0.588153221715,0.830721905015,7,1,3417,235,0.306628932798,0
7092f07b,0.69287457415,0.701807228916,0.550458715596,0.773045016823,7,4,2328,278,0.369944205435,0
c1a150b1,0.696122756145,0.684480932203,0.524043102481,0.893463497453,7,5,2708,310,0.243455852531,0
f121f1e0,0.697998650789,0.707199546485,0.605221861472,0.74990880073,7,5,3439,411,0.372820329597,0
b112005d,0.698447162659,0.671148459384,0.588057286673,0.872874038411,7,4,3305,340,0.324131340206,0
0001508a,0.709028745082,0.710175651121,0.550512820513,0.893505054702,7,5,1386,135,0.370463033727,0
20201194,0.71077242871,0.674418604651,0.606711915535,0.838673864774,7,3,2371,271,0.329477056342,0
30908049,0.72047237754,0.676131322094,0.561965893122,0.848008034818,7,4,2582,179,0.290820467896,0
a02151ac,0.722569929301,0.682735198702,0.513711970706,0.924634585584,7,2,3088,332,0.360767279642,0
f1a0c120,0.726491783776,0.715128205128,0.513434270608,0.896797743488,7,4,2932,270,0.303973765022,0
e0c0408a,0.726793218465,0.773213521609,0.545351473923,0.865747460087,7,5,651,20,0.332267792653,0
c060c06a,0.727864550871,0.744444444444,0.562636429784,0.811383481535,7,1,2201,270,0.296982758165,0
f1d06060,0.732662002996,0.719493358048,0.628560516041,0.857923875433,7,1,2902,341,0.355122706555,0
2182c1cd,0.735453512205,0.729723117074,0.670846103836,0.822455259535,7,5,2265,294,0.389282047226,0
7072a0e0,0.738246544111,0.721998192892,0.609478368272,0.869788182832,7,2,3194,333,0.323954292598,0
0012905a,0.746844842439,0.744483706321,0.690348831182,0.791779788839,7,3,3830,413,0.412738840109,0
41e2010c,0.752240948459,0.742580287929,0.627906976744,0.886498178506,7,3,1549,163,0.391569647776,0
d0724095,0.756732245826,0.754930555556,0.663342544755,0.870770676692,7,3,2665,308,0.359057206849,0
219060fa,0.761533741105,0.794934640523,0.623076923077,0.852987012987,7,5,1962,161,0.30541197447,0
40f0714a,0.761614813646,0.744106553512,0.672619047619,0.840909090909,7,1,771,69,0.283416158517,0
8030618f,0.762388937223,0.763125494679,0.693249701314,0.847123094546,7,4,1705,186,0.368592409056,0
01c2a0d8,0.765599956599,0.779211150652,0.548858640962,0.870363636364,7,4,2575,318,0.342821250908,0
71c09041,0.76564836033,0.767982736573,0.47619047619,0.898736702128,7,2,2437,172,0.26836354959,0
81e150c1,0.766074190259,0.752694933525,0.681091617934,0.838175514108,7,5,2095,249,0.27708108178,0
6030f0fd,0.769762014388,0.78550659085,0.624949637389,0.885777640264,7,2,2037,229,0.371299425171,0
d0e2d025,0.770195325796,0.752923261,0.704120730164,0.835460230604,7,2,4174,494,0.315726791043,0
a1721173,0.771162045199,0.797713581599,0.629370629371,0.934862494073,7,1,1346,144,0.366597148738,0
d151b0c4,0.772112261042,0.780852879448,0.661170321787,0.87030075188,7,4,3253,416,0.385410371925,0
21a031f6,0.775627925393,0.807824110815,0.667051016566,0.836486486486,7,3,3406,333,0.406092124568,0
71f21142,0.776044190878,0.824313358302,0.577922077922,0.881859756098,7,3,2087,169,0.334869553652,0
a1b210fc,0.778498154468,0.776700191571,0.60675990676,0.898444914158,7,4,2695,186,0.340513112149,0
517001af,0.783182178215,0.761616161616,0.687742226228,0.872057001239,7,2,2024,112,0.23765499079,0
71f0603f,0.783427438091,0.801049868766,0.69312597387,0.861738735229,7,1,5066,633,0.447056211948,0
d142d110,0.784402930486,0.778985507246,0.670212765957,0.909090909091,7,3,759,81,0.30631613535,0
2162c09e,0.789845109407,0.821617869763,0.660925112645,0.908151700969,7,3,3067,367,0.331448190829,0
1081b177,0.789890060416,0.859497678345,0.613285883749,0.900233100233,7,2,2921,371,0.39382214208,0
9192c107,0.8,1,0.5,1,5,2,8,1,0,5
40009139,0.802576348808,0.806494076349,0.65587138863,0.91155139794,7,4,1707,191,0.431782197983,0
5001d09a,0.806915926631,0.786759581882,0.760245901639,0.880226789511,7,3,1451,152,0.354741896916,0
b1c2f044,0.808607909022,0.83309062395,0.615010291091,0.915239147787,7,4,2716,236,0.307199240093,0
0110f12e,0.80961769295,0.825242718447,0.7181800782,0.861207314829,7,5,3021,371,0.441066953755,0
f0f2a1e1,0.813572825037,0.812890137328,0.728296703297,0.867829672876,7,2,2346,233,0.295155548359,0
d18000a3,0.821393949115,0.836599706026,0.69882423877,0.913242266877,7,2,2913,249,0.383251647566,0
71a251fa,0.847450893798,0.898683298683,0.651515151515,0.976878612717,7,2,1502,80,0.31983652627,0
d111e017,0.879526902291,0.904727092838,0.75671137033,0.945072212847,7,1,6333,829,0.468235658638,0
71e10186,0.944565011092,0.949870578085,0.896337088326,0.997455470738,7,5,3935,489,0.422385743713,0
