outer_fold,pm,n_train,n_test,n_train_subjects,n_test_subjects,threshold_hash,q_low,q_high,train_target_sample_hash,test_target_sample_hash,train_input_endpoint_hash,test_input_endpoint_hash,reference_n_train,reference_n_test,excluded_no_10_window_history_train,excluded_no_10_window_history_test,subject_overlap
1,attention,14829,4124,42,11,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,0.40640833333333337,0.5057536666666667,c6423ae72bfe3eb3b8fbea1c94ca506d46d71cb03aa2b0f8714b761e7801eaa4,8ac99b0c241fbe3b664638a4829f3480d294546cdf560e46c764c97f80142ba5,daac3350a44e5538ed084d9fd37aa2fd185129f5ea4510a82a5dcbd7e3ca2bcc,1a9114cde55d4380e989bde5143b3ddb33fe018215666aa13328e3787a85af85,15241,4275,412,151,0
1,engagement,15238,4313,42,11,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,0.5800476666666666,0.6855443333333333,fc793e5464dbfc12e600d78994516c63d52b70da2bda8309ca049e76bbc2e173,0cfb05e70d14105666143069d6c0f6477e4d55f344d144632e3fc22f7e91b8ec,9caa35b58d015f070ff652afc129390f32c438323fd5cf061d6a04f63a0e542c,375a7aee8d33ea2496de4769145f8d0033c663948de728a3a9ca05882040a3f8,15934,4556,696,243,0
1,excitement,15414,4489,42,11,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,0.198928,0.3627136666666666,b44b655945e2936897e5f9ec4278f020301e20c79068fc85e19607de2099eeb4,1391462013917ce4604f077f3b58384e4f37a48839b4bfe8a3330a4b732f7b75,8426011128852b3df07eb08ca842c70077b98ec0f82345d388bf95d4da592046,a99a435d35d7c4125a2fadc8f2daed67be36d45959240a8e0e44b5c34eca7dfb,15941,4710,527,221,0
1,stress,15261,4670,42,11,bc3be14a13e7a39ebeab010389e1c408e3b117b37aecad2317d7955676362ffa,0.4029856666666667,0.461275,f11bd36835cddcbe0d0d1ef5972f0f8e5f5e32880d44951660b83bb0b25dea82,9b1e18b1b56344cc53483e31599ca852fc44a42fe2db61c1bc8cfd64b9c9018a,5111f78f81579979ed10e73c56c15c99b662b1a4a91307957511b61966dbfeb8,82c21cf30de112469971f4e0703d06c7f9e9f36cd8492c214d44bacf02221b2d,15924,4905,663,235,0
1,relaxation,15503,4644,42,11,38b0c29f91cf04074516bcbbf6cf6e9362b22718f7ac54fdbe5adf6de43d5d14,0.25662399999999996,0.39230799999999993,e77ed829d71ed9ac06c1ee8e6c6b266f42ce3a87ae373516b5232fded03290a9,bc84e731363f3568663145f3f13a3486f852a97ef07ad010386746d3fcb0a51d,a21e4f56c65b50fb430019dd4f7995f8fd1107cabedf7d3557b5589ee8579c57,1651d7caf08a2054d98c279227fb7fe21cb56256b20d6eb1ae40ffd2e00f61c3,15947,4860,444,216,0
1,interest,15281,4458,42,11,bd39db4c19d9f742cb059d0566f550cf160821412eeb67d3cc0780042dbd7317,0.480751,0.5305233333333333,9da7326f78c38ff543fbb922febe89520c1ff5e22c0bf61679d5f8799c056e4c,a0e34296ec65deb14bc03518835f06d39af4c2995aa2c51aa577a4a6ca76b7a8,3783e792e169d109c983bc182efff5db76e698790b5320d63533061367d40e92,d3a725dedb9b2375f2e4149fa8651475c0e9d0544811155a8172d15458a178d6,15927,4692,646,234,0
1,focus,15320,4526,42,11,7d71bb99b3a559d0df0aa3bf8b195bafc98a0dd046a82039a430a2fa4892b0d0,0.368801,0.4654386666666666,2988df718d7623df09d1d295278bbab5cdef554d53823e3ba6016ca649ebeadd,b8f216cddcddd47abd7dd6fc3183dc69bf119cc91b9c4e82bee68cfe4ba8686c,0b894325fee67413f1534ca2f8a4ecd6f8d5e9d54b99a0264f22dbb201283945,ad8e112e70161a72f59927633262787a285370e3403c5a4f7214f15f6ab8e30d,15934,4745,614,219,0
2,attention,15360,3654,43,10,05b80bfaecd22890a7e360375d08013c2763762bc191dded6a0bbd75f29be07f,0.409755,0.5089703333333333,77cebd465a4716a4e00dc55c5b3389cee48005b315c8b1027e60c18439ca30d9,a3ebc02ec3767dad4af369512b2eb070ee9e2bbc0224438333bec9e7a41c810a,865dbd4bdaffcd2d9c86f37362cb6ac65643d7246a8f06482ed96df6253bc530,a96e5b627433c185894c56797afdf9c5b43065f3c7027558302151a7b0059a6b,15830,3758,470,104,0
2,engagement,15620,3657,43,10,96921223f37aee74e8576505e04d8d93656b6d22365a8c1e79d1aadc606e3780,0.572122,0.682083,1049b437a7b429687079327c9e4b940cb913dbbb2b26b4d66c8730f7c9b57736,440ff0940650eb12acf0dd13f0504875a80cce890af3d416dd18a2e868228165,c04403d7a2f9be6a03cf788e44d1c38187f2bbd3c5b908bed11adbc0282b4ec6,c74662013d2edba15ad6c8eee2b1cef96b32d36b89ee216a1ca90e81d5752afa,16404,3812,784,155,0
2,excitement,15790,3976,43,10,8cf290447cc76b4db2bf7811a784e38768237f66e910c108ea9bd99fce1b2673,0.194812,0.357134,baab3c167df2c8285d603acc26e03b68cbb1ca212a442e3bc6ab9f953265b17d,bf5a9849c7be67cbee29747f8b507c9d948f122bcc1900a6a35e3d7339848f4b,0a87dbaa8aa6a6a053e44aad53fa9ed6faf5001d0b56fd2084f60db51012fe47,f417e61cafde5ee51fef95b15db33994a48c4fd338440180382d27b18e38dbbd,16414,4099,624,123,0
2,stress,15688,3241,43,10,f31c8981acf165f01f66cc01c4f2b2d6927c370f1a035493f12dece19b93ba49,0.396448,0.461981,d74b91a34bd550d96a0a429cebc51ad560189833e836941d1021e766204f8d39,d1198122f3f9a5f7663c6886c0af6127bad00e5183cb059cca0665b13ef38b3c,680653a8de97be239a14f527caf1fb44864eb7666fcd4a2498cba40aa60be4d2,c2a0ebf18e3b22e3d7ad52f01a7584a7b5111204576612aa30a3b3380b191c77,16401,3382,713,141,0
2,relaxation,15888,3700,43,10,7656df549309178054e578a36ceed79ea658632f163e5e508467b9011bdaa756,0.256714,0.404291,7654c0da0df3bb307d362fc4e8bf848f4abc439c93d71b38aa0df8ecaf87029c,90f672b35b8fb332d1c7f8634f9080d0b63fb2e0a08d08313cba9ff85b7078b1,ed4b4167469989b7ce1f5588c008770116da4df6ceb5709a893d103e7c260923,85c298f16e97c43644437b7b42d1280ceea2dd354b340cedad261f8cd1116229,16429,3787,541,87,0
2,interest,15692,3488,43,10,a6f226a94e84838366c4cf62d5dbcdfa343d2e4317631dc9cd843403760f8fb3,0.47714,0.52968,6431f6599ee63b0892e62c3399824da63288697288c9ee5ebe6da8a617c886c1,b9cb3994af30c22ff7c96c12a4868e21fb5f700c0308b0577b9abf34589f08dd,a44e6d9fa545ab1cf62adb5e045ac4ffe5bd388272a547a74020c9b10b515e50,4e30d4fc194fed90ea355e5368ea9d351826ebd4a280a2f160093026656d7332,16405,3629,713,141,0
2,focus,15705,4047,43,10,74e34c54e7221dc6ee613f5b9c86caff220ef215c764f9f3f1457db68a376147,0.364693,0.460551,bd8e4951fd20caf368bb6d91dbb6cb17363e9cee8ddafb4da24e5260a35c80bd,a6a9f812da8fec5c9ea03718a3d9dc2affcddfb3f3764129d3c8dd9197eed367,cab4123b8234ff750337c48265f4935dcbe888774929c6b5874f1e1756fd0b6f,ad3341e5e8d7931f698bfe1a667ba7410391140d662d1f9ffd0ba7fbc3570b42,16408,4177,703,130,0
3,attention,15265,3909,42,11,d9fe93c98329da3f22770036d5d5bcc1723fbbfb61707901d1eaef4a7001f95d,0.407012,0.50364,d68b7a6488e8fdcff273f9a45dc229248f6363dbb00f2862289f5099c4863dd5,989a887d792b95a60f191094ffcf877c22e35861b74a764d9a0c007915963ce6,d728d8584e8a911eea5893b8e147ab6b8602adbf3a8ced62a5d2a75b7a0b8e43,76d96fd3ff1b89b99d4cdf7287476a3539c70550b433892b9bcceca1d917601f,15726,4019,461,110,0
3,engagement,15768,4025,42,11,a74a573473ef95d46567294f0aa220d0bd8b428d9a9120f4a96756b0c84d9f51,0.5875743333333333,0.689116,398229ea50cc9489f91e72673fe2ac6345f0ef68aa23f34a03e93b9c0449c524,d276e60c2bba43d46c54d0d59c969552424e8e2866690e03d816bc6eb6de137e,b0a310750bfccb2280fc4fd230bfdda00b5afc3ae1a394676c8b17ce1b421fc8,597e8871d21a877d9f6dd1fb2d6dd4c90cdcdeeab03973c8b060da14d6769ab7,16515,4210,747,185,0
