temporal_model,tabular_model,metric,observed_mean_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,bootstrap_seed,resampling_unit,n_unique_subjects
torch_lstm,lightgbm,balanced_accuracy,-0.025132589682204495,-0.03684453430369088,-0.013462958553597207,10000,42,subject_id_cluster,53
torch_lstm,lightgbm,f1,-0.035574963872543656,-0.048650060400971834,-0.022780730211493183,10000,42,subject_id_cluster,53
torch_lstm,lightgbm,roc_auc,-0.027204850593257862,-0.039827754142550555,-0.015583148574175662,10000,42,subject_id_cluster,53
torch_lstm,xgboost,balanced_accuracy,-0.02535893439514241,-0.036934549622635794,-0.01377598576380117,10000,42,subject_id_cluster,53
torch_lstm,xgboost,f1,-0.03612483331954706,-0.04928960535941371,-0.023438889121818633,10000,42,subject_id_cluster,53
torch_lstm,xgboost,roc_auc,-0.02331112551273379,-0.03687021336456879,-0.010737409366064127,10000,42,subject_id_cluster,53
torch_transformer,lightgbm,balanced_accuracy,-0.024582423378130824,-0.036059201662459656,-0.01295783062586573,10000,42,subject_id_cluster,53
torch_transformer,lightgbm,f1,-0.03636912793572719,-0.04933913967460077,-0.023352069733934836,10000,42,subject_id_cluster,53
torch_transformer,lightgbm,roc_auc,-0.03312511203313338,-0.04390346499746017,-0.022594774809432762,10000,42,subject_id_cluster,53
torch_transformer,xgboost,balanced_accuracy,-0.024808768091068745,-0.03651953853849257,-0.013220688444923034,10000,42,subject_id_cluster,53
torch_transformer,xgboost,f1,-0.03691899738273059,-0.04987254380096368,-0.023735305674895416,10000,42,subject_id_cluster,53
torch_transformer,xgboost,roc_auc,-0.029231386952609316,-0.04058046054565314,-0.018283543574562404,10000,42,subject_id_cluster,53
