temporal_model,tabular_model,outer_fold,pm,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_lstm,lightgbm,1,attention,-0.08675814772193591,-0.12227321130439583,-0.11253314209303122,-0.08735982728315606,-0.04186937515759914,-0.13164692028627278,-0.06524379402944902,-0.09670416208613308
torch_lstm,lightgbm,1,engagement,-0.06028585139565512,-0.0709526089140281,-0.04920909057153289,-0.032969951124558694,-0.21909984425975282,0.0985281414684428,-0.03869784598248871,-0.0396976918829427
torch_lstm,lightgbm,1,excitement,-0.02279077003963037,-0.03626056998561189,-0.01153782988229557,-0.0031056713180178663,-0.034734561146244514,-0.010846978933016005,-0.02218416829898684,-0.03732965853657544
torch_lstm,lightgbm,1,stress,0.01005506159919134,0.008979166230643543,0.016234885273429644,0.011563514444408951,0.014033326874949847,0.0060767963234326094,-0.01918356408942934,0.013301371618223645
torch_lstm,lightgbm,1,relaxation,0.002136669186243556,-0.0010044156906720003,-0.007962739627790483,-0.007386456596768842,0.01840345019872691,-0.0141301118262398,-0.0694611965565266,-0.0009623122716216903
torch_lstm,lightgbm,1,interest,-0.02758985287272442,-0.04802247934272352,-0.04006279171392246,-0.046425337768710384,-0.15712296009155413,0.1019432543461054,-0.058648030290409436,-0.05340241737195439
torch_lstm,lightgbm,1,focus,0.06212575449246649,0.06084894220351078,0.07094816352182243,0.06936306858384034,0.08399380572401216,0.04025770326092115,0.04343301389727472,0.06838004368372574
torch_lstm,lightgbm,2,attention,-0.0020630408086788066,0.0059627547690105365,-0.023484926638890236,-0.04249481738925931,0.027800371569180915,-0.03192645318653864,-0.03278312685861062,0.003989700717996869
torch_lstm,lightgbm,2,engagement,-0.0654071040064731,-0.07680412363265321,-0.07752658177194138,-0.04694908942649845,-0.062220564657118005,-0.06859364335582818,-0.06632208919516447,-0.06973321051457626
torch_lstm,lightgbm,2,excitement,0.004122483470319516,0.007467660936187781,0.00017726136555462624,0.015207850535404743,0.015147739803781701,-0.006902772863143225,0.006226954207962265,0.004379862159597514
torch_lstm,lightgbm,2,stress,-0.0029981489486979873,-0.015158990786479865,-0.033509105586361,-0.02900172092040265,-0.019415340085830346,-0.011538364836021553,-0.0250540112111568,-0.011098848724210852
torch_lstm,lightgbm,2,relaxation,-0.060947179656000494,-0.07489353020037282,-0.044040461613821025,-0.03313129775454049,-0.11525713011995586,-0.006637229192044791,-0.046174474254730424,-0.0645839459677151
torch_lstm,lightgbm,2,interest,-0.09695636513381112,-0.09384450765986552,-0.09727424648868621,-0.08213379638131013,-0.02281248333996788,-0.17110024692765458,-0.07781694644778003,-0.08091260749516782
torch_lstm,lightgbm,2,focus,0.05245092290100739,0.033740807734420564,0.07547622098305129,0.06319860604409278,0.13656950897187758,-0.031667663169862914,0.040016429951211574,0.025368145379808138
torch_lstm,lightgbm,3,attention,-0.11365924391035465,-0.12518308665463362,-0.14323700347641866,-0.07678762510183712,-0.11039805299700922,-0.11692043482370018,-0.0647911083512106,-0.10940328061049964
torch_lstm,lightgbm,3,engagement,-0.03626063349764985,-0.057228736869016195,-0.02296371471690961,-0.022255086315124517,0.0018830737993669189,-0.07440434079466685,-0.0593950482391693,-0.03980142717819435
torch_lstm,lightgbm,3,excitement,-0.0343772879536296,-0.037861255033263874,-0.020649263467856116,-0.015818258661459805,-0.04688682847545078,-0.021867747431808193,-0.03430657510413837,-0.033747468573805284
torch_lstm,lightgbm,3,stress,-0.02930822908678299,-0.029216523969634256,-0.015941524720093025,0.005607954970243134,0.04036502029743594,-0.09898147847100203,-0.022066428360140056,-0.025136938037859102
torch_lstm,lightgbm,3,relaxation,-0.02459856523701487,-0.020349248386335894,-0.03522327256272284,-0.031551947510237044,-0.01367412086838149,-0.03552300960564847,-0.046029971918829404,-0.03634029567085462
torch_lstm,lightgbm,3,interest,-0.05605850181491523,-0.06514775904777581,-0.1069992416652481,-0.07987480021734916,-0.04219961322365773,-0.06991739040617273,-0.07668250202652782,-0.08169791496639833
torch_lstm,lightgbm,3,focus,0.05356098369215834,0.06622890365535661,0.060923694236368675,0.07347325825466378,0.03415913107003532,0.07296283631428091,0.09491574838295169,0.05519621739878233
