temporal_model,tabular_model,outer_fold,pm,subject_id,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_lstm,lightgbm,1,attention,30c140ca,-0.024609975829487984,-0.027626665377313286,0.0764667106130521,0.11638467431448651,-0.21138211382113825,0.16216216216216206,0.05698799355775941,-0.0073800738007380184
torch_lstm,lightgbm,1,attention,3110e0c7,-0.038461538461538436,-0.07588444506101683,-0.25897435897435905,-0.17057351523899766,0.0,-0.0769230769230769,-0.00987491770901916,-0.04950495049504949
torch_lstm,lightgbm,1,attention,40f0714a,-0.18888888888888888,-0.2393602393602393,-0.3836257309941521,-0.1743293334734023,0.0,-0.37777777777777777,-0.2136277099545465,-0.265625
torch_lstm,lightgbm,1,attention,7150e10a,0.10512198045915011,0.08462897655026969,0.07426721812623627,0.05347033084334418,0.28855721393034817,-0.07831325301204817,0.06558964866919192,0.060037523452157515
torch_lstm,lightgbm,1,attention,71f0603f,-0.07544836116264686,-0.08140252035409956,-0.07332803251170594,-0.11342490749094392,0.108843537414966,-0.2597402597402597,-0.0720879191906254,-0.07973421926910296
torch_lstm,lightgbm,1,attention,81f1f0fe,-0.26095501305082147,-0.38981205635117355,-0.28800859818823876,-0.3340019874180433,0.11282051282051275,-0.6347305389221557,-0.3182563130300008,-0.2320441988950277
torch_lstm,lightgbm,1,attention,a1721173,-0.12578313253012052,-0.1383456249626407,-0.06136546184738956,-0.02852680242041572,-0.36000000000000004,0.10843373493975894,-0.06873952916603221,-0.11392405063291133
torch_lstm,lightgbm,1,attention,c060c06a,-0.19499089253187607,-0.313387501591924,-0.2151183970856103,-0.23228447167908806,-0.4344262295081967,0.0444444444444444,-0.020859351057309183,-0.18287937743190652
torch_lstm,lightgbm,1,attention,c112918e,0.06933294409575241,0.1198068554600838,0.0291320001946187,0.026022787701860284,0.1612903225806451,-0.022624434389140413,0.012519353398844912,0.09274873524451943
torch_lstm,lightgbm,1,attention,d111e017,-0.11849004533806418,-0.1201596541970229,-0.09684323167469233,-0.08400022551930719,-0.14035087719298245,-0.09662921348314613,-0.11936204427433705,-0.1172985781990521
torch_lstm,lightgbm,1,attention,f1d06060,-0.10116670170275388,-0.16346244910327662,-0.0404666806811016,-0.019694649734209424,0.014084507042253391,-0.2164179104477612,-0.029970945567864726,-0.16814159292035402
torch_lstm,lightgbm,1,engagement,30c140ca,-0.009625850340136077,-0.030841407400696297,0.02238095238095228,0.029604175881305594,-0.12925170068027214,0.10999999999999999,0.007400427854973302,-0.03238866396761142
torch_lstm,lightgbm,1,engagement,3110e0c7,-0.025000000000000133,-0.0463278015841051,-0.08605442176870748,-0.09223574357121411,0.1428571428571428,-0.19285714285714284,-0.028300558670629528,-0.0669642857142857
torch_lstm,lightgbm,1,engagement,40f0714a,0.14814814814814814,0.13244163255940666,-0.0010288065843624405,0.00336330597652279,-0.2592592592592593,0.5555555555555556,-0.034469241792349115,0.06666666666666665
torch_lstm,lightgbm,1,engagement,7150e10a,0.06224814829028669,0.06751928282606545,0.02206700694630981,0.04309653737161634,-0.01634877384196165,0.1408450704225353,-0.0023860858714084276,0.027504911591355596
torch_lstm,lightgbm,1,engagement,71f0603f,-0.09350016967745489,-0.09863627116292739,-0.05012193100835738,-0.06963749880346615,-0.2507122507122507,0.06371191135734078,-0.06891322344687456,-0.0912921348314607
torch_lstm,lightgbm,1,engagement,81f1f0fe,-0.21929541047188106,-0.12924002524605682,-0.24935358758888182,-0.07324434941896518,-0.7032967032967034,0.2647058823529411,-0.10616198879281635,0.06032482598607891
torch_lstm,lightgbm,1,engagement,a1721173,-0.2191374663072777,-0.31228307897114055,-0.09568733153638831,-0.04945771902649265,-0.4571428571428572,0.018867924528301994,0.004973499322075692,-0.099290780141844
torch_lstm,lightgbm,1,engagement,c060c06a,-0.20280600972160845,-0.24270814247581263,0.017233760494918426,0.0035663607807088216,-0.5410958904109588,0.13548387096774195,-0.05641868766949987,-0.19269102990033216
torch_lstm,lightgbm,1,engagement,c112918e,0.018697318007662833,0.007994279837984397,-0.0031570881226052894,0.0026475570300548146,-0.1448275862068965,0.18222222222222229,0.005621267029397359,-0.001941747572815511
torch_lstm,lightgbm,1,engagement,d111e017,-0.08120640661327816,-0.08137010214707874,-0.09009945750452086,-0.07958947173061015,-0.05102040816326536,-0.11139240506329118,-0.11815564886017715,-0.0813214739517153
torch_lstm,lightgbm,1,engagement,f1d06060,-0.04166666666666674,-0.04702706428994785,-0.027479091995220806,-0.08078261685960753,0.0,-0.08333333333333343,-0.02886606491006838,-0.0252808988764045
torch_lstm,lightgbm,1,excitement,30c140ca,0.01680072651790354,0.0251150734371417,-0.007524649714582221,-0.0187420813781195,0.054878048780487854,-0.021276595744680882,0.017404323551501455,0.027131782945736482
torch_lstm,lightgbm,1,excitement,3110e0c7,0.031851179673321295,0.021319054496624634,0.055898366606170646,0.02582482464649416,0.06896551724137934,-0.0052631578947368585,0.025856711158156798,0.01805054151624541
torch_lstm,lightgbm,1,excitement,40f0714a,-0.06422018348623848,-0.10964895635673622,0.006880733944954032,0.03316065062388596,-0.12844036697247707,0.0,-0.05384615384615388,-0.11965811965811968
torch_lstm,lightgbm,1,excitement,7150e10a,0.05141483483627152,0.02046567997860871,-0.0032530437486545383,0.019951220736637354,-0.02088167053364276,0.12371134020618557,-0.01774526398775711,0.005681818181818121
torch_lstm,lightgbm,1,excitement,71f0603f,-0.10560985406346235,-0.13129286053794464,0.002405498281787044,-0.0027348807987476187,-0.22680412371134023,0.01558441558441559,-0.029607681044179768,-0.08875739644970415
torch_lstm,lightgbm,1,excitement,81f1f0fe,-0.05939538789483878,-0.06425165965668833,-0.08613784639235189,-0.053511454036596295,-0.06569343065693423,-0.05309734513274322,-0.07525850685915658,-0.05785123966942152
torch_lstm,lightgbm,1,excitement,a1721173,-0.06438791732909366,-0.06814579685166333,-0.057763645998940016,-0.038029567848226864,-0.04054054054054046,-0.08823529411764719,-0.06665641472160189,-0.06818181818181812
torch_lstm,lightgbm,1,excitement,c060c06a,-0.1018099547511313,-0.14153440194206118,0.0033397974574443934,0.028139702098046393,-0.2036199095022625,0.0,-0.042675216763005785,-0.1711026615969582
torch_lstm,lightgbm,1,excitement,c112918e,0.04199582933771717,0.05948203862417811,0.0021614381174177577,0.0008070618178194211,0.10584958217270202,-0.021857923497267673,0.0385158679712152,0.0627306273062731
torch_lstm,lightgbm,1,excitement,d111e017,-0.019060624711493834,-0.018900745162077515,-0.007512144725562275,-0.003919365234820393,-0.023195876288659822,-0.01492537313432818,-0.018669990693418348,-0.01866977829638261
torch_lstm,lightgbm,1,excitement,f1d06060,0.021722881435111696,0.008526304128887996,-0.03541063253293475,-0.025108495124571584,0.09740259740259749,-0.0539568345323741,-0.021343526054453776,0.0
torch_lstm,lightgbm,1,stress,30c140ca,-0.08181063122923593,-0.11852259005264931,-0.042081949058693335,-0.030207011495350877,0.0387596899224808,-0.20238095238095238,-0.01624490362960107,-0.09764309764309764
torch_lstm,lightgbm,1,stress,3110e0c7,0.3145687645687646,0.40433261423078887,0.3005827505827506,0.22297296222380109,0.5230769230769231,0.10606060606060608,0.39484366768523244,0.3826530612244898
torch_lstm,lightgbm,1,stress,40f0714a,-0.021710526315789513,-0.012803471633107022,0.006842105263157983,0.014135618604805167,0.03157894736842115,-0.07499999999999996,0.0393968573813086,0.0
torch_lstm,lightgbm,1,stress,7150e10a,0.020826948056686723,0.02389665277081776,-0.09556752338835617,-0.08300873787929386,-0.02114803625377648,0.06280193236714982,-0.014809914295334514,0.01115241635687736
torch_lstm,lightgbm,1,stress,71f0603f,-0.07542903525046385,-0.0720782874873499,-0.024141929499072345,-0.002760155805600184,-0.12244897959183676,-0.02840909090909083,-0.06737648669265961,-0.06700167504187604
torch_lstm,lightgbm,1,stress,81f1f0fe,0.07897398179645121,0.11260632475667798,0.11984922313137814,0.04814601803958729,-0.020134228187919434,0.17808219178082196,0.04496083994941491,0.12062256809338523
torch_lstm,lightgbm,1,stress,a1721173,0.07849462365591398,0.05382723595261951,-0.006060606060605878,-0.012653794909474825,-0.043010752688172005,0.20000000000000007,0.009103296096312663,0.012448132780083054
torch_lstm,lightgbm,1,stress,c060c06a,-0.1354679802955665,-0.1978790315316279,0.0010131712259373593,0.006740617377221647,-0.270935960591133,0.0,-0.06474431334650599,-0.1598837209302325
torch_lstm,lightgbm,1,stress,c112918e,-0.05145251396648043,-0.11847928267533558,0.030279329608938532,0.08650743875218503,-0.1229050279329608,0.020000000000000018,-0.4538127899536074,-0.057750759878419544
torch_lstm,lightgbm,1,stress,d111e017,-0.06617552645095015,-0.06460757780041337,-0.04243708269132007,-0.030541926069718617,-0.009469696969697017,-0.1228813559322034,-0.05795525804011137,-0.06300000000000006
torch_lstm,lightgbm,1,stress,f1d06060,0.049787573021773834,0.08847824200665655,-0.06969375110639053,-0.09213236994966012,0.171003717472119,-0.07142857142857129,-0.02438020013817155,0.06471816283924836
torch_lstm,lightgbm,1,relaxation,30c140ca,0.13425401414228222,0.1446453105117771,0.11345079501504085,0.10273321572593852,0.2517482517482518,0.016759776536312776,0.08315412186379945,0.1211180124223602
torch_lstm,lightgbm,1,relaxation,3110e0c7,0.033333333333333215,0.0308761511165353,0.08960429242119383,0.05335921123058218,0.0,0.06666666666666665,0.028614672696031906,0.028340080971659853
torch_lstm,lightgbm,1,relaxation,40f0714a,0.08750000000000002,0.09235360063006559,0.0,4.488825252635387e-05,0.0,0.17499999999999993,0.05516154452324662,0.08750000000000002
torch_lstm,lightgbm,1,relaxation,7150e10a,0.020133053221288555,0.03431232923629102,-0.05316293183940246,-0.06747296362929123,-0.007352941176470562,0.0476190476190477,-0.015686751906585306,0.015184381778741818
torch_lstm,lightgbm,1,relaxation,71f0603f,-0.06667707932846345,-0.08883449083862816,-0.03735742663078323,-0.029003926941889024,0.0726643598615917,-0.2060185185185186,-0.08885187814535589,-0.09431345353675458
