model,input_family,context_windows,input_rule,execution_source,outer_fold,pm,n_train,n_test,n_train_subjects,n_test_subjects,threshold_hash,q_low,q_high,train_target_sample_hash,test_target_sample_hash,train_input_endpoint_hash,test_input_endpoint_hash,specification_hash,run_id
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,1,attention,14829,4124,42,11,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,0.40640833333333337,0.5057536666666667,c6423ae72bfe3eb3b8fbea1c94ca506d46d71cb03aa2b0f8714b761e7801eaa4,8ac99b0c241fbe3b664638a4829f3480d294546cdf560e46c764c97f80142ba5,daac3350a44e5538ed084d9fd37aa2fd185129f5ea4510a82a5dcbd7e3ca2bcc,1a9114cde55d4380e989bde5143b3ddb33fe018215666aa13328e3787a85af85,510c0ff0bd824c70107773e725d13e6e75bc1e166f4e0512702765bd53106704,lightgbm__fold_01__attention__510c0ff0bd82
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,1,attention,14829,4124,42,11,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,0.40640833333333337,0.5057536666666667,c6423ae72bfe3eb3b8fbea1c94ca506d46d71cb03aa2b0f8714b761e7801eaa4,8ac99b0c241fbe3b664638a4829f3480d294546cdf560e46c764c97f80142ba5,daac3350a44e5538ed084d9fd37aa2fd185129f5ea4510a82a5dcbd7e3ca2bcc,1a9114cde55d4380e989bde5143b3ddb33fe018215666aa13328e3787a85af85,3b32e78851459c90546b2789c3f8235bf7a151d039d7bd9697335a074253b5fa,xgboost__fold_01__attention__3b32e7885145
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,1,attention,14829,4124,42,11,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,0.40640833333333337,0.5057536666666667,c6423ae72bfe3eb3b8fbea1c94ca506d46d71cb03aa2b0f8714b761e7801eaa4,8ac99b0c241fbe3b664638a4829f3480d294546cdf560e46c764c97f80142ba5,daac3350a44e5538ed084d9fd37aa2fd185129f5ea4510a82a5dcbd7e3ca2bcc,1a9114cde55d4380e989bde5143b3ddb33fe018215666aa13328e3787a85af85,66a88b7fd1b476d29e765b6d9b392dbd583e607abc9c12cc2d804d4e29e84c97,torch_lstm__fold_01__attention__66a88b7fd1b4
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,1,attention,14829,4124,42,11,40889ed77c7a49254028614aa69c424c2355cbd1baaed50dc47082b1864510f7,0.40640833333333337,0.5057536666666667,c6423ae72bfe3eb3b8fbea1c94ca506d46d71cb03aa2b0f8714b761e7801eaa4,8ac99b0c241fbe3b664638a4829f3480d294546cdf560e46c764c97f80142ba5,daac3350a44e5538ed084d9fd37aa2fd185129f5ea4510a82a5dcbd7e3ca2bcc,1a9114cde55d4380e989bde5143b3ddb33fe018215666aa13328e3787a85af85,a74543483a93f97db0c17c452d224438442a05a3e396918a36753ec784dde4e7,torch_transformer__fold_01__attention__a74543483a93
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,1,engagement,15238,4313,42,11,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,0.5800476666666666,0.6855443333333333,fc793e5464dbfc12e600d78994516c63d52b70da2bda8309ca049e76bbc2e173,0cfb05e70d14105666143069d6c0f6477e4d55f344d144632e3fc22f7e91b8ec,9caa35b58d015f070ff652afc129390f32c438323fd5cf061d6a04f63a0e542c,375a7aee8d33ea2496de4769145f8d0033c663948de728a3a9ca05882040a3f8,49665382ddd6d4d4a51715f0111e0ab1231a0a32d9b507c370fc29a228b25558,lightgbm__fold_01__engagement__49665382ddd6
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,1,engagement,15238,4313,42,11,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,0.5800476666666666,0.6855443333333333,fc793e5464dbfc12e600d78994516c63d52b70da2bda8309ca049e76bbc2e173,0cfb05e70d14105666143069d6c0f6477e4d55f344d144632e3fc22f7e91b8ec,9caa35b58d015f070ff652afc129390f32c438323fd5cf061d6a04f63a0e542c,375a7aee8d33ea2496de4769145f8d0033c663948de728a3a9ca05882040a3f8,8d6eb1f67204ab9d807d1dc3c67c2d908674489fb4461a45be01c408d85cf791,xgboost__fold_01__engagement__8d6eb1f67204
torch_lstm,sequence_features,10,371-feature windows EEG(t-100s)..EEG(t-10s),reference_neural_robustness,1,engagement,15238,4313,42,11,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,0.5800476666666666,0.6855443333333333,fc793e5464dbfc12e600d78994516c63d52b70da2bda8309ca049e76bbc2e173,0cfb05e70d14105666143069d6c0f6477e4d55f344d144632e3fc22f7e91b8ec,9caa35b58d015f070ff652afc129390f32c438323fd5cf061d6a04f63a0e542c,375a7aee8d33ea2496de4769145f8d0033c663948de728a3a9ca05882040a3f8,faa5ed8ea07e2c66858e806ae8f21f85362fb91c18471af4e2541d9eba13c797,torch_lstm__fold_01__engagement__faa5ed8ea07e
torch_transformer,sequence_features,8,last 8 of common history: EEG(t-80s)..EEG(t-10s),new_training,1,engagement,15238,4313,42,11,7d374ea6928381e1ee56d96473fa6567757f8df43407f81bbd24c398d82e419e,0.5800476666666666,0.6855443333333333,fc793e5464dbfc12e600d78994516c63d52b70da2bda8309ca049e76bbc2e173,0cfb05e70d14105666143069d6c0f6477e4d55f344d144632e3fc22f7e91b8ec,9caa35b58d015f070ff652afc129390f32c438323fd5cf061d6a04f63a0e542c,375a7aee8d33ea2496de4769145f8d0033c663948de728a3a9ca05882040a3f8,fdac70f46bba214bea9781610bd0e5b99fb2ad40a32fbabaaae2040fedda0e26,torch_transformer__fold_01__engagement__fdac70f46bba
lightgbm,single_window_features,1,371 features at EEG(t-10s),new_training,1,excitement,15414,4489,42,11,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,0.198928,0.3627136666666666,b44b655945e2936897e5f9ec4278f020301e20c79068fc85e19607de2099eeb4,1391462013917ce4604f077f3b58384e4f37a48839b4bfe8a3330a4b732f7b75,8426011128852b3df07eb08ca842c70077b98ec0f82345d388bf95d4da592046,a99a435d35d7c4125a2fadc8f2daed67be36d45959240a8e0e44b5c34eca7dfb,2d4512a15d514511a8e89ee3a21e9c24b20ce401e8ab06a14101028e52993c51,lightgbm__fold_01__excitement__2d4512a15d51
xgboost,single_window_features,1,371 features at EEG(t-10s),new_training,1,excitement,15414,4489,42,11,f13db677a8358b59d7e0528258ba7ff9bf95b5314741ce39a724cf74d183ddaa,0.198928,0.3627136666666666,b44b655945e2936897e5f9ec4278f020301e20c79068fc85e19607de2099eeb4,1391462013917ce4604f077f3b58384e4f37a48839b4bfe8a3330a4b732f7b75,8426011128852b3df07eb08ca842c70077b98ec0f82345d388bf95d4da592046,a99a435d35d7c4125a2fadc8f2daed67be36d45959240a8e0e44b5c34eca7dfb,e9d3558231cb9095622a09abac0d0692f5030fe29efe1bfc869036687125c515,xgboost__fold_01__excitement__e9d3558231cb
