model,pm,n_folds,participant_macro_balanced_accuracy_mean,participant_macro_balanced_accuracy_std,participant_macro_f1_mean,participant_macro_f1_std,participant_macro_roc_auc_mean,participant_macro_roc_auc_std,participant_macro_pr_auc_mean,participant_macro_pr_auc_std,participant_macro_low_recall_mean,participant_macro_low_recall_std,participant_macro_high_recall_mean,participant_macro_high_recall_std,participant_macro_precision_mean,participant_macro_precision_std,participant_macro_accuracy_mean,participant_macro_accuracy_std
lightgbm,attention,5,0.7239872451507126,0.05078524839837416,0.6819497028237677,0.03514077992990114,0.8619984159154624,0.006601088029928775,0.8452511073552944,0.03502996142941551,0.7159916509419638,0.09258662806229008,0.7277653499853611,0.13195695048951414,0.7566502501030794,0.018706498906637017,0.7267918441979061,0.051362866188969486
lightgbm,engagement,5,0.7314151214440617,0.017002766824174047,0.7072503239548111,0.04323037623445387,0.8643214100389252,0.010840264343430805,0.8342912628622059,0.05500777673628771,0.719164189115714,0.05958921387983621,0.7436660537724094,0.0707886184612563,0.7706448350166274,0.03054180466640803,0.7545062266990011,0.04151625480368898
lightgbm,excitement,5,0.842884904797549,0.01895755783441731,0.8245572296242084,0.023887636757173057,0.9491570847775904,0.009848438824961659,0.9462164662892667,0.010890690043946265,0.8396081066546554,0.04163825933242698,0.8461617029404428,0.057188449779390395,0.8506750396904831,0.027716663925767535,0.8517085665647137,0.028374408226326725
lightgbm,stress,5,0.732162924725243,0.02520982940792954,0.6846223638921375,0.030008914428203002,0.8818397884190684,0.033830143322927234,0.8801637887313486,0.05159362903205444,0.712693499970271,0.057533771758009514,0.765676951397556,0.05243821888280351,0.7545113988884089,0.02452926237902106,0.7237493173513092,0.034817153552377224
lightgbm,relaxation,5,0.7853610328500673,0.039242673790212006,0.7720730346742686,0.04235947182520116,0.9297973708321006,0.014906436103048664,0.925847871083041,0.00888407864173977,0.7798386821196928,0.09078998445500638,0.7908833835804419,0.042069709395037715,0.84048145396095,0.011602277609695073,0.8114011521888042,0.02424255301746349
lightgbm,interest,5,0.7251977332900043,0.05425027483612817,0.6801021438966824,0.06918411196892639,0.8621056731511938,0.03941364968259104,0.8587564026652691,0.049061711145432535,0.7313900615514474,0.03217571731797141,0.7307343083304336,0.07622095658671402,0.7504526531143837,0.03327103899541012,0.7095604533570107,0.06341115477478987
lightgbm,focus,5,0.7086764047707934,0.018849398283375698,0.674539589830934,0.03406481255688034,0.8255908628693163,0.011677379911428672,0.7858634248462003,0.030609534831269738,0.7007693144475777,0.046814928027181964,0.716583495094009,0.05290508888487445,0.7197232399336045,0.022667758342743732,0.740629081007894,0.050165941862503886
xgboost,attention,5,0.7236732039955168,0.04084889274303579,0.6816840772054411,0.025697702911365392,0.8620822738135425,0.007084293564902546,0.8430726794822517,0.04038900374605502,0.7223806435541436,0.08690074724628113,0.72057974791889,0.12048502245035525,0.7536945477062389,0.020456246939566654,0.7265910188409398,0.04635948341482395
xgboost,engagement,5,0.7274892528841428,0.01663919530318786,0.7036390180269773,0.041870126296024185,0.8621753448718051,0.011871958192701844,0.8278932048405003,0.051704042109152464,0.7189979237104229,0.05523050952395579,0.7359805820578627,0.07287452678936984,0.7691175200575684,0.022969429573786657,0.7529027710637295,0.03906172593269054
xgboost,excitement,5,0.8396440663569825,0.021441790124295024,0.8217014033466714,0.02452760473560337,0.9458568975412798,0.009078421710871799,0.9434702772014335,0.007849202348958407,0.8364007423297124,0.03856939197539544,0.8428873903842524,0.05428328676961178,0.846900210370389,0.02619730351407664,0.8497514619795531,0.028857260367555232
xgboost,stress,5,0.7425128540036314,0.031948890625172865,0.6984752657518185,0.030262333303311,0.8769003907517927,0.033976992869109705,0.8726096322738144,0.05275615754169731,0.7181174961928297,0.06048322576247199,0.7767312813207543,0.05705324618755279,0.7604607966687227,0.019746433791648556,0.7357479213142721,0.03700302840353076
xgboost,relaxation,5,0.7844102200349025,0.03806105017445691,0.7720447543346107,0.040228441968922925,0.9221035772457592,0.014982737743036396,0.9161349055997821,0.011927569838858648,0.7792625547633334,0.0925303210842862,0.7895578853064716,0.033623488342150475,0.8385701367973152,0.010698717323491418,0.8112250914061931,0.021636853736751383
xgboost,interest,5,0.7270740183843436,0.03405007691536314,0.6806188877871601,0.0491920363077202,0.8576401990331204,0.03543496422001244,0.849510022184418,0.0480007641657934,0.721132192022701,0.019448284699462415,0.7447894639659943,0.05782330220853685,0.7487430502742739,0.022775921566330678,0.7084009515886984,0.04589378217103497
xgboost,focus,5,0.7067657404190767,0.023560952847110093,0.6703886962100082,0.03771598425846738,0.8209155359218002,0.014239190988634205,0.778232824490515,0.03549310859931572,0.6810260789326458,0.05513431206428264,0.7325054019055074,0.039206656710261585,0.714228559278405,0.01944173383136267,0.7325447786014739,0.054344883427502794
torch_lstm,attention,5,0.6523175624669743,0.044280392278510335,0.5880865843821073,0.054682494758241995,0.7723154284173614,0.052609672108676016,0.768922682484894,0.05251143985133044,0.6164848318630389,0.09688550658661439,0.6792760281731095,0.09399419120378462,0.6855882761729947,0.04420990732080324,0.6438657697009178,0.05153805184837435
torch_lstm,engagement,5,0.6891195617566661,0.02043282207272488,0.651537335056594,0.028258689543617665,0.8306114211949079,0.024313649967512303,0.8056900460021579,0.04493508277066395,0.6613073574716496,0.08531042226181994,0.7169317660416827,0.05385437405681961,0.7229310436316818,0.02173082004586123,0.7088921646432604,0.03643600640558442
torch_lstm,excitement,5,0.8335147599540622,0.0346603429230899,0.8121182153206924,0.04461793660174501,0.9414957771062447,0.016478534780442308,0.9436912655268387,0.015433027802474918,0.8334930066338255,0.06128456356095093,0.8335365132742989,0.06362112371806818,0.8369376428537363,0.03371866415507651,0.8388583477991247,0.04544515252527599
torch_lstm,stress,5,0.7183213560780263,0.019444251481342486,0.6635198541003416,0.03200270057618562,0.8485422306103558,0.030693621985229336,0.8638329272672388,0.030074539577955053,0.7404468183382001,0.08648236971762474,0.7052490143303024,0.0908291875758335,0.729961544319225,0.023067114668881474,0.7009525999192359,0.040364395521487274
torch_lstm,relaxation,5,0.7479659869830696,0.02514855294296035,0.7274383562259035,0.027587247326100715,0.8983202166794694,0.008967917233153436,0.8944369083604915,0.012101416523877409,0.7611667244200245,0.10020659097047445,0.7347652495461146,0.0900617636529994,0.7948621833179369,0.022579726506868607,0.7711278255345534,0.01616912462010593
torch_lstm,interest,5,0.6653844516729535,0.028576953014824883,0.6056194294278255,0.05672218558443344,0.7852810844043949,0.03822988247127652,0.7994182449520182,0.04189699737541688,0.6638545760593458,0.08000481612712457,0.6768528172481308,0.03365656927075024,0.6859776137567,0.022179136786279908,0.6347882289225085,0.052480158525940485
torch_lstm,focus,5,0.7677846566477775,0.020216554893768304,0.7286995744013594,0.040735392673380146,0.9061457464441066,0.01269171034938535,0.8708274012453037,0.038517973139356364,0.7546627138680528,0.10788822794773102,0.780906599427502,0.08486822277174245,0.7779767533464879,0.04776370406284671,0.7885494881467662,0.051462700463361585
torch_transformer,attention,5,0.6459632371369148,0.04369361129704484,0.5924038979300126,0.04940988749829204,0.7501963085059594,0.05334781919947407,0.744279615013277,0.042023747478687326,0.6839758938151934,0.12090690200945396,0.6030837300065002,0.07689336776434998,0.6765278454195254,0.05081440960506228,0.6493518158375213,0.057223092828337395
torch_transformer,engagement,5,0.6874070249972315,0.004066414372028775,0.6492376960273826,0.026149668240691298,0.816554248238233,0.014930257767121629,0.7900615102137165,0.056045025809038675,0.6797992365409888,0.0777923150138328,0.6950148134534742,0.07695377568652076,0.7233515325219197,0.03097448636166512,0.7059707218115142,0.03739505148412473
torch_transformer,excitement,5,0.837432167296355,0.03176245472241809,0.8175763622232795,0.03719952536146621,0.9415914178216124,0.015287971614104313,0.9444773389568055,0.010315648167465566,0.8397763295789857,0.05621309061115124,0.8350880050137242,0.03965174762787482,0.8419305550111365,0.029309568022517395,0.8425024558521699,0.038314474712734164
torch_transformer,stress,5,0.7190948528836605,0.02258999017872659,0.6518836518323725,0.022399394924509722,0.8382864018504079,0.02077152329632342,0.835296512778849,0.036993714638101874,0.7136389590007373,0.0646405879395265,0.7203072693871365,0.08854444868658454,0.7125487293200984,0.016740874685393255,0.6977592198957181,0.042030957658009745
torch_transformer,relaxation,5,0.7655237654138916,0.025712194364516452,0.7490112640104364,0.027254813380092738,0.8969154438960437,0.00891611411315501,0.8939256743962002,0.01998545060208588,0.7659791751760165,0.07970237665879672,0.7650683556517668,0.04544569038419086,0.8152721232190221,0.0188206573779953,0.7831866654449032,0.015246473206433528
torch_transformer,interest,5,0.6752353626394365,0.027761231265962746,0.6087754797558065,0.04322932717365446,0.8011729305338544,0.046466711623975955,0.810230304997779,0.05595951946728875,0.6881587960463765,0.08762760948555892,0.6730858564320377,0.04461337970834634,0.6918691983739632,0.02873422938581833,0.6333542984524174,0.0408955382577459
