trial_id,seed,fold,bandpass,notch,car,accuracy,balanced_accuracy,macro_f1,weighted_f1,kappa,auc,epochs_trained,best_epoch,best_validation_loss,training_time_seconds,n_train,n_test,device,delta_accuracy_vs_A,delta_balanced_accuracy_vs_A,delta_macro_f1_vs_A,delta_weighted_f1_vs_A,delta_kappa_vs_A,delta_auc_vs_A
A,42,fold_01,0,0,0,0.279036214111,0.278330519194,0.263675316024,0.268198912629,0.10018102273,0.596457890988,6,2,1.64610488452,85.9912662506,24027,6931,cuda,0,0,0,0,0,0
A,42,fold_02,0,0,0,0.295542635659,0.292509140889,0.267596156048,0.270846232418,0.118490240111,0.625883056735,13,9,1.49439450379,172.548613548,24766,6192,cuda,0,0,0,0,0,0
A,42,fold_03,0,0,0,0.250786814643,0.252852490701,0.230896684231,0.232796070393,0.0679956446721,0.588404561057,8,4,1.49650775991,109.477836609,24921,6037,cuda,0,0,0,0,0,0
A,42,fold_04,0,0,0,0.295186980609,0.303500307052,0.274161526167,0.268069352013,0.120675353275,0.620905139949,11,7,1.56380466616,148.452553511,25182,5776,cuda,0,0,0,0,0,0
A,42,fold_05,0,0,0,0.275988043839,0.284738773692,0.263362861784,0.259591535608,0.0974732542795,0.583732850701,15,13,1.50553596427,197.037796497,24936,6022,cuda,0,0,0,0,0,0
B,42,fold_01,1,0,0,0.297359688357,0.291337560112,0.292963213362,0.298997485813,0.118248277462,0.611368377893,8,4,1.59149682099,108.61105895,24027,6931,cuda,0.0183234742461,0.0130070409177,0.0292878973378,0.0307985731844,0.0180672547321,0.0149104869058
B,42,fold_02,1,0,0,0.307978036176,0.30880578625,0.30252184265,0.30336658351,0.136711152666,0.645752865848,15,13,1.49485094383,196.595408916,24766,6192,cuda,0.0124354005168,0.0162966453607,0.034925686602,0.0325203510925,0.0182209125547,0.0198698091134
B,42,fold_03,1,0,0,0.26685439788,0.261244079144,0.248138733663,0.252707413362,0.0807086822093,0.591282310809,8,4,1.50959596455,109.938572884,24921,6037,cuda,0.0160675832367,0.00839158844227,0.0172420494325,0.0199113429696,0.0127130375371,0.00287774975163
B,42,fold_04,1,0,0,0.280297783934,0.293149822089,0.247786354498,0.240691305573,0.107151361939,0.624691013065,13,9,1.56497232115,174.249319792,25182,5776,cuda,-0.0148891966759,-0.0103504849631,-0.0263751716691,-0.0273780464399,-0.0135239913354,0.00378587311554
B,42,fold_05,1,0,0,0.271006310196,0.282120100749,0.23494996491,0.229372452583,0.0943330942118,0.59945202637,15,14,1.48306124435,197.428688288,24936,6022,cuda,-0.00498173364331,-0.0026186729436,-0.0284128968747,-0.0302190830253,-0.00314016006768,0.0157191756687
