trial,preprocessing,seed,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,kappa,auc,epochs,training_time
A,raw,7,fold_01,0.2820660799,0.2773689922,0.2657549476,0.2715223451,0.1000773353,0.6121968874,15,194.5632572174
A,raw,7,fold_02,0.3047480620,0.3038203439,0.2853880310,0.2880443659,0.1326869640,0.6341977978,15,196.6856675148
A,raw,7,fold_03,0.2656948816,0.2669565018,0.2622132384,0.2634022087,0.0849949200,0.6007084823,13,172.6701161861
A,raw,7,fold_04,0.2797783934,0.2885822893,0.2546695325,0.2464456039,0.1032400518,0.6273031445,12,160.4203906059
A,raw,7,fold_05,0.2886084357,0.2901029452,0.2608708648,0.2594566554,0.1083279530,0.5905790844,15,190.6094527245
A,raw,42,fold_01,0.2790362141,0.2783305192,0.2636753160,0.2681989126,0.1001810227,0.5964578910,6,85.9912662506
A,raw,42,fold_02,0.2955426357,0.2925091409,0.2675961560,0.2708462324,0.1184902401,0.6258830567,13,172.5486135483
A,raw,42,fold_03,0.2507868146,0.2528524907,0.2308966842,0.2327960704,0.0679956447,0.5884045611,8,109.4778366089
A,raw,42,fold_04,0.2951869806,0.3035003071,0.2741615262,0.2680693520,0.1206753533,0.6209051399,11,148.4525535107
A,raw,42,fold_05,0.2759880438,0.2847387737,0.2633628618,0.2595915356,0.0974732543,0.5837328507,15,197.0377964973
A,raw,123,fold_01,0.2938969846,0.2899876091,0.2858415552,0.2908521249,0.1150653075,0.6018489795,8,103.9702210426
A,raw,123,fold_02,0.2853682171,0.2814600488,0.2777712909,0.2807052646,0.1047162375,0.6167262006,15,189.0173542500
A,raw,123,fold_03,0.2764618188,0.2705575523,0.2565274637,0.2614700972,0.0931835087,0.5924029027,15,190.4964303970
A,raw,123,fold_04,0.2946675900,0.3022732967,0.2531856572,0.2457678718,0.1197597782,0.6129678796,6,81.9772431850
A,raw,123,fold_05,0.2701760213,0.2749117102,0.2687862591,0.2668713787,0.0881375179,0.5659236195,10,129.8849446774
B,band-pass,7,fold_01,0.2862501803,0.2884696395,0.2611100635,0.2620670800,0.1098749495,0.6164451644,14,174.9897797108
B,band-pass,7,fold_02,0.3181524548,0.3157743453,0.3009491010,0.3039544310,0.1472458463,0.6435907102,9,117.3830938339
B,band-pass,7,fold_03,0.2726519795,0.2716443268,0.2718455529,0.2739712780,0.0918737113,0.5985789206,13,165.9171504974
B,band-pass,7,fold_04,0.2716412742,0.2827793234,0.2286693141,0.2201827902,0.0959904187,0.6062998935,12,155.7673990726
B,band-pass,7,fold_05,0.2768183328,0.2858890486,0.2516811044,0.2486923683,0.1007018253,0.5911844665,10,129.7840073109
B,band-pass,42,fold_01,0.2973596884,0.2913375601,0.2929632134,0.2989974858,0.1182482775,0.6113683779,8,108.6110589504
B,band-pass,42,fold_02,0.3079780362,0.3088057862,0.3025218427,0.3033665835,0.1367111527,0.6457528658,15,196.5954089165
B,band-pass,42,fold_03,0.2668543979,0.2612440791,0.2481387337,0.2527074134,0.0807086822,0.5912823108,8,109.9385728836
B,band-pass,42,fold_04,0.2802977839,0.2931498221,0.2477863545,0.2406913056,0.1071513619,0.6246910131,13,174.2493197918
B,band-pass,42,fold_05,0.2710063102,0.2821201007,0.2349499649,0.2293724526,0.0943330942,0.5994520264,15,197.4286882877
B,band-pass,123,fold_01,0.2706680133,0.2696938560,0.2495269085,0.2525288001,0.0881644274,0.5894727121,6,79.2690892220
B,band-pass,123,fold_02,0.3049095607,0.3026800710,0.2974661279,0.3001621982,0.1312696649,0.6052873516,6,81.2605805397
B,band-pass,123,fold_03,0.2743084313,0.2670314298,0.2310009090,0.2358443391,0.0890345276,0.5922543529,6,81.6473681927
B,band-pass,123,fold_04,0.2860110803,0.2888860047,0.2815852925,0.2779326189,0.1051323931,0.6104320924,6,82.3968443871
B,band-pass,123,fold_05,0.2668548655,0.2729312006,0.2473525027,0.2434301943,0.0862687070,0.5914259792,9,118.3691771030
E,band-pass + notch,7,fold_01,0.2858173424,0.2876970185,0.2592634996,0.2605698511,0.1090573695,0.6162128855,14,174.9537248611
E,band-pass + notch,7,fold_02,0.3162144703,0.3138272979,0.2983824174,0.3014333304,0.1448423253,0.6432946854,9,117.3758568764
E,band-pass + notch,7,fold_03,0.2786152062,0.2749661991,0.2664290897,0.2702791311,0.0976313520,0.5970629120,15,190.1742379665
E,band-pass + notch,7,fold_04,0.2699099723,0.2812991581,0.2267118042,0.2180743508,0.0940226243,0.6064114843,12,155.6548454762
E,band-pass + notch,7,fold_05,0.2663566921,0.2730095729,0.2493705258,0.2470883410,0.0856155201,0.5841213937,15,190.7202663422
E,band-pass + notch,42,fold_01,0.2967825711,0.2911025201,0.2922003466,0.2979958738,0.1176528235,0.6122094918,8,117.3243284225
E,band-pass + notch,42,fold_02,0.3062015504,0.3067214014,0.3001292821,0.3011558092,0.1342850758,0.6458268447,15,203.2295308113
E,band-pass + notch,42,fold_03,0.2673513334,0.2616414006,0.2481427280,0.2527506443,0.0812052823,0.5914739266,8,110.5510950089
E,band-pass + notch,42,fold_04,0.2799515235,0.2926558026,0.2475721460,0.2405350408,0.1065943603,0.6244970809,13,174.4996552467
E,band-pass + notch,42,fold_05,0.2739953504,0.2922827680,0.2412326920,0.2347850959,0.1036430351,0.6016319648,15,197.6774017811
E,band-pass + notch,123,fold_01,0.2712451306,0.2703196795,0.2495555968,0.2525345190,0.0889203641,0.5894407290,6,79.4665493965
E,band-pass + notch,123,fold_02,0.3055555556,0.3033531610,0.2974556271,0.3001131827,0.1320678684,0.6053847561,6,81.4298005104
E,band-pass + notch,123,fold_03,0.2739771410,0.2665094065,0.2298962344,0.2347839073,0.0883900400,0.5922787710,6,81.7294342518
E,band-pass + notch,123,fold_04,0.2863573407,0.2892743090,0.2819554791,0.2782869564,0.1056097512,0.6104614421,6,82.4522781372
E,band-pass + notch,123,fold_05,0.2661906343,0.2720159699,0.2463583134,0.2425326572,0.0851873970,0.5914423215,9,118.0096514225
