artifact_path,artifact_type,generated_by,tracked_intent
reports/diagnostics/pm_eeg_lag_final_conclusion.md,markdown_report,bench.analysis.project_final_package.generate,yes
reports/integration/project_final_state.md,markdown_report,bench.analysis.project_final_package.generate,yes
reports/integration/project_negative_results.md,markdown_report,bench.analysis.project_final_package.generate,yes
reports/integration/project_reproducibility_audit.md,markdown_report,bench.analysis.project_final_package.generate,yes
reports/integration/project_scientific_conclusions.md,markdown_report,bench.analysis.project_final_package.generate,yes
reports/requirements/final_requirement_coverage.md,markdown_report,bench.analysis.project_final_package.generate,yes
reports/summary/final_experiment_inventory.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_project_results.md,markdown_report,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/benchmark_models.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/classification_results.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/dataset_characteristics.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/external_dataset_results.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/01_platform_architecture.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/02_subject_disjoint_protocol.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/03_main_model_comparison.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/04_ordinal_errors.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/05_personalization_by_subject.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/06_preprocessing_ablation.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/07_cog_bci_cnn_vs_spectral.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/08_cog_bci_14_vs_62.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/09_contrastive_transfer.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/10_dann_fold_level_effect.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/11_dann_seed_level_effect.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/12_dann_aggregate_metrics.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/13_fomaml_outer_test_comparison.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/figures/14_evidence_status_map.svg,svg_figure,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/final_domain_adaptation_fold_results.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/final_domain_adaptation_results.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/final_domain_adaptation_seed_results.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/final_experiment_statuses.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/final_meta_learning_results.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/final_result_inventory.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/negative_result_summary.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/ordinal_results.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/personalization_results.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/preprocessing_ablation.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/provenance_audit.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/regression_results.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/reproducibility_limitations.csv,csv_table,bench.analysis.project_final_package.generate,yes
reports/summary/final_result_tables/requirement_coverage.csv,csv_table,bench.analysis.project_final_package.generate,yes
