model,target,analysis_unit,folds,seed,mae_mean,mae_std,r2_mean,r2_std,pearson_mean,pearson_std
Random Forest,target_attention,window,5,42,0.09837644887182188,0.0062179811839576955,0.018690941292236838,0.020124964823780473,0.17073953602190567,0.04590381808860031
Random Forest,target_engagement,window,5,42,0.09266349598330212,0.008601479461935966,0.1747042743286758,0.039705715852912486,0.4352503601795159,0.03902796108057186
Random Forest,target_excitement,window,5,42,0.14583028601588996,0.0057186709928912375,0.2762933893312643,0.0706759128424957,0.5334449850978752,0.0608269181070438
Random Forest,target_focus,window,5,42,0.09166594468806995,0.003952961059941525,0.09290614996188964,0.021924707628922426,0.3209411841656641,0.03179314640837213
Random Forest,target_interest,window,5,42,0.06349388667424403,0.006367619928602171,0.12702317455865061,0.08324644585346201,0.38052259340609096,0.09230252995867862
Random Forest,target_relaxation,window,5,42,0.11888896026841352,0.0038140520870415823,0.2073827026626735,0.050695106150484344,0.4802204655438544,0.046131278915324696
Random Forest,target_stress,window,5,42,0.09102706532694936,0.011889302203282437,0.1130815717518457,0.05637367239953715,0.3655293513166608,0.07137333408115591
XGBRegressor [lag=0 s],target_attention,participant_macro,5,42,0.0979103066759184,0.0083632831399959,-0.1632113927938649,0.1477787937028797,0.4260365610601706,0.0214635506627174
XGBRegressor [lag=-10 s],target_attention,participant_macro,5,42,0.0945116739483441,0.0115632887447297,-0.0804055035500739,0.1791840530563564,0.5559201797724902,0.0192485309231171
XGBRegressor [lag=0 s],target_engagement,participant_macro,5,42,0.0914175401222914,0.0076953149301115,-40.937040561570605,91.63357978439784,0.4310351686281493,0.0632229980971309
XGBRegressor [lag=-10 s],target_engagement,participant_macro,5,42,0.0863528219376673,0.0095130251429178,-29.16778745710267,65.59144604083296,0.6270543278198174,0.0329229439715447
XGBRegressor [lag=0 s],target_excitement,participant_macro,5,42,0.1549252567016147,0.0113562489217522,-1.0294627391272877,1.9398555003428408,0.4574324705088561,0.0593223236992535
XGBRegressor [lag=-10 s],target_excitement,participant_macro,5,42,0.1230074955649212,0.0098268161722605,0.2011846220683157,0.2609522736028326,0.7525043480632592,0.0243353263432581
XGBRegressor [lag=0 s],target_stress,participant_macro,5,42,0.0996137530280364,0.0189226451223885,-0.7002344599525621,1.0611843453827738,0.3923112207156537,0.0172851361218891
XGBRegressor [lag=-10 s],target_stress,participant_macro,5,42,0.0883635763491455,0.0160612352182552,-0.8249075625068519,1.7366525315896963,0.6101999918968722,0.0233034677962464
XGBRegressor [lag=0 s],target_relaxation,participant_macro,5,42,0.1240849988563249,0.0069504386013416,-6.1248344239724695,13.723833782775976,0.409850119038824,0.0370918964388063
XGBRegressor [lag=-10 s],target_relaxation,participant_macro,5,42,0.1023662943029872,0.0086612853882792,-1.3611409475974754,3.679495867520816,0.6525155154319104,0.0582321768282089
XGBRegressor [lag=0 s],target_interest,participant_macro,5,42,0.0700832661248739,0.0115481564186973,-0.7897156376898471,1.2619195968914134,0.3853866796827112,0.0280617470223407
XGBRegressor [lag=-10 s],target_interest,participant_macro,5,42,0.0657275782946884,0.0123819934555364,-0.9285916118442696,1.8339808439251124,0.5397254542884771,0.0596174583070664
XGBRegressor [lag=0 s],target_focus,participant_macro,5,42,0.0950818046360025,0.008819024224321,-65.43137756136457,145.48811557907078,0.2596318128274222,0.0372108292795193
XGBRegressor [lag=-10 s],target_focus,participant_macro,5,42,0.0853397525434204,0.0094514432359543,-11.266669270856584,24.87061940099997,0.4853119431611453,0.0400651534139936
