target_id,processed_column,source,upstream_field_available,n_windows,missing_rate,minimum,maximum,mean,std,q10,q25,median,q75,q90,unique_values,n_subjects,n_source_records,n_logical_records
target_attention,target_attention,all,True,43175,0.158513292274,0.028539,0.925407,0.462491655437,0.127494947494,0.305736,0.3807825,0.453675,0.5393975,0.6335784,28088,53,117,85
target_attention,target_attention,Old_EEG,True,20367,0.16140321983,0.051419,0.925407,0.464415059361,0.131730703325,0.3013998,0.3781865,0.455404,0.5453085,0.6417558,19947,42,47,47
target_attention,target_attention,gpn_data,True,22808,0.155915769217,0.028539,0.916286,0.460774101609,0.123567483956,0.3094119,0.38307375,0.452439,0.53475825,0.624508,21658,41,70,70
target_engagement,target_engagement,all,True,48254,0.059522881422,0.053498,0.946502,0.618477456698,0.131688879304,0.446324,0.54260325,0.6335865,0.70892675,0.769244,30773,54,119,86
target_engagement,target_engagement,Old_EEG,True,23128,0.0477210030057,0.053498,0.946502,0.61281759201,0.132386679472,0.4393932,0.53232075,0.6256245,0.704477,0.7687525,22528,43,48,48
target_engagement,target_engagement,gpn_data,True,25126,0.0701306391325,0.053498,0.946502,0.623687253343,0.130829667731,0.4534805,0.55240625,0.6401605,0.71246725,0.7695645,23766,42,71,71
target_excitement,target_excitement,all,True,50983,0.00633429484681,2.4e-05,1,0.336520752408,0.23490436487,0.102914,0.164449,0.264059,0.448988,0.7165174,32843,54,119,86
target_excitement,target_excitement,Old_EEG,True,24108,0.00737019804834,2.4e-05,1,0.343068194956,0.239931860833,0.1027347,0.16624025,0.2682715,0.46294725,0.733474,23617,43,48,48
target_excitement,target_excitement,gpn_data,True,26875,0.0054032049147,2.4e-05,1,0.330647422363,0.230147164551,0.1030508,0.1632105,0.260487,0.4381885,0.699148,25646,42,71,71
target_stress,target_stress,all,True,45384,0.115459577454,0.054506,0.999447,0.462149789485,0.139686415268,0.3293036,0.38497275,0.4350715,0.49202575,0.649022,29018,54,119,86
target_stress,target_stress,Old_EEG,True,21558,0.112364639519,0.071471,0.999447,0.463593580109,0.144126378949,0.3256915,0.38051275,0.4342295,0.4982845,0.6647063,20882,43,48,48
target_stress,target_stress,gpn_data,True,23826,0.118241367825,0.054506,0.999447,0.460843433476,0.135533605247,0.3337915,0.388903,0.435931,0.486547,0.635065,22338,42,71,71
target_relaxation,target_relaxation,all,True,45394,0.115264676074,0.075858,0.697059,0.348828518516,0.167694610313,0.1545834,0.22452325,0.314581,0.45196375,0.6297279,27875,54,119,86
target_relaxation,target_relaxation,Old_EEG,True,21564,0.112117593774,0.075858,0.697059,0.349826519802,0.173462092329,0.1433853,0.219162,0.315806,0.4628135,0.6420019,19860,43,48,48
target_relaxation,target_relaxation,gpn_data,True,23830,0.118093334814,0.075858,0.697059,0.347925417394,0.16229737882,0.1642439,0.2284825,0.31372,0.44187725,0.6174272,21732,42,71,71
target_interest,target_interest,all,True,45440,0.114368129726,0.134833,0.996604,0.517458157394,0.0977083345021,0.4187108,0.463496,0.503331,0.551239,0.6390099,28631,54,119,86
target_interest,target_interest,Old_EEG,True,21594,0.110882365051,0.134833,0.996604,0.5172335574,0.102856019808,0.4103162,0.4593475,0.502721,0.55405875,0.6485202,20705,43,48,48
target_interest,target_interest,gpn_data,True,23846,0.117501202768,0.188104,0.996604,0.517661546318,0.0928024622474,0.42557,0.46696375,0.503707,0.549108,0.629141,22132,42,71,71
target_focus,target_focus,all,True,45384,0.115459577454,0.004077,0.991193,0.430048260742,0.124996575895,0.2864125,0.346808,0.414493,0.501859,0.5988121,29360,54,119,86
