cohort_id,target_ids,source,n_windows,n_subjects,n_source_records,n_logical_records
target_attention,target_attention,all,43175,53,117,85
target_attention,target_attention,Old_EEG,20367,42,47,47
target_attention,target_attention,gpn_data,22808,41,70,70
target_engagement,target_engagement,all,48254,54,119,86
target_engagement,target_engagement,Old_EEG,23128,43,48,48
target_engagement,target_engagement,gpn_data,25126,42,71,71
target_excitement,target_excitement,all,50983,54,119,86
target_excitement,target_excitement,Old_EEG,24108,43,48,48
target_excitement,target_excitement,gpn_data,26875,42,71,71
target_stress,target_stress,all,45384,54,119,86
target_stress,target_stress,Old_EEG,21558,43,48,48
target_stress,target_stress,gpn_data,23826,42,71,71
target_relaxation,target_relaxation,all,45394,54,119,86
target_relaxation,target_relaxation,Old_EEG,21564,43,48,48
target_relaxation,target_relaxation,gpn_data,23830,42,71,71
target_interest,target_interest,all,45440,54,119,86
target_interest,target_interest,Old_EEG,21594,43,48,48
target_interest,target_interest,gpn_data,23846,42,71,71
target_focus,target_focus,all,45384,54,119,86
target_focus,target_focus,Old_EEG,21558,43,48,48
target_focus,target_focus,gpn_data,23826,42,71,71
seven_pm_complete_case,target_attention|target_engagement|target_excitement|target_stress|target_relaxation|target_interest|target_focus,all,43174,53,117,85
seven_pm_complete_case,target_attention|target_engagement|target_excitement|target_stress|target_relaxation|target_interest|target_focus,Old_EEG,20366,42,47,47
seven_pm_complete_case,target_attention|target_engagement|target_excitement|target_stress|target_relaxation|target_interest|target_focus,gpn_data,22808,41,70,70
label_q5,label_q5,all,45384,54,119,86
label_q5,label_q5,Old_EEG,21558,43,48,48
label_q5,label_q5,gpn_data,23826,42,71,71
activity_attention,activity_attention,all,51124,55,120,86
activity_engagement,activity_engagement,all,51124,55,120,86
activity_excitement,activity_excitement,all,51124,55,120,86
activity_stress,activity_stress,all,51124,55,120,86
activity_relaxation,activity_relaxation,all,51124,55,120,86
activity_interest,activity_interest,all,51124,55,120,86
activity_focus,activity_focus,all,51124,55,120,86
activity_multilabel_complete_case,activity_attention|activity_engagement|activity_excitement|activity_stress|activity_relaxation|activity_interest|activity_focus,all,51124,55,120,86
raw_deduplicated_label_q5_compatible,label_q5,all,30958,54,86,86
raw_deduplicated_target_attention_compatible,target_attention,all,29569,53,85,85
raw_deduplicated_target_engagement_compatible,target_engagement,all,30958,54,86,86
raw_deduplicated_target_excitement_compatible,target_excitement,all,30958,54,86,86
raw_deduplicated_target_stress_compatible,target_stress,all,30958,54,86,86
raw_deduplicated_target_relaxation_compatible,target_relaxation,all,30958,54,86,86
raw_deduplicated_target_interest_compatible,target_interest,all,30958,54,86,86
raw_deduplicated_target_focus_compatible,target_focus,all,30958,54,86,86
