target_id,input_view,outer_fold,n_samples,n_subjects,n_records
pm_attention_regression,feature,1,8591,11,26
pm_attention_regression,feature,2,8141,10,25
pm_attention_regression,feature,3,8841,11,25
pm_attention_regression,feature,4,8813,10,18
pm_attention_regression,feature,5,8789,11,23
pm_engagement_regression,feature,1,9961,11,26
pm_engagement_regression,feature,2,10724,11,27
pm_engagement_regression,feature,3,9128,11,25
pm_engagement_regression,feature,4,9056,10,18
pm_engagement_regression,feature,5,9385,11,23
pm_excitement_regression,feature,1,10155,11,26
pm_excitement_regression,feature,2,12041,11,27
pm_excitement_regression,feature,3,9376,11,25
pm_excitement_regression,feature,4,9688,10,18
pm_excitement_regression,feature,5,9723,11,23
pm_stress_regression,feature,1,9123,11,26
pm_stress_regression,feature,2,8992,11,27
pm_stress_regression,feature,3,9107,11,25
pm_stress_regression,feature,4,9056,10,18
pm_stress_regression,feature,5,9106,11,23
pm_relaxation_regression,feature,1,9124,11,26
pm_relaxation_regression,feature,2,8992,11,27
pm_relaxation_regression,feature,3,9115,11,25
pm_relaxation_regression,feature,4,9057,10,18
pm_relaxation_regression,feature,5,9106,11,23
pm_interest_regression,feature,1,9147,11,26
pm_interest_regression,feature,2,8996,11,27
pm_interest_regression,feature,3,9111,11,25
pm_interest_regression,feature,4,9066,10,18
pm_interest_regression,feature,5,9120,11,23
pm_focus_regression,feature,1,9123,11,26
pm_focus_regression,feature,2,8992,11,27
pm_focus_regression,feature,3,9107,11,25
pm_focus_regression,feature,4,9056,10,18
pm_focus_regression,feature,5,9106,11,23
pm_multioutput_regression_7,feature,1,8590,11,26
pm_multioutput_regression_7,feature,2,8141,10,25
pm_multioutput_regression_7,feature,3,8841,11,25
pm_multioutput_regression_7,feature,4,8813,10,18
pm_multioutput_regression_7,feature,5,8789,11,23
label_focus_q5_legacy,feature,1,9123,11,26
label_focus_q5_legacy,feature,2,8992,11,27
label_focus_q5_legacy,feature,3,9107,11,25
label_focus_q5_legacy,feature,4,9056,10,18
label_focus_q5_legacy,feature,5,9106,11,23
pm_attention_regression,raw_eeg_deduplicated,1,6628,11,20
pm_attention_regression,raw_eeg_deduplicated,2,5723,10,19
pm_attention_regression,raw_eeg_deduplicated,3,5892,11,17
pm_attention_regression,raw_eeg_deduplicated,4,5564,10,12
pm_attention_regression,raw_eeg_deduplicated,5,5762,11,17
pm_engagement_regression,raw_eeg_deduplicated,1,6931,11,20
pm_engagement_regression,raw_eeg_deduplicated,2,6192,11,20
pm_engagement_regression,raw_eeg_deduplicated,3,6037,11,17
pm_engagement_regression,raw_eeg_deduplicated,4,5776,10,12
pm_engagement_regression,raw_eeg_deduplicated,5,6022,11,17
pm_excitement_regression,raw_eeg_deduplicated,1,6931,11,20
pm_excitement_regression,raw_eeg_deduplicated,2,6192,11,20
pm_excitement_regression,raw_eeg_deduplicated,3,6037,11,17
pm_excitement_regression,raw_eeg_deduplicated,4,5776,10,12
pm_excitement_regression,raw_eeg_deduplicated,5,6022,11,17
pm_stress_regression,raw_eeg_deduplicated,1,6931,11,20
pm_stress_regression,raw_eeg_deduplicated,2,6192,11,20
pm_stress_regression,raw_eeg_deduplicated,3,6037,11,17
pm_stress_regression,raw_eeg_deduplicated,4,5776,10,12
pm_stress_regression,raw_eeg_deduplicated,5,6022,11,17
pm_relaxation_regression,raw_eeg_deduplicated,1,6931,11,20
pm_relaxation_regression,raw_eeg_deduplicated,2,6192,11,20
pm_relaxation_regression,raw_eeg_deduplicated,3,6037,11,17
pm_relaxation_regression,raw_eeg_deduplicated,4,5776,10,12
pm_relaxation_regression,raw_eeg_deduplicated,5,6022,11,17
pm_interest_regression,raw_eeg_deduplicated,1,6931,11,20
pm_interest_regression,raw_eeg_deduplicated,2,6192,11,20
pm_interest_regression,raw_eeg_deduplicated,3,6037,11,17
pm_interest_regression,raw_eeg_deduplicated,4,5776,10,12
pm_interest_regression,raw_eeg_deduplicated,5,6022,11,17
pm_focus_regression,raw_eeg_deduplicated,1,6931,11,20
pm_focus_regression,raw_eeg_deduplicated,2,6192,11,20
pm_focus_regression,raw_eeg_deduplicated,3,6037,11,17
pm_focus_regression,raw_eeg_deduplicated,4,5776,10,12
pm_focus_regression,raw_eeg_deduplicated,5,6022,11,17
pm_multioutput_regression_7,raw_eeg_deduplicated,1,6628,11,20
pm_multioutput_regression_7,raw_eeg_deduplicated,2,5723,10,19
pm_multioutput_regression_7,raw_eeg_deduplicated,3,5892,11,17
pm_multioutput_regression_7,raw_eeg_deduplicated,4,5564,10,12
pm_multioutput_regression_7,raw_eeg_deduplicated,5,5762,11,17
label_focus_q5_legacy,raw_eeg_deduplicated,1,6931,11,20
label_focus_q5_legacy,raw_eeg_deduplicated,2,6192,11,20
label_focus_q5_legacy,raw_eeg_deduplicated,3,6037,11,17
label_focus_q5_legacy,raw_eeg_deduplicated,4,5776,10,12
label_focus_q5_legacy,raw_eeg_deduplicated,5,6022,11,17
