target_id,feature_input,compatible,n_samples,n_features,feature_list_sha256,target_metadata_in_features
pm_attention_regression,eeg,True,43175,168,6e822ee172422e7138945b47b2b27c947393b828b72d96b7a8e22850aded8aca,False
pm_attention_regression,pow,True,43175,280,c3106631e4ad3eff1694c874a9ff5c4e26470aa587c7294cc5c3047c53d832dd,False
pm_attention_regression,eeg_pow,True,43175,448,8cd5d70faa8ff30fb4290dd9d9a2dde0e81f50e7682d05668b5fb47df511fd51,False
pm_engagement_regression,eeg,True,48254,168,6e822ee172422e7138945b47b2b27c947393b828b72d96b7a8e22850aded8aca,False
pm_engagement_regression,pow,True,48254,280,c3106631e4ad3eff1694c874a9ff5c4e26470aa587c7294cc5c3047c53d832dd,False
pm_engagement_regression,eeg_pow,True,48254,448,8cd5d70faa8ff30fb4290dd9d9a2dde0e81f50e7682d05668b5fb47df511fd51,False
pm_excitement_regression,eeg,True,50983,168,6e822ee172422e7138945b47b2b27c947393b828b72d96b7a8e22850aded8aca,False
pm_excitement_regression,pow,True,50983,280,c3106631e4ad3eff1694c874a9ff5c4e26470aa587c7294cc5c3047c53d832dd,False
pm_excitement_regression,eeg_pow,True,50983,448,8cd5d70faa8ff30fb4290dd9d9a2dde0e81f50e7682d05668b5fb47df511fd51,False
pm_stress_regression,eeg,True,45384,168,6e822ee172422e7138945b47b2b27c947393b828b72d96b7a8e22850aded8aca,False
pm_stress_regression,pow,True,45384,280,c3106631e4ad3eff1694c874a9ff5c4e26470aa587c7294cc5c3047c53d832dd,False
pm_stress_regression,eeg_pow,True,45384,448,8cd5d70faa8ff30fb4290dd9d9a2dde0e81f50e7682d05668b5fb47df511fd51,False
pm_relaxation_regression,eeg,True,45394,168,6e822ee172422e7138945b47b2b27c947393b828b72d96b7a8e22850aded8aca,False
pm_relaxation_regression,pow,True,45394,280,c3106631e4ad3eff1694c874a9ff5c4e26470aa587c7294cc5c3047c53d832dd,False
pm_relaxation_regression,eeg_pow,True,45394,448,8cd5d70faa8ff30fb4290dd9d9a2dde0e81f50e7682d05668b5fb47df511fd51,False
pm_interest_regression,eeg,True,45440,168,6e822ee172422e7138945b47b2b27c947393b828b72d96b7a8e22850aded8aca,False
pm_interest_regression,pow,True,45440,280,c3106631e4ad3eff1694c874a9ff5c4e26470aa587c7294cc5c3047c53d832dd,False
pm_interest_regression,eeg_pow,True,45440,448,8cd5d70faa8ff30fb4290dd9d9a2dde0e81f50e7682d05668b5fb47df511fd51,False
pm_focus_regression,eeg,True,45384,168,6e822ee172422e7138945b47b2b27c947393b828b72d96b7a8e22850aded8aca,False
pm_focus_regression,pow,True,45384,280,c3106631e4ad3eff1694c874a9ff5c4e26470aa587c7294cc5c3047c53d832dd,False
pm_focus_regression,eeg_pow,True,45384,448,8cd5d70faa8ff30fb4290dd9d9a2dde0e81f50e7682d05668b5fb47df511fd51,False
pm_multioutput_regression_7,eeg,True,43174,168,6e822ee172422e7138945b47b2b27c947393b828b72d96b7a8e22850aded8aca,False
pm_multioutput_regression_7,pow,True,43174,280,c3106631e4ad3eff1694c874a9ff5c4e26470aa587c7294cc5c3047c53d832dd,False
pm_multioutput_regression_7,eeg_pow,True,43174,448,8cd5d70faa8ff30fb4290dd9d9a2dde0e81f50e7682d05668b5fb47df511fd51,False
label_focus_q5_legacy,eeg,True,45384,168,6e822ee172422e7138945b47b2b27c947393b828b72d96b7a8e22850aded8aca,False
label_focus_q5_legacy,pow,True,45384,280,c3106631e4ad3eff1694c874a9ff5c4e26470aa587c7294cc5c3047c53d832dd,False
label_focus_q5_legacy,eeg_pow,True,45384,448,8cd5d70faa8ff30fb4290dd9d9a2dde0e81f50e7682d05668b5fb47df511fd51,False
