target_id,task,representation,model_or_protocol,status
target_attention,regression,eeg_pow_features,random_forest,trained
target_attention,seven_output_regression,eeg_pow_features,torch_mlp,trained
target_attention,personalized_seven_output_regression,eeg_pow_features,torch_mlp,confirmatory
target_attention,raw_regression,raw_eeg,raw CNN,not_supported
target_engagement,regression,eeg_pow_features,random_forest,trained
target_engagement,seven_output_regression,eeg_pow_features,torch_mlp,trained
target_engagement,personalized_seven_output_regression,eeg_pow_features,torch_mlp,confirmatory
target_engagement,raw_regression,raw_eeg,raw CNN,not_supported
target_excitement,regression,eeg_pow_features,random_forest,trained
target_excitement,seven_output_regression,eeg_pow_features,torch_mlp,trained
target_excitement,personalized_seven_output_regression,eeg_pow_features,torch_mlp,confirmatory
target_excitement,raw_regression,raw_eeg,raw CNN,not_supported
target_stress,regression,eeg_pow_features,random_forest,trained
target_stress,seven_output_regression,eeg_pow_features,torch_mlp,trained
target_stress,personalized_seven_output_regression,eeg_pow_features,torch_mlp,confirmatory
target_stress,raw_regression,raw_eeg,raw CNN,not_supported
target_relaxation,regression,eeg_pow_features,random_forest,trained
target_relaxation,seven_output_regression,eeg_pow_features,torch_mlp,trained
target_relaxation,personalized_seven_output_regression,eeg_pow_features,torch_mlp,confirmatory
target_relaxation,raw_regression,raw_eeg,raw CNN,not_supported
target_interest,regression,eeg_pow_features,random_forest,trained
target_interest,seven_output_regression,eeg_pow_features,torch_mlp,trained
target_interest,personalized_seven_output_regression,eeg_pow_features,torch_mlp,confirmatory
target_interest,raw_regression,raw_eeg,raw CNN,not_supported
target_focus,regression,eeg_pow_features,random_forest,trained
target_focus,seven_output_regression,eeg_pow_features,torch_mlp,trained
target_focus,personalized_seven_output_regression,eeg_pow_features,torch_mlp,confirmatory
target_focus,raw_regression,raw_eeg,raw CNN,not_supported
label_q5,classification,eeg_pow_features,random_forest,trained
label_q5,classification,feature_sequence,Transformer/LSTM,trained
label_q5,classification,raw_eeg,EEGNet/ShallowConvNet,trained
label_q5,personalization,eeg_pow_features,fine_tuning,confirmatory
label_q5,meta_learning,raw_eeg,FOMAML,diagnostic_only
label_q5,domain_adaptation,eeg_pow_features,DANN,confirmatory
activity_*,binary_or_fraction_proxy,eeg_pow_features,none,not_run
activity_multilabel_group,multi_label,eeg_pow_features,none,not_supported
label_*_q3/q5_candidate,ordinal_classification,eeg_pow_features,none,not_run
pm_long_term_excitement_candidate,regression,none,none,not_supported
